Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1000,1400,1200,21 Jun 2021
2,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1200,1525,1362,08 Dec 2021
3,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1200,3500,2350,23 Jun 2021
4,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1600,1450,30 Nov 2021
5,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1700,1475,22 Nov 2021
6,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1700,1500,28 Jun 2021
7,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1800,1550,02 Nov 2021
8,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1800,1550,03 Nov 2021
9,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,1800,1550,09 Dec 2021
10,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1300,2950,2125,22 Jun 2021
11,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1350,1700,1525,04 Dec 2021
12,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1350,1750,1550,24 Nov 2021
13,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1350,1841,1595,20 Nov 2021
14,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1675,1537,15 Dec 2021
15,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1700,1550,06 Jan 2022
16,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1700,1550,19 Jan 2022
17,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1700,1550,26 Nov 2021
18,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1800,1600,07 Dec 2021
19,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1800,1600,08 Nov 2021
20,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1800,1600,13 Dec 2021
21,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1800,1600,16 Dec 2021
22,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1800,1600,16 Oct 2021
23,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1900,1650,10 Dec 2021
24,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1400,1921,1660,29 Dec 2021
25,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1450,1650,1550,25 Nov 2021
26,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1450,1651,1550,08 Jan 2022
27,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1450,1960,1705,18 Jan 2022
28,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1450,2450,1950,31 Dec 2021
29,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1700,1600,01 Dec 2021
30,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1750,1625,17 Jan 2022
31,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1800,1650,05 Nov 2021
32,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1800,1650,20 Jan 2022
33,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1800,1650,24 Dec 2021
34,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1900,1700,01 Jan 2022
35,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,1900,1700,05 Feb 2022
36,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,2000,1750,05 Aug 2021
37,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,2000,1750,06 Aug 2021
38,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,2100,1800,07 Jan 2022
39,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,2151,1825,04 Jan 2022
40,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1500,2800,2150,05 Jul 2021
41,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1550,1800,1675,21 Jan 2022
42,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,1700,1650,02 Feb 2022
43,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,1800,1700,07 Feb 2022
44,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,1800,1700,14 Jan 2022
45,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,1800,1700,22 Jan 2022
46,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,1800,1700,24 Jan 2022
47,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2000,1800,01 Oct 2021
48,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2000,1800,10 Feb 2022
49,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2000,1800,18 Jun 2021
50,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2000,1800,25 Sep 2021
51,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2061,1830,05 Jan 2022
52,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,3000,2300,07 Jul 2021
53,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1650,1650,14 Oct 2021
54,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1800,1725,09 Nov 2021
55,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1800,1725,10 Nov 2021
56,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1800,1725,10 Oct 2021
57,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1850,1750,11 Oct 2021
58,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1900,1775,17 Nov 2021
59,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,1900,1775,29 Jan 2022
60,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1650,2200,1925,12 Nov 2021
