Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Maize,Other,FAQ,900,1500,1200,28 Nov 2021
2,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1000,1450,1225,08 Sep 2021
3,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1100,1600,1350,06 Jan 2022
4,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1100,1600,1350,23 Jul 2021
5,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1150,1550,1350,08 Dec 2021
6,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1150,1700,1425,18 Jun 2021
7,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1500,1350,11 Dec 2021
8,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1500,1350,14 Oct 2021
9,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1800,1500,15 Jan 2022
10,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1850,1525,09 Aug 2021
11,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1925,1560,27 Jul 2021
12,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,2300,1750,25 Apr 2022
13,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1225,1400,1312,05 Jul 2021
14,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1600,1425,21 Jun 2021
15,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1650,1450,23 Jun 2021
16,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1700,1475,29 Jul 2021
17,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1800,1525,02 Jul 2021
18,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1850,1550,07 Jul 2021
19,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1850,1550,08 Jul 2021
20,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1850,1550,29 Jun 2021
21,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1900,1575,30 Jul 2021
22,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,2000,1625,21 Aug 2021
23,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1251,2000,1625,05 Aug 2021
24,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1251,2000,1625,06 Aug 2021
25,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1275,1700,1487,22 Jun 2021
26,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1400,1350,04 Oct 2021
27,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1600,1450,09 Nov 2021
28,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1700,1500,10 Nov 2021
29,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1725,1512,25 Nov 2021
30,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1731,1515,23 Dec 2021
31,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1750,1525,01 Jan 2022
32,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1750,1525,10 Dec 2021
33,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1800,1550,07 Nov 2021
34,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1300,1800,1550,09 Dec 2021
35,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1350,1700,1525,06 Dec 2021
36,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1350,2000,1675,14 Jul 2021
37,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1400,1400,23 Sep 2021
38,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1650,1525,02 Sep 2021
39,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1700,1550,24 Dec 2021
40,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1725,1562,12 Nov 2021
41,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1725,1562,12 Oct 2021
42,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1800,1600,15 Jul 2021
43,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1800,1600,16 Oct 2021
44,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1825,1612,11 Oct 2021
45,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1900,1650,01 Nov 2021
46,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1975,1687,28 Sep 2021
47,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,2100,1775,07 Dec 2021
48,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1425,1525,1475,20 Apr 2022
49,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1425,1525,1475,21 Apr 2022
50,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1450,1731,1591,21 Dec 2021
51,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1450,2300,1875,21 Sep 2021
52,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1475,1625,1550,30 Mar 2022
53,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1600,1550,13 Oct 2021
54,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1700,1600,01 Dec 2021
55,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1700,1600,24 Nov 2021
56,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1800,1650,31 Dec 2021
57,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1850,1675,17 Jun 2021
58,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1900,1700,25 Jan 2022
59,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,1900,1700,31 Jan 2022
60,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2000,1750,04 Oct 2024
61,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2000,1750,20 Feb 2023
62,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2000,1750,29 Jan 2022
63,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2100,1800,09 Mar 2022
64,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2225,1862,09 Apr 2022
65,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2260,1880,09 Feb 2023
66,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2300,1900,23 Jun 2022
67,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1500,2500,2000,12 May 2022
68,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1525,1725,1625,13 Dec 2021
69,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1525,1900,1712,18 Oct 2021
70,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1575,1562,18 May 2022
71,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1600,1575,13 Sep 2021
72,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1700,1625,15 Dec 2021
73,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1751,1650,29 Dec 2021
74,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1800,1675,18 Sep 2021
75,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1551,1875,1713,08 Jan 2022
76,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1551,2000,1775,14 Jan 2022
77,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1575,1691,1633,20 Nov 2021
78,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1575,2400,1987,16 May 2022
