Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,800,450,20 Apr 2023
2,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,900,500,22 Apr 2023
3,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,900,500,27 Apr 2023
4,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,950,525,17 Apr 2023
5,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,950,525,24 Apr 2023
6,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1000,550,15 Apr 2023
7,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1000,550,30 Mar 2023
8,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1100,600,11 Apr 2023
9,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1100,600,12 Apr 2023
10,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1100,600,14 Apr 2023
11,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1100,600,16 Mar 2023
12,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1100,600,23 Mar 2023
13,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1200,650,03 Jun 2023
14,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1200,650,13 Mar 2023
15,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1200,650,18 Mar 2023
16,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1200,650,20 Mar 2023
17,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1200,650,25 Mar 2023
18,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1400,750,10 Jun 2023
19,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1400,750,12 Jun 2023
20,Ahmednagar,Ahmednagar,Onion,Other,FAQ,100,1400,750,15 Jun 2023
21,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1250,700,09 Mar 2023
22,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1250,700,11 Mar 2023
23,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1300,725,05 Jun 2023
24,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1500,825,24 Jun 2023
25,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1500,900,18 Mar 2024
26,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1500,900,21 Mar 2024
27,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1600,875,20 Jun 2023
28,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1600,875,26 Jun 2023
29,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1600,1050,08 Apr 2024
30,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1600,1050,23 Mar 2024
31,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1600,1100,06 Apr 2024
32,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1650,1250,09 May 2024
33,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1700,925,24 Jul 2023
34,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1700,1250,04 Apr 2024
35,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1700,1300,11 May 2024
36,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,975,22 Jul 2023
37,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,975,27 Jul 2023
38,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,975,31 Jul 2023
39,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,1350,16 May 2024
40,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,1450,14 Mar 2024
41,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,1800,1450,25 Mar 2024
42,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,2100,1125,05 Aug 2023
43,Ahmednagar,Ahmednagar,Onion,Other,FAQ,150,2500,1450,21 Dec 2023
44,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1550,1200,25 Apr 2024
45,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1600,1150,15 Apr 2024
46,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1600,1300,16 Mar 2024
47,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1650,1150,29 Apr 2024
48,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1800,1000,10 Jul 2023
49,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1800,1000,15 Jul 2023
50,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1900,1050,08 Jul 2023
51,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2000,1100,01 Jul 2023
52,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2000,1100,03 Aug 2023
53,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2000,1100,17 Jul 2023
54,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2000,1100,20 Jul 2023
55,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2000,1100,30 Jul 2023
56,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2100,1650,06 May 2024
57,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2100,1650,23 May 2024
58,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2100,1650,25 May 2024
59,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2200,1700,27 May 2024
60,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2400,1300,21 Aug 2023
61,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,2500,1850,03 Jun 2024
62,Ahmednagar,Ahmednagar,Onion,Other,FAQ,250,2600,1750,18 Sep 2023
63,Ahmednagar,Ahmednagar,Onion,Other,FAQ,250,2600,1750,21 Sep 2023
64,Ahmednagar,Ahmednagar,Onion,Other,FAQ,250,2600,1850,30 Sep 2023
65,Ahmednagar,Ahmednagar,Onion,Other,FAQ,300,2150,1600,16 Dec 2023
66,Ahmednagar,Ahmednagar,Onion,Other,FAQ,300,2300,1300,28 Aug 2023
67,Ahmednagar,Ahmednagar,Onion,Other,FAQ,300,2300,1650,04 May 2024
