Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Potato,Other,FAQ,300,1300,800,05 Mar 2023
2,Ahmednagar,Ahmednagar,Potato,Other,FAQ,300,1400,850,12 Mar 2023
3,Ahmednagar,Ahmednagar,Potato,Other,FAQ,300,1400,850,27 Feb 2022
4,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1300,850,06 Mar 2022
5,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1400,900,13 Feb 2022
6,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1400,900,18 Mar 2023
7,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1400,900,21 Mar 2023
8,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1600,1000,04 Feb 2024
9,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1600,1000,23 Mar 2023
10,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1600,1000,30 Mar 2023
11,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1900,1150,01 Apr 2024
12,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1900,1150,09 Jan 2024
13,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1000,750,01 Aug 2021
14,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1000,750,08 Aug 2021
15,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1200,850,06 Feb 2022
16,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1200,850,23 Jan 2022
17,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1300,900,11 Mar 2022
18,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1300,900,20 Mar 2022
19,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1400,950,02 Mar 2023
20,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1400,950,03 Mar 2022
21,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1400,950,21 Feb 2023
22,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1400,950,26 Dec 2021
23,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,10 Feb 2024
24,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,12 Feb 2023
25,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,13 Feb 2024
26,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,19 Feb 2024
27,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,30 Jan 2024
28,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1500,1000,31 Mar 2022
