Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Karjat,Rice,Other,FAQ,1950,2040,2000,09 Feb 2023
2,Ahmednagar,Karjat,Rice,Other,FAQ,2040,2200,2100,29 May 2023
3,Ahmednagar,Karjat,Rice,Other,FAQ,2200,2400,2300,11 Sep 2023
4,Ahmednagar,Karjat,Rice,Other,FAQ,2200,2400,2300,25 Sep 2023
5,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,03 Jul 2018
6,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,04 Jul 2018
7,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,05 Jul 2018
8,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,11 Jun 2018
9,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,12 Jun 2018
10,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,16 Jun 2018
11,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,14 Jul 2018
12,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,15 Jul 2018
13,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,25 Jun 2018
14,Ahmednagar,Karjat,Rice,Other,FAQ,2500,5500,4500,02 Apr 2019
15,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,01 Jul 2019
16,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,01 Jun 2019
17,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,03 Jun 2019
18,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,04 Jun 2019
19,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,06 Jun 2019
20,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,08 Jun 2019
21,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,12 Jun 2019
22,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,13 Jul 2019
23,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,15 Jun 2019
24,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,17 Jun 2019
25,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,18 Jun 2019
26,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,19 Jun 2019
27,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,22 Jun 2019
28,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,23 Jun 2019
29,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,24 Jun 2019
30,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,25 Jun 2019
31,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,26 Jun 2019
32,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,27 Jun 2019
33,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3500,3000,29 Jun 2019
34,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,01 Aug 2019
35,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,02 Jul 2019
36,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,03 Jul 2019
37,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,04 Jul 2019
38,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,06 Jul 2019
39,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,07 Jul 2019
40,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,08 Jul 2019
41,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,09 Jul 2019
42,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,10 Jul 2019
43,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,10 Jun 2019
44,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,11 Jul 2019
45,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,13 Jun 2019
46,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,14 Jul 2019
47,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,15 Jul 2019
48,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,16 Jul 2019
49,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,17 Jul 2019
50,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,18 Jul 2019
51,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,20 Jul 2019
52,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,21 Jul 2019
53,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,22 Jul 2019
54,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,23 Jul 2019
55,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,24 Jul 2019
56,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,25 Jul 2019
57,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,27 Jul 2019
58,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,28 Jul 2019
59,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,29 Jul 2019
60,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,30 Jul 2019
61,Ahmednagar,Karjat,Rice,Other,FAQ,2600,3600,3000,31 Jul 2019
62,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,02 Jul 2018
63,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,07 Jul 2018
64,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,08 Jul 2018
65,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,09 Jul 2018
66,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,10 Jul 2018
67,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,12 Jul 2018
68,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,13 Jun 2018
69,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,14 Jun 2018
70,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,17 Jun 2018
71,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,18 Jun 2018
72,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,19 Jun 2018
73,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,20 Jun 2018
74,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,21 Jun 2018
75,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,23 Jun 2018
76,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,24 Jun 2018
77,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,27 Jun 2018
78,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,28 Jun 2018
79,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,30 Jun 2018
80,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3600,16 Jul 2018
81,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3600,26 Jun 2018
82,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3500,13 Aug 2018
83,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3500,16 Aug 2018
84,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,01 Aug 2018
85,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,01 Nov 2018
86,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,04 Aug 2018
87,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,11 Aug 2018
88,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,12 Aug 2018
89,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,17 Jul 2018
90,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,18 Jul 2018
91,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,30 Jul 2018
92,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,31 Jul 2018
93,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4800,3500,03 Nov 2018
94,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4800,3500,04 Nov 2018
95,Ahmednagar,Karjat,Rice,Other,FAQ,2700,3800,3200,05 Aug 2019
96,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4000,3200,03 Aug 2019
97,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3500,15 Aug 2018
98,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3500,21 Aug 2018
99,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3600,03 Sep 2018
100,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3600,04 Sep 2018
101,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,08 Sep 2018
102,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,18 Aug 2018
103,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,19 Aug 2018
104,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,01 Sep 2018
105,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,05 Aug 2018
106,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,07 Aug 2018
107,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,09 Sep 2018
108,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,12 Sep 2018
109,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,14 Aug 2018
110,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,19 Jul 2018
111,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,20 Aug 2018
112,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,26 Jul 2018
113,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,02 Sep 2018
114,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,06 Oct 2018
115,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,07 Oct 2018
116,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,08 Aug 2018
117,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,12 Nov 2018
118,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,13 Nov 2018
119,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,21 Jul 2018
120,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,22 Jul 2018
121,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,23 Aug 2018
122,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,28 Aug 2018
123,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,29 Aug 2018
124,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,30 Aug 2018
125,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4700,3600,06 Aug 2018
126,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4800,3600,15 Nov 2018
127,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4500,3600,25 Aug 2018
128,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4500,3600,26 Aug 2018
129,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4600,3500,27 Aug 2018
130,Ahmednagar,Karjat,Rice,Other,FAQ,2800,3800,3000,06 Aug 2019
131,Ahmednagar,Karjat,Rice,Other,FAQ,2800,3800,3200,07 Aug 2019
132,Ahmednagar,Karjat,Rice,Other,FAQ,2800,3800,3200,10 Aug 2019
133,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,10 Oct 2018
134,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,11 Oct 2018
135,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,14 Nov 2018
136,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,17 Oct 2018
137,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,19 Sep 2018
138,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,01 Oct 2018
139,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,04 Oct 2018
140,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,05 Sep 2018
141,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,06 Sep 2018
