Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,161,2000,1810,23 Jun 2021
2,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1200,1811,1505,18 Oct 2021
3,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1450,1800,1625,16 Oct 2021
4,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1490,1490,1490,10 Oct 2020
5,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,1800,1650,28 Jul 2021
6,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2000,1750,01 Jan 2022
7,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2100,1800,04 Dec 2021
8,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2100,1800,09 Dec 2021
9,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2100,1800,24 Sep 2020
10,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2200,1850,29 Dec 2021
11,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1500,2300,1900,04 Aug 2021
12,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1511,1700,1605,16 Dec 2020
13,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1531,1750,1640,23 Dec 2020
14,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,1565,1550,02 Jan 2021
15,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,1565,1557,12 Dec 2020
16,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,1600,1575,18 Dec 2020
17,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,1741,1645,01 Sep 2021
18,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,1850,1700,30 Dec 2020
19,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1550,2100,1825,22 Dec 2020
