Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,26 Jul 2016
2,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,27 Jul 2016
3,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,28 Jul 2016
4,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3600,2500,16 Aug 2016
5,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3600,2500,17 Aug 2016
6,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3600,2500,19 Aug 2016
7,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3600,2500,20 Aug 2016
8,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,20 Jun 2016
9,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,21 Jun 2016
10,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,22 Jun 2016
11,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,23 Jun 2016
12,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,24 Jun 2016
13,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,25 Jun 2016
14,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,18 Jul 2016
15,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,19 Jul 2016
16,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,20 Jul 2016
17,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,21 Jul 2016
18,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,22 Jul 2016
19,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,23 Jul 2016
20,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,25 Jul 2016
21,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3800,3000,09 Aug 2016
22,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3800,3000,10 Aug 2016
23,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3800,3000,11 Aug 2016
24,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3800,3000,12 Aug 2016
25,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3800,3000,13 Aug 2016
