Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1400,1450,1425,27 Jun 2017
2,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1400,1450,1425,30 Jun 2017
3,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1400,1500,1450,07 Sep 2017
4,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1400,1500,1450,22 Aug 2017
5,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1425,1500,1475,11 Sep 2017
6,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,03 Oct 2017
7,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,04 Oct 2017
8,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,09 Oct 2017
9,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,13 Sep 2017
10,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,14 Sep 2017
11,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,15 Sep 2017
12,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,16 Sep 2017
13,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,18 Sep 2017
14,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,22 Sep 2017
15,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,23 Sep 2017
16,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,25 Sep 2017
17,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,26 Sep 2017
18,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1475,28 Sep 2017
19,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1500,1500,16 Dec 2017
20,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,01 Feb 2018
21,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,01 Jan 2018
22,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,01 Mar 2018
23,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,02 Dec 2017
24,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,02 Feb 2018
25,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,03 Feb 2018
26,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,03 Jan 2018
27,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1450,1550,1500,03 Mar 2018
