Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Kolhapur,Onion,Other,FAQ,100,3500,2900,07 Oct 2020
2,Kolhapur,Kolhapur,Onion,Other,FAQ,300,900,600,01 Apr 2023
3,Kolhapur,Kolhapur,Onion,Other,FAQ,300,900,600,10 Aug 2020
4,Kolhapur,Kolhapur,Onion,Other,FAQ,300,900,750,05 Aug 2020
5,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,03 Apr 2023
6,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,07 Apr 2023
7,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,11 Apr 2023
8,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,11 May 2023
9,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,12 Apr 2023
10,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,13 Apr 2023
11,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,18 Apr 2023
12,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,20 Apr 2023
13,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,25 Apr 2023
14,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,600,31 Mar 2023
15,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,700,07 Aug 2020
16,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,700,08 Apr 2023
17,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,700,15 Apr 2023
18,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,03 Aug 2020
19,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,17 Jul 2020
20,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,19 Jun 2020
21,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,22 Jun 2020
22,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,29 Jul 2020
23,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1100,700,10 May 2023
