Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Kolhapur,Potato,Other,FAQ,300,1500,1200,27 Oct 2016
2,Kolhapur,Kolhapur,Potato,Other,FAQ,400,900,600,17 Dec 2016
3,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1000,800,03 Oct 2017
4,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1000,800,04 Oct 2017
5,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1000,800,11 Sep 2017
6,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1000,800,15 Sep 2017
7,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1000,800,16 Sep 2017
8,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1100,800,08 Sep 2017
9,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1100,800,09 Sep 2017
10,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1200,1100,08 May 2017
11,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1300,800,14 Sep 2017
12,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1400,800,12 Sep 2017
13,Kolhapur,Kolhapur,Potato,Other,FAQ,400,1400,800,13 Sep 2017
14,Kolhapur,Kolhapur,Potato,Other,FAQ,500,850,750,07 Mar 2017
15,Kolhapur,Kolhapur,Potato,Other,FAQ,500,850,750,08 Mar 2017
16,Kolhapur,Kolhapur,Potato,Other,FAQ,500,850,750,09 Mar 2017
17,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,01 Dec 2017
18,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,01 Feb 2017
19,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,02 Feb 2017
20,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,04 Dec 2017
21,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,05 Dec 2017
22,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,07 Dec 2017
23,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,09 Dec 2016
24,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,09 Dec 2017
25,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,10 Jan 2017
26,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,12 Dec 2017
27,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,14 Dec 2017
28,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,24 Nov 2017
29,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,25 Nov 2017
30,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,27 Nov 2017
31,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,700,31 Jan 2017
32,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,750,28 Oct 2017
33,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,800,01 Mar 2017
34,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,800,02 Mar 2017
35,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,800,03 Mar 2017
36,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,800,15 Jul 2017
37,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,800,28 Feb 2017
38,Kolhapur,Kolhapur,Potato,Other,FAQ,500,900,850,12 Jul 2017
39,Kolhapur,Kolhapur,Potato,Other,FAQ,500,950,700,02 Dec 2017
40,Kolhapur,Kolhapur,Potato,Other,FAQ,500,950,700,13 Nov 2017
41,Kolhapur,Kolhapur,Potato,Other,FAQ,500,950,700,21 Nov 2017
42,Kolhapur,Kolhapur,Potato,Other,FAQ,500,950,700,23 Nov 2017
43,Kolhapur,Kolhapur,Potato,Other,FAQ,500,950,700,30 Nov 2017
44,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,11 Dec 2017
45,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,14 Nov 2017
46,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,15 Nov 2017
47,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,16 Dec 2016
48,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,16 Nov 2017
49,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,17 Nov 2017
50,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,18 Nov 2017
51,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,20 Nov 2017
52,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,21 Dec 2016
53,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,21 Dec 2017
54,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,22 Dec 2016
55,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,22 Nov 2017
56,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,24 Dec 2016
57,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,26 Dec 2016
58,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,27 Dec 2016
59,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,28 Dec 2016
60,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,28 Jul 2017
61,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,28 Nov 2017
62,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,29 Dec 2016
63,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,29 Nov 2017
64,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,30 Dec 2016
65,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,700,31 Dec 2016
66,Kolhapur,Kolhapur,Potato,Other,FAQ,500,1000,750,01 Nov 2017
