Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Sangli,Rice,Other,FAQ,1400,6001,3700,11 Nov 2019
2,Sangli,Sangli,Rice,Other,FAQ,1700,5100,4500,15 Jul 2016
3,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,06 Aug 2016
4,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,18 Jun 2016
5,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,26 Jul 2016
6,Sangli,Sangli,Rice,Other,FAQ,1700,6000,3850,06 Feb 2018
7,Sangli,Sangli,Rice,Other,FAQ,1750,6000,3875,19 Mar 2018
8,Sangli,Sangli,Rice,Other,FAQ,1750,6500,4125,09 May 2018
9,Sangli,Sangli,Rice,Other,FAQ,1750,6500,4125,10 Apr 2018
10,Sangli,Sangli,Rice,Other,FAQ,1800,5500,3650,28 Jul 2017
11,Sangli,Sangli,Rice,Other,FAQ,1800,5500,4500,08 Jul 2016
12,Sangli,Sangli,Rice,Other,FAQ,1800,6000,3900,05 Apr 2018
13,Sangli,Sangli,Rice,Other,FAQ,1800,6000,3900,24 Jul 2017
14,Sangli,Sangli,Rice,Other,FAQ,1800,6100,3950,01 Aug 2017
15,Sangli,Sangli,Rice,Other,FAQ,1800,6200,4000,18 Jul 2018
16,Sangli,Sangli,Rice,Other,FAQ,1800,6300,4050,19 May 2018
17,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,01 Mar 2018
18,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,07 May 2018
19,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,12 Apr 2018
20,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,14 Aug 2017
21,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,15 Mar 2018
22,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,20 Jun 2018
23,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,26 May 2018
24,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,27 Jul 2017
25,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4150,29 May 2018
26,Sangli,Sangli,Rice,Other,FAQ,1800,6500,4500,29 May 2017
27,Sangli,Sangli,Rice,Other,FAQ,1850,6000,3925,03 Oct 2017
28,Sangli,Sangli,Rice,Other,FAQ,1850,6000,3925,07 Oct 2017
29,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,10 Aug 2017
30,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,20 Jul 2017
31,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,21 Jul 2017
32,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,22 Jul 2017
33,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,25 Jul 2017
34,Sangli,Sangli,Rice,Other,FAQ,1850,6100,3975,26 Jul 2017
35,Sangli,Sangli,Rice,Other,FAQ,1850,6200,4025,18 Aug 2017
36,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,01 Sep 2017
37,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,03 Apr 2018
38,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,07 Sep 2017
39,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,08 Sep 2017
40,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,09 Apr 2018
41,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,09 Aug 2017
42,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,17 Aug 2017
43,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,19 Aug 2017
44,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,19 Jul 2018
45,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,21 Jul 2018
46,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,21 May 2018
47,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,23 Aug 2017
48,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,24 Aug 2017
49,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,28 Aug 2017
50,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,29 Jul 2017
51,Sangli,Sangli,Rice,Other,FAQ,1850,6500,4175,31 Aug 2017
52,Sangli,Sangli,Rice,Other,FAQ,1850,6600,4225,11 Jun 2018
53,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,06 Sep 2017
54,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,12 Sep 2017
55,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,13 Sep 2017
56,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,19 Sep 2017
57,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,21 Sep 2017
58,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,28 Sep 2017
59,Sangli,Sangli,Rice,Other,FAQ,1850,6800,4325,30 May 2018
60,Sangli,Sangli,Rice,Other,FAQ,1850,6900,4375,17 Jul 2018
61,Sangli,Sangli,Rice,Other,FAQ,1900,6000,3950,14 Jun 2017
62,Sangli,Sangli,Rice,Other,FAQ,1900,6000,4100,18 Apr 2017
63,Sangli,Sangli,Rice,Other,FAQ,1900,6000,4500,12 May 2017
64,Sangli,Sangli,Rice,Other,FAQ,1900,6000,4500,17 Jun 2016
65,Sangli,Sangli,Rice,Other,FAQ,1900,6100,4000,05 Aug 2017
66,Sangli,Sangli,Rice,Other,FAQ,1900,6500,4200,16 May 2017
67,Sangli,Sangli,Rice,Other,FAQ,1900,6500,4200,21 Aug 2017
68,Sangli,Sangli,Rice,Other,FAQ,1900,6500,4200,22 Aug 2017
69,Sangli,Sangli,Rice,Other,FAQ,1900,6500,4200,29 Aug 2017
70,Sangli,Sangli,Rice,Other,FAQ,1900,6500,4500,12 Apr 2017
71,Sangli,Sangli,Rice,Other,FAQ,1900,6600,4250,20 Mar 2018
72,Sangli,Sangli,Rice,Other,FAQ,1900,6800,4300,17 Mar 2017
73,Sangli,Sangli,Rice,Other,FAQ,1900,6800,4350,11 Sep 2017
74,Sangli,Sangli,Rice,Other,FAQ,1950,5300,4500,29 Jul 2016
75,Sangli,Sangli,Rice,Other,FAQ,1950,6000,4500,14 Jun 2016
76,Sangli,Sangli,Rice,Other,FAQ,1950,6100,4500,04 Aug 2016
77,Sangli,Sangli,Rice,Other,FAQ,2000,3000,2500,09 Jun 2021
