Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
325,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,350,850,550,2017-01-02
1223,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,1000,700,2017-01-03
649,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,450,900,650,2017-01-04
1286,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,1000,800,2017-01-05
1274,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,700,2017-01-06
14,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-01-07
648,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,450,800,600,2017-01-09
1423,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,850,675,2017-01-10
1158,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,400,750,650,2017-01-11
120,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,700,2017-01-12
716,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,800,725,2017-01-13
1387,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,750,700,2017-01-14
17,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,700,2017-01-16
347,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,900,800,2017-01-17
292,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,800,750,2017-01-18
1235,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,750,850,800,2017-01-19
166,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,900,700,2017-01-25
346,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,900,775,2017-01-27
1285,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,900,800,2017-01-28
914,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-01-30
871,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,950,800,2017-01-31
24,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,950,800,2017-02-01
1174,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-02-02
285,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-02-03
542,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,750,2017-02-04
12,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-06
1173,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,750,2017-02-07
1170,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-08
13,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-09
336,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-10
539,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-11
8,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-02-13
15,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-02-14
1370,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-02-15
701,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-02-16
1266,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-02-17
851,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-02-18
540,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-02-22
858,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,750,2017-02-23
1164,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-02-25
527,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-02-27
1430,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-02-28
657,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-03-01
658,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,700,2017-03-02
707,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-03-03
907,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-03-04
849,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-06
1168,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-03-07
162,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-08
2102,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-03-09
1369,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-03-10
106,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-14
107,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-15
10,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-03-16
2108,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-03-17
537,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-03-18
898,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-20
856,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-03-21
170,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-03-22
164,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-24
1219,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-03-25
1265,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-03-27
660,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,1000,800,2017-03-29
2122,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,750,700,2017-03-30
2109,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,700,650,2017-03-31
1273,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-04-01
1272,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-03
329,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-04
848,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-05
4,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,650,600,2017-04-06
277,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-04-07
1367,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,650,600,2017-04-08
523,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,650,600,2017-04-10
1161,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-11
708,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-04-12
116,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-04-13
709,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-04-14
163,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-15
284,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-04-17
855,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-04-18
699,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-19
1162,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-20
656,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-21
906,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-22
706,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-24
115,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-25
1220,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-26
1221,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,700,650,2017-04-27
6,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-28
1421,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-04-29
1212,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-02
650,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-03
1213,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-04
908,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-05-05
524,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-06
1214,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-08
1368,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-09
525,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,650,2017-05-10
161,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,450,700,600,2017-05-12
850,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-13
5,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-15
108,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-16
651,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-17
1163,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-18
1169,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-05-19
1264,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,450,700,600,2017-05-20
700,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,700,600,2017-05-22
335,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,750,650,2017-05-23
1267,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-24
7,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-25
2103,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-05-26
1422,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-29
1222,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-05-30
899,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,750,650,2017-05-31
526,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-06-01
1287,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,1000,850,2017-06-03
1288,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,1000,850,2017-06-05
1380,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,1000,800,2017-06-07
1379,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-06-08
912,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,750,2017-06-09
710,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,700,2017-06-10
543,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,750,2017-06-12
2124,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,900,750,2017-06-13
1431,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,700,2017-06-14
132,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,800,750,2017-06-15
2111,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,700,2017-06-16
117,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,650,2017-06-17
16,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,700,2017-06-19
118,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,800,700,2017-06-20
337,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,800,700,2017-06-21
911,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-06-22
1429,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-06-23
165,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,800,650,2017-06-27
286,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-06-28
664,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,650,850,750,2017-06-29
171,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-06-30
154,Mumbai,Mumbai,Onion,Local,FAQ,500,850,675,2017-07-01
2112,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-03
1172,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-04
1432,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-05
909,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-06
121,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-07
910,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-08
338,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,550,850,700,2017-07-10
1371,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,850,700,2017-07-11
652,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,500,850,700,2017-07-12
172,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-13
173,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-14
2113,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-15
174,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,850,725,2017-07-17
175,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-18
718,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,800,750,2017-07-19
544,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-20
859,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-21
860,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-22
913,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-24
861,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,600,900,750,2017-07-25
873,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,700,900,800,2017-07-26
