Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
613,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,400,650,500,2017-01-02
955,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,850,650,2017-01-03
257,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,400,800,600,2017-01-04
1,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,900,700,2017-01-05
416,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,850,650,2017-01-06
258,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,450,750,600,2017-01-07
1007,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,850,650,2017-01-09
360,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,450,800,600,2017-01-10
12,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,800,600,2017-01-11
1006,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,700,600,2017-01-12
52,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,450,750,600,2017-01-13
359,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,400,700,650,2017-01-14
103,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,400,800,600,2017-01-16
1004,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,300,850,575,2017-01-17
256,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,400,750,550,2017-01-18
1336,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,800,700,2017-01-19
633,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,850,750,2017-01-25
276,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,750,700,2017-01-27
623,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,850,750,2017-01-28
1015,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,850,700,2017-01-30
624,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,900,750,2017-01-31
127,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,950,800,2017-02-01
23,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,950,800,2017-02-02
383,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,900,800,2017-02-03
968,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,900,750,2017-02-04
1970,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,900,750,2017-02-06
373,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,950,800,2017-02-07
114,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,900,750,2017-02-08
417,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,900,750,2017-02-09
63,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,850,700,2017-02-10
1639,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,900,750,2017-02-11
422,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,900,750,2017-02-13
634,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,950,800,2017-02-14
1651,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,950,800,2017-02-15
1381,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,950,800,2017-02-16
1377,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-02-17
1378,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-02-18
271,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-02-22
424,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-02-23
361,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,450,900,700,2017-02-25
369,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,750,2017-02-27
1025,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-02-28
270,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-01
1635,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,900,700,2017-03-02
2148,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-03
1008,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,500,1000,750,2017-03-04
13,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-06
618,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-07
16,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-08
980,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,1000,850,2017-03-09
1023,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-10
466,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-11
374,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-14
1016,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-15
117,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-16
1017,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-17
2152,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-18
971,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1100,850,2017-03-20
1645,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1100,850,2017-03-21
375,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-03-22
1330,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-24
1971,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-25
2149,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,1000,800,2017-03-27
474,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,650,1050,850,2017-03-29
137,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,750,900,800,2017-03-30
314,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,550,950,750,2017-03-31
465,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1000,800,2017-04-01
425,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1100,850,2017-04-03
969,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1100,850,2017-04-04
1644,Mumbai,Vashi New Mumbai,Potato,Other,FAQ,600,1100,850,2017-04-05
