Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Katol,Maize,Other,FAQ,825,1060,925,30 Nov 2017
2,Nagpur,Katol,Maize,Other,FAQ,870,1030,970,24 Nov 2017
3,Nagpur,Katol,Maize,Other,FAQ,875,900,885,28 Feb 2018
4,Nagpur,Katol,Maize,Other,FAQ,900,900,900,03 Apr 2018
5,Nagpur,Katol,Maize,Other,FAQ,900,900,900,23 Feb 2018
6,Nagpur,Katol,Maize,Other,FAQ,900,1131,1030,07 Jan 2018
7,Nagpur,Katol,Maize,Other,FAQ,900,1190,1085,19 Apr 2021
8,Nagpur,Katol,Maize,Other,FAQ,900,1215,1100,03 Feb 2021
9,Nagpur,Katol,Maize,Other,FAQ,900,1271,1090,02 Nov 2018
10,Nagpur,Katol,Maize,Other,FAQ,900,1458,1260,14 Nov 2021
11,Nagpur,Katol,Maize,Other,FAQ,910,910,910,28 Oct 2016
12,Nagpur,Katol,Maize,Other,FAQ,911,911,911,08 Mar 2018
13,Nagpur,Katol,Maize,Other,FAQ,911,911,911,15 Jan 2018
14,Nagpur,Katol,Maize,Other,FAQ,911,1100,985,04 Dec 2020
15,Nagpur,Katol,Maize,Other,FAQ,935,950,945,09 Feb 2018
16,Nagpur,Katol,Maize,Other,FAQ,935,1150,1050,05 Feb 2018
17,Nagpur,Katol,Maize,Other,FAQ,940,964,955,11 Apr 2018
18,Nagpur,Katol,Maize,Other,FAQ,950,950,950,17 May 2020
19,Nagpur,Katol,Maize,Other,FAQ,950,950,950,29 Jul 2020
20,Nagpur,Katol,Maize,Other,FAQ,950,1000,980,05 Jan 2021
21,Nagpur,Katol,Maize,Other,FAQ,951,951,951,15 Nov 2018
22,Nagpur,Katol,Maize,Other,FAQ,955,1075,1035,17 Nov 2017
23,Nagpur,Katol,Maize,Other,FAQ,961,1246,1120,04 Nov 2018
24,Nagpur,Katol,Maize,Other,FAQ,967,967,967,15 Feb 2018
25,Nagpur,Katol,Maize,Other,FAQ,975,975,975,03 Jun 2020
26,Nagpur,Katol,Maize,Other,FAQ,980,1100,1040,23 Jan 2018
27,Nagpur,Katol,Maize,Other,FAQ,981,1150,1050,04 Jan 2018
28,Nagpur,Katol,Maize,Other,FAQ,995,995,995,19 Jan 2018
29,Nagpur,Katol,Maize,Other,FAQ,999,999,999,25 Jan 2018
30,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,04 Dec 2017
31,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,10 Feb 2021
32,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,15 Feb 2021
33,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,26 May 2020
34,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,27 May 2020
35,Nagpur,Katol,Maize,Other,FAQ,1000,1000,1000,30 Dec 2020
36,Nagpur,Katol,Maize,Other,FAQ,1000,1021,1015,20 Nov 2017
37,Nagpur,Katol,Maize,Other,FAQ,1000,1155,1076,16 Nov 2017
38,Nagpur,Katol,Maize,Other,FAQ,1000,1217,1145,18 Nov 2016
39,Nagpur,Katol,Maize,Other,FAQ,1000,1301,1220,11 Nov 2020
40,Nagpur,Katol,Maize,Other,FAQ,1000,1330,1250,29 Oct 2021
41,Nagpur,Katol,Maize,Other,FAQ,1010,1025,1015,23 Nov 2017
42,Nagpur,Katol,Maize,Other,FAQ,1011,1011,1011,02 Jun 2020
43,Nagpur,Katol,Maize,Other,FAQ,1011,1011,1011,13 Jul 2020
44,Nagpur,Katol,Maize,Other,FAQ,1011,1011,1011,27 Nov 2017
45,Nagpur,Katol,Maize,Other,FAQ,1011,1060,1040,05 Feb 2021
46,Nagpur,Katol,Maize,Other,FAQ,1011,1121,1060,09 Jan 2018
47,Nagpur,Katol,Maize,Other,FAQ,1021,1069,1045,10 Nov 2017
48,Nagpur,Katol,Maize,Other,FAQ,1021,1275,1150,02 Apr 2021
49,Nagpur,Katol,Maize,Other,FAQ,1030,1030,1030,03 Mar 2021
50,Nagpur,Katol,Maize,Other,FAQ,1030,1070,1050,26 Oct 2017
51,Nagpur,Katol,Maize,Other,FAQ,1035,1151,1090,22 Jan 2021
52,Nagpur,Katol,Maize,Other,FAQ,1040,1095,1065,07 Nov 2017
53,Nagpur,Katol,Maize,Other,FAQ,1041,1100,1085,29 Dec 2020
54,Nagpur,Katol,Maize,Other,FAQ,1050,1050,1050,21 Dec 2017
55,Nagpur,Katol,Maize,Other,FAQ,1050,1050,1050,22 Jul 2020
56,Nagpur,Katol,Maize,Other,FAQ,1050,1050,1050,23 Feb 2021
57,Nagpur,Katol,Maize,Other,FAQ,1050,1250,1120,04 Nov 2020
58,Nagpur,Katol,Maize,Other,FAQ,1051,1111,1080,09 Dec 2020
59,Nagpur,Katol,Maize,Other,FAQ,1070,1070,1070,14 Nov 2017
60,Nagpur,Katol,Maize,Other,FAQ,1071,1071,1071,31 Jan 2021
61,Nagpur,Katol,Maize,Other,FAQ,1080,1080,1080,03 Jan 2021
62,Nagpur,Katol,Maize,Other,FAQ,1081,1081,1081,24 May 2018
63,Nagpur,Katol,Maize,Other,FAQ,1081,1121,1100,01 Jan 2021
64,Nagpur,Katol,Maize,Other,FAQ,1081,1211,1150,24 May 2020
65,Nagpur,Katol,Maize,Other,FAQ,1081,1341,1220,25 Oct 2021
66,Nagpur,Katol,Maize,Other,FAQ,1090,1090,1090,27 Nov 2020
67,Nagpur,Katol,Maize,Other,FAQ,1100,1100,1100,26 Feb 2021
68,Nagpur,Katol,Maize,Other,FAQ,1100,1181,1165,05 Nov 2018
69,Nagpur,Katol,Maize,Other,FAQ,1100,1290,1160,15 Oct 2018
70,Nagpur,Katol,Maize,Other,FAQ,1100,1305,1230,22 May 2020
71,Nagpur,Katol,Maize,Other,FAQ,1100,1400,1290,01 Nov 2021
72,Nagpur,Katol,Maize,Other,FAQ,1100,1500,1300,08 Mar 2020
73,Nagpur,Katol,Maize,Other,FAQ,1100,1540,1320,08 Nov 2019
74,Nagpur,Katol,Maize,Other,FAQ,1110,1300,1230,06 Dec 2016
75,Nagpur,Katol,Maize,Other,FAQ,1111,1218,1165,04 Dec 2016
76,Nagpur,Katol,Maize,Other,FAQ,1120,1200,1145,26 Nov 2020
77,Nagpur,Katol,Maize,Other,FAQ,1125,1125,1125,10 Jan 2017
78,Nagpur,Katol,Maize,Other,FAQ,1126,1126,1126,08 Nov 2017
79,Nagpur,Katol,Maize,Other,FAQ,1131,1131,1131,01 Feb 2018
80,Nagpur,Katol,Maize,Other,FAQ,1131,1131,1131,08 Mar 2021
81,Nagpur,Katol,Maize,Other,FAQ,1131,1270,1230,13 Dec 2016
82,Nagpur,Katol,Maize,Other,FAQ,1135,1135,1135,18 Feb 2021
83,Nagpur,Katol,Maize,Other,FAQ,1140,1290,1220,20 Nov 2016
84,Nagpur,Katol,Maize,Other,FAQ,1140,1351,1230,01 Nov 2018
85,Nagpur,Katol,Maize,Other,FAQ,1143,1167,1159,04 Mar 2021
86,Nagpur,Katol,Maize,Other,FAQ,1146,1146,1146,11 Dec 2016
87,Nagpur,Katol,Maize,Other,FAQ,1150,1150,1150,13 Dec 2020
88,Nagpur,Katol,Maize,Other,FAQ,1150,1150,1150,16 Feb 2021
89,Nagpur,Katol,Maize,Other,FAQ,1150,1150,1150,22 Feb 2021
90,Nagpur,Katol,Maize,Other,FAQ,1150,1440,1260,21 Nov 2021
91,Nagpur,Katol,Maize,Other,FAQ,1151,1151,1151,20 Oct 2021
92,Nagpur,Katol,Maize,Other,FAQ,1151,1151,1151,21 Jan 2021
93,Nagpur,Katol,Maize,Other,FAQ,1151,1151,1151,24 Mar 2021
94,Nagpur,Katol,Maize,Other,FAQ,1151,1151,1151,25 Feb 2021
95,Nagpur,Katol,Maize,Other,FAQ,1151,1151,1151,29 Jan 2021
96,Nagpur,Katol,Maize,Other,FAQ,1151,1325,1230,27 Nov 2018
97,Nagpur,Katol,Maize,Other,FAQ,1161,1161,1161,10 Dec 2020
98,Nagpur,Katol,Maize,Other,FAQ,1161,1200,1180,20 Dec 2020
99,Nagpur,Katol,Maize,Other,FAQ,1161,1240,1210,30 Dec 2016
100,Nagpur,Katol,Maize,Other,FAQ,1165,1165,1165,23 Dec 2020
101,Nagpur,Katol,Maize,Other,FAQ,1165,1215,1195,30 Nov 2016
102,Nagpur,Katol,Maize,Other,FAQ,1166,1270,1230,12 Nov 2018
103,Nagpur,Katol,Maize,Other,FAQ,1170,1170,1170,07 Nov 2016
104,Nagpur,Katol,Maize,Other,FAQ,1170,1170,1170,25 Oct 2017
105,Nagpur,Katol,Maize,Other,FAQ,1170,1265,1225,02 Dec 2016
106,Nagpur,Katol,Maize,Other,FAQ,1175,1450,1250,28 Dec 2017
