Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Hingna,Onion,Other,FAQ,1400,2000,2000,08 Feb 2024
2,Nagpur,Hingna,Onion,Other,FAQ,1500,1800,1800,01 Mar 2024
3,Nagpur,Hingna,Onion,Other,FAQ,1500,1800,1800,29 Feb 2024
4,Nagpur,Hingna,Onion,Other,FAQ,1600,1600,1600,18 Mar 2024
5,Nagpur,Hingna,Onion,Other,FAQ,1600,1600,1600,19 Mar 2024
6,Nagpur,Hingna,Onion,Other,FAQ,1600,1600,1600,20 Mar 2024
7,Nagpur,Hingna,Onion,Other,FAQ,1600,1600,1600,27 Mar 2024
8,Nagpur,Hingna,Onion,Other,FAQ,1600,1700,1700,05 Apr 2024
9,Nagpur,Hingna,Onion,Other,FAQ,1600,2000,1800,07 Mar 2024
10,Nagpur,Hingna,Onion,Other,FAQ,1600,2000,2000,04 Mar 2024
11,Nagpur,Hingna,Onion,Other,FAQ,1600,2000,2000,15 Apr 2024
12,Nagpur,Hingna,Onion,Other,FAQ,1700,1700,1700,02 Apr 2024
13,Nagpur,Hingna,Onion,Other,FAQ,1700,1700,1700,04 Apr 2024
14,Nagpur,Hingna,Onion,Other,FAQ,1700,2000,2000,28 Mar 2024
15,Nagpur,Hingna,Onion,Other,FAQ,1700,3500,2500,28 Dec 2023
16,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,01 Apr 2024
17,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,03 Apr 2024
18,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,06 Apr 2024
19,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,13 Mar 2024
20,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,14 Mar 2024
21,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,15 Mar 2024
22,Nagpur,Hingna,Onion,Other,FAQ,1800,1800,1800,26 Mar 2024
23,Nagpur,Hingna,Onion,Other,FAQ,1800,2000,2000,08 Apr 2024
24,Nagpur,Hingna,Onion,Other,FAQ,1800,3000,2500,08 Jan 2024
