Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Hingna,Potato,Local,FAQ,1300,2500,1300,01 Jan 2025
2,Nagpur,Hingna,Potato,Local,FAQ,1400,2400,1900,30 Aug 2024
3,Nagpur,Hingna,Potato,Local,FAQ,1500,2500,1500,24 Jan 2025
4,Nagpur,Hingna,Potato,Local,FAQ,1500,2500,2200,05 Aug 2024
5,Nagpur,Hingna,Potato,Local,FAQ,1500,2800,2266,20 Jul 2024
6,Nagpur,Hingna,Potato,Local,FAQ,1500,3300,2366,19 Aug 2024
7,Nagpur,Hingna,Potato,Local,FAQ,1600,2000,2000,29 May 2024
8,Nagpur,Hingna,Potato,Local,FAQ,1600,2400,2000,29 Jul 2024
9,Nagpur,Hingna,Potato,Local,FAQ,1600,2500,1600,13 Jan 2025
10,Nagpur,Hingna,Potato,Local,FAQ,1600,2500,1600,27 Dec 2024
11,Nagpur,Hingna,Potato,Local,FAQ,1600,2500,2166,27 Aug 2024
12,Nagpur,Hingna,Potato,Local,FAQ,1600,2500,2225,15 Jan 2025
13,Nagpur,Hingna,Potato,Local,FAQ,1600,2500,2500,25 Apr 2024
14,Nagpur,Hingna,Potato,Local,FAQ,1600,2600,2600,27 Jun 2024
15,Nagpur,Hingna,Potato,Local,FAQ,1700,2500,1700,02 Jan 2025
16,Nagpur,Hingna,Potato,Local,FAQ,1700,2500,1700,26 Dec 2024
17,Nagpur,Hingna,Potato,Local,FAQ,1700,2500,2133,18 Sep 2024
18,Nagpur,Hingna,Potato,Local,FAQ,1700,2500,2133,27 Sep 2024
19,Nagpur,Hingna,Potato,Local,FAQ,1700,3500,1700,05 Sep 2024
20,Nagpur,Hingna,Potato,Local,FAQ,1700,3500,2550,12 Sep 2024
21,Nagpur,Hingna,Potato,Local,FAQ,1750,2500,2278,23 Dec 2024
22,Nagpur,Hingna,Potato,Local,FAQ,1800,1800,1800,01 Jun 2024
23,Nagpur,Hingna,Potato,Local,FAQ,1800,1800,1800,04 Jun 2024
24,Nagpur,Hingna,Potato,Local,FAQ,1800,1800,1800,10 Jun 2024
25,Nagpur,Hingna,Potato,Local,FAQ,1800,2000,2000,07 May 2024
26,Nagpur,Hingna,Potato,Local,FAQ,1800,2000,2000,24 Apr 2024
27,Nagpur,Hingna,Potato,Local,FAQ,1800,2000,2000,27 May 2024
28,Nagpur,Hingna,Potato,Local,FAQ,1800,2000,2000,29 Apr 2024
29,Nagpur,Hingna,Potato,Local,FAQ,1800,2300,2050,01 Oct 2024
30,Nagpur,Hingna,Potato,Local,FAQ,1800,2400,2100,22 Jul 2024
31,Nagpur,Hingna,Potato,Local,FAQ,1800,2500,1800,07 Jan 2025
32,Nagpur,Hingna,Potato,Local,FAQ,1800,2500,2150,06 Jan 2025
33,Nagpur,Hingna,Potato,Local,FAQ,1800,2500,2242,20 Jan 2025
34,Nagpur,Hingna,Potato,Local,FAQ,1800,2500,2325,31 Dec 2024
35,Nagpur,Hingna,Potato,Local,FAQ,1800,2500,2500,30 Apr 2024
36,Nagpur,Hingna,Potato,Local,FAQ,1800,2600,2200,15 Jul 2024
37,Nagpur,Hingna,Potato,Local,FAQ,1800,2600,2250,24 Jun 2024
38,Nagpur,Hingna,Potato,Local,FAQ,1800,2670,2290,01 Jul 2024
39,Nagpur,Hingna,Potato,Local,FAQ,1800,3000,2350,04 Jul 2024
40,Nagpur,Hingna,Potato,Local,FAQ,1900,1900,1900,07 Jun 2024
41,Nagpur,Hingna,Potato,Local,FAQ,1900,1900,1900,28 May 2024
42,Nagpur,Hingna,Potato,Local,FAQ,1900,1900,1900,30 May 2024
43,Nagpur,Hingna,Potato,Local,FAQ,1900,1900,1900,31 May 2024
44,Nagpur,Hingna,Potato,Local,FAQ,1900,2000,2000,02 May 2024
45,Nagpur,Hingna,Potato,Local,FAQ,1900,2000,2000,13 May 2024
46,Nagpur,Hingna,Potato,Local,FAQ,1900,2000,2000,22 Apr 2024
47,Nagpur,Hingna,Potato,Local,FAQ,1900,2500,2000,08 May 2024
48,Nagpur,Hingna,Potato,Local,FAQ,1900,2500,2200,06 May 2024
49,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,04 May 2024
50,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,15 May 2024
51,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,16 May 2024
52,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,17 May 2024
53,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,18 May 2024
54,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,20 Apr 2024
55,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,20 May 2024
56,Nagpur,Hingna,Potato,Local,FAQ,2000,2000,2000,26 Apr 2024
57,Nagpur,Hingna,Potato,Local,FAQ,2000,2400,2200,16 Oct 2024
58,Nagpur,Hingna,Potato,Local,FAQ,2000,2500,2000,20 Dec 2024
59,Nagpur,Hingna,Potato,Local,FAQ,2000,2500,2237,02 Jul 2024
60,Nagpur,Hingna,Potato,Local,FAQ,2000,2500,2400,30 Dec 2024
61,Nagpur,Hingna,Potato,Local,FAQ,2000,2800,2400,06 Jul 2024
62,Nagpur,Hingna,Potato,Local,FAQ,2000,3000,2533,12 Dec 2024
63,Nagpur,Hingna,Potato,Local,FAQ,2000,3000,2557,08 Jul 2024
64,Nagpur,Hingna,Potato,Local,FAQ,2000,3500,2600,09 Oct 2024
65,Nagpur,Hingna,Potato,Local,FAQ,2000,3500,2775,16 Sep 2024
66,Nagpur,Hingna,Potato,Local,FAQ,2000,4000,2833,10 Jul 2024
67,Nagpur,Hingna,Potato,Local,FAQ,2100,2100,2100,10 May 2024
68,Nagpur,Hingna,Potato,Local,FAQ,2100,2100,2100,14 May 2024
69,Nagpur,Hingna,Potato,Local,FAQ,2100,2100,2100,21 May 2024
70,Nagpur,Hingna,Potato,Local,FAQ,2100,2200,2200,09 May 2024
71,Nagpur,Hingna,Potato,Local,FAQ,2100,3500,2587,09 Nov 2024
72,Nagpur,Hingna,Potato,Local,FAQ,2100,3500,2766,08 Nov 2024
73,Nagpur,Hingna,Potato,Local,FAQ,2200,2200,2200,03 May 2024
74,Nagpur,Hingna,Potato,Local,FAQ,2200,2200,2200,08 Jun 2024
75,Nagpur,Hingna,Potato,Local,FAQ,2200,2500,2350,26 Sep 2024
76,Nagpur,Hingna,Potato,Local,FAQ,2200,2500,2366,19 Dec 2024
77,Nagpur,Hingna,Potato,Local,FAQ,2200,2500,2500,06 Jun 2024
78,Nagpur,Hingna,Potato,Local,FAQ,2200,2500,2500,12 Jun 2024
79,Nagpur,Hingna,Potato,Local,FAQ,2200,2700,2500,25 Nov 2024
80,Nagpur,Hingna,Potato,Local,FAQ,2200,3000,2566,17 Dec 2024
81,Nagpur,Hingna,Potato,Local,FAQ,2200,3000,2600,20 Sep 2024
82,Nagpur,Hingna,Potato,Local,FAQ,2200,3000,2600,30 Sep 2024
83,Nagpur,Hingna,Potato,Local,FAQ,2200,3000,2700,16 Dec 2024
84,Nagpur,Hingna,Potato,Local,FAQ,2200,3500,2733,19 Sep 2024
85,Nagpur,Hingna,Potato,Local,FAQ,2200,5000,3187,23 Sep 2024
86,Nagpur,Hingna,Potato,Local,FAQ,2200,27001,2450,26 Nov 2024
87,Nagpur,Hingna,Potato,Local,FAQ,2250,2600,2425,28 Nov 2024
88,Nagpur,Hingna,Potato,Local,FAQ,2250,3000,2587,22 Nov 2024
89,Nagpur,Hingna,Potato,Local,FAQ,2300,2300,2300,21 Sep 2024
90,Nagpur,Hingna,Potato,Local,FAQ,2300,2300,2300,24 Sep 2024
91,Nagpur,Hingna,Potato,Local,FAQ,2300,2500,2375,09 Sep 2024
92,Nagpur,Hingna,Potato,Local,FAQ,2300,2500,2400,09 Jan 2025
93,Nagpur,Hingna,Potato,Local,FAQ,2300,2500,2400,17 Jan 2025
94,Nagpur,Hingna,Potato,Local,FAQ,2300,2500,2400,17 Sep 2024
95,Nagpur,Hingna,Potato,Local,FAQ,2300,2500,2400,28 Sep 2024
96,Nagpur,Hingna,Potato,Local,FAQ,2300,2600,2500,02 Dec 2024
97,Nagpur,Hingna,Potato,Local,FAQ,2300,2700,2500,04 Dec 2024
98,Nagpur,Hingna,Potato,Local,FAQ,2300,2700,2500,25 Oct 2024
99,Nagpur,Hingna,Potato,Local,FAQ,2300,2800,2566,24 Oct 2024
100,Nagpur,Hingna,Potato,Local,FAQ,2300,3000,2633,10 Dec 2024
101,Nagpur,Hingna,Potato,Local,FAQ,2300,3000,2640,16 Nov 2024
102,Nagpur,Hingna,Potato,Local,FAQ,2300,3200,2725,04 Nov 2024
103,Nagpur,Hingna,Potato,Local,FAQ,2300,3500,2733,13 Sep 2024
104,Nagpur,Hingna,Potato,Local,FAQ,2300,3500,2933,25 Sep 2024
105,Nagpur,Hingna,Potato,Local,FAQ,2400,2400,2400,13 Aug 2024
106,Nagpur,Hingna,Potato,Local,FAQ,2400,2400,2400,14 Jun 2024
107,Nagpur,Hingna,Potato,Local,FAQ,2400,2400,2400,25 Dec 2024
108,Nagpur,Hingna,Potato,Local,FAQ,2400,2500,2450,16 Jan 2025
109,Nagpur,Hingna,Potato,Local,FAQ,2400,2500,2450,18 Jan 2025
110,Nagpur,Hingna,Potato,Local,FAQ,2400,2500,2450,22 Aug 2024
111,Nagpur,Hingna,Potato,Local,FAQ,2400,2500,2500,21 Jun 2024
112,Nagpur,Hingna,Potato,Local,FAQ,2400,2600,2500,01 Aug 2024
113,Nagpur,Hingna,Potato,Local,FAQ,2400,2600,2500,25 Jul 2024
114,Nagpur,Hingna,Potato,Local,FAQ,2400,2600,2600,20 Jun 2024
115,Nagpur,Hingna,Potato,Local,FAQ,2400,2800,2600,15 Oct 2024
116,Nagpur,Hingna,Potato,Local,FAQ,2400,3000,2620,09 Dec 2024
117,Nagpur,Hingna,Potato,Local,FAQ,2400,3000,2700,14 Sep 2024
118,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2800,10 Sep 2024
119,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2800,20 Aug 2024
120,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2833,03 Oct 2024
121,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2833,11 Nov 2024
122,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2850,11 Jul 2024
123,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2900,11 Oct 2024
124,Nagpur,Hingna,Potato,Local,FAQ,2400,3500,2950,10 Oct 2024
125,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,03 Jan 2025
126,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,03 Jun 2024
127,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,04 Jan 2025
128,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,04 Oct 2024
129,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,08 Aug 2024
130,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,10 Jan 2025
131,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,11 Jan 2025
132,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,11 May 2024
133,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,14 Jan 2025
134,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,21 Dec 2024
135,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,21 Jan 2025
136,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,26 Jun 2024
137,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,28 Dec 2024
138,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,28 Jun 2024
139,Nagpur,Hingna,Potato,Local,FAQ,2500,2500,2500,29 Jun 2024
140,Nagpur,Hingna,Potato,Local,FAQ,2500,2600,2550,03 Jul 2024
141,Nagpur,Hingna,Potato,Local,FAQ,2500,2600,2550,17 Aug 2024
142,Nagpur,Hingna,Potato,Local,FAQ,2500,2600,2550,18 Oct 2024
143,Nagpur,Hingna,Potato,Local,FAQ,2500,2700,2600,07 Nov 2024
144,Nagpur,Hingna,Potato,Local,FAQ,2500,2800,2650,18 Jul 2024
145,Nagpur,Hingna,Potato,Local,FAQ,2500,2800,2650,30 Jul 2024
146,Nagpur,Hingna,Potato,Local,FAQ,2500,3000,2500,23 Jan 2025
147,Nagpur,Hingna,Potato,Local,FAQ,2500,3000,2666,22 Jan 2025
148,Nagpur,Hingna,Potato,Local,FAQ,2500,3000,2700,28 Oct 2024
149,Nagpur,Hingna,Potato,Local,FAQ,2500,3000,2733,12 Nov 2024
150,Nagpur,Hingna,Potato,Local,FAQ,2500,3000,2833,18 Dec 2024
151,Nagpur,Hingna,Potato,Local,FAQ,2500,3200,2850,14 Dec 2024
152,Nagpur,Hingna,Potato,Local,FAQ,2500,3500,2866,05 Oct 2024
153,Nagpur,Hingna,Potato,Local,FAQ,2500,3500,3000,26 Aug 2024
154,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,05 Dec 2024
155,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,05 Nov 2024
156,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,06 Dec 2024
157,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,06 Nov 2024
158,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,07 Aug 2024
159,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,07 Dec 2024
160,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,09 Aug 2024
161,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,09 Jul 2024
162,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,11 Jun 2024
163,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,12 Jul 2024
164,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,13 Jul 2024
165,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,14 Aug 2024
166,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,19 Jul 2024
167,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,19 Nov 2024
168,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,23 Jul 2024
169,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,26 Jul 2024
170,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,30 Nov 2024
171,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,31 Aug 2024
172,Nagpur,Hingna,Potato,Local,FAQ,2600,2600,2600,31 Jul 2024
173,Nagpur,Hingna,Potato,Local,FAQ,2600,2700,2650,23 Oct 2024
174,Nagpur,Hingna,Potato,Local,FAQ,2600,3000,2800,03 Dec 2024
