Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Nagpur,Rice,Other,FAQ,1900,2200,2125,17 Nov 2017
2,Nagpur,Nagpur,Rice,Other,FAQ,1900,2200,2125,23 Nov 2017
3,Nagpur,Nagpur,Rice,Other,FAQ,2000,2400,2300,18 Jun 2016
4,Nagpur,Nagpur,Rice,Other,FAQ,2200,2400,2350,05 Apr 2019
5,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,07 Aug 2020
6,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,10 Aug 2020
7,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,13 Jul 2020
8,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,16 Sep 2020
9,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,17 Jun 2020
10,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,18 Aug 2020
11,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,19 May 2020
12,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,20 Jul 2020
13,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,22 Jul 2020
14,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,24 Jul 2020
15,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,25 May 2018
16,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,29 Aug 2020
17,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,30 Nov 2018
18,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,31 Aug 2020
19,Nagpur,Nagpur,Rice,Other,FAQ,2200,2500,2425,31 Jul 2020
20,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2475,09 Jul 2021
21,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,02 Feb 2022
22,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,11 Apr 2023
23,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,18 Sep 2021
24,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,19 Aug 2022
25,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,27 Mar 2023
26,Nagpur,Nagpur,Rice,Other,FAQ,2400,2600,2550,31 Jul 2021
27,Nagpur,Nagpur,Rice,Other,FAQ,2500,2700,2650,28 Aug 2020
28,Nagpur,Nagpur,Rice,Other,FAQ,2600,3000,2875,25 Mar 2021
29,Nagpur,Nagpur,Rice,Other,FAQ,2700,3000,2925,21 Mar 2023
30,Nagpur,Nagpur,Rice,Other,FAQ,2800,3200,3100,10 Oct 2018
31,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,01 Jun 2024
32,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,03 Aug 2024
33,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,05 Aug 2024
34,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,12 Jul 2024
35,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,20 May 2025
36,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,27 Feb 2024
37,Nagpur,Nagpur,Rice,Other,FAQ,3000,3200,3150,29 Jun 2024
38,Nagpur,Nagpur,Rice,Other,FAQ,4200,4500,4425,12 Aug 2020
39,Nagpur,Nagpur,Rice,Other,FAQ,4200,4500,4425,19 Jun 2020
40,Nagpur,Nagpur,Rice,Other,FAQ,4200,4500,4425,21 Aug 2020
41,Nagpur,Nagpur,Rice,Other,FAQ,4200,4500,4425,26 Jun 2020
42,Nagpur,Nagpur,Rice,Other,FAQ,4200,4500,4425,29 Jul 2020
43,Nagpur,Nagpur,Rice,Other,FAQ,4200,5731,4425,03 Aug 2020
44,Nagpur,Nagpur,Rice,Other,FAQ,4500,4800,4725,21 Mar 2020
45,Nagpur,Nagpur,Rice,Other,FAQ,4500,5000,4875,04 Feb 2019
46,Nagpur,Nagpur,Rice,Other,FAQ,4500,5000,4875,19 Dec 2018
47,Nagpur,Nagpur,Rice,Other,FAQ,4500,5000,4875,30 Apr 2019
48,Nagpur,Nagpur,Rice,Other,FAQ,4700,5000,4925,24 Jun 2023
49,Nagpur,Nagpur,Rice,Other,FAQ,5000,5500,5375,01 Dec 2018
50,Nagpur,Nagpur,Rice,Other,FAQ,5000,5500,5375,04 Oct 2018
51,Nagpur,Nagpur,Rice,Other,FAQ,5600,6000,5900,25 Nov 2024
52,Nagpur,Nagpur,Rice,Other,FAQ,5600,6000,5900,28 Sep 2024
53,Nagpur,Ramtek,Rice,1009 Kar,FAQ,1500,1650,1575,13 Dec 2017
54,Nagpur,Ramtek,Rice,1009 Kar,FAQ,1900,1983,1941,09 Nov 2023
55,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2000,2000,2000,25 Nov 2018
56,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2100,2136,2118,24 Nov 2022
57,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2300,2357,2354,16 Nov 2022
58,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2400,2483,2441,13 Dec 2021
59,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2550,2750,2550,21 Dec 2019
60,Nagpur,Ramtek,Rice,1009 Kar,FAQ,2800,2912,2856,09 Dec 2019
61,Nagpur,Umared,Rice,Other,FAQ,260,4500,3800,26 Nov 2022
62,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,02 Feb 2017
63,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,02 Mar 2017
64,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,04 Feb 2017
65,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,04 Mar 2017
66,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,09 Mar 2017
67,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,11 Feb 2017
68,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,11 Mar 2017
69,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,16 Mar 2017
70,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,23 Feb 2017
71,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,23 Mar 2017
72,Nagpur,Umared,Rice,Other,FAQ,2000,3500,3300,25 Mar 2017
73,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,01 Apr 2017
74,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,01 Jun 2017
75,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,03 Jun 2017
76,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,04 May 2017
77,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,06 May 2017
78,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,08 Apr 2017
79,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,08 Jun 2017
80,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,11 May 2017
81,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,13 Apr 2017
82,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,13 May 2017
83,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,15 Apr 2017
84,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,15 Jun 2017
85,Nagpur,Umared,Rice,Other,FAQ,2000,3600,3300,16 Feb 2017
