Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Bhiwapur,Wheat,Maharashtra 2189,FAQ,1900,2050,2000,17 Apr 2022
2,Nagpur,Bhiwapur,Wheat,Other,FAQ,1600,1600,1600,29 Jul 2021
3,Nagpur,Bhiwapur,Wheat,Other,FAQ,1625,1625,1625,12 Aug 2021
4,Nagpur,Bhiwapur,Wheat,Other,FAQ,1640,1640,1640,10 Jun 2021
5,Nagpur,Bhiwapur,Wheat,Other,FAQ,1650,1650,1650,24 Jun 2021
6,Nagpur,Bhiwapur,Wheat,Other,FAQ,1900,2025,2000,12 Jun 2022
7,Nagpur,Bhiwapur,Wheat,Other,FAQ,1925,1950,1925,07 Apr 2022
8,Nagpur,Bhiwapur,Wheat,Other,FAQ,1970,2005,1985,24 Mar 2022
9,Nagpur,Bhiwapur,Wheat,Other,FAQ,1975,1975,1975,26 Jun 2022
10,Nagpur,Bhiwapur,Wheat,Other,FAQ,2000,2050,2025,16 Jun 2022
11,Nagpur,Bhiwapur,Wheat,Other,FAQ,2000,2080,2040,01 May 2022
12,Nagpur,Bhiwapur,Wheat,Other,FAQ,2000,2100,2050,09 Jun 2022
13,Nagpur,Bhiwapur,Wheat,Other,FAQ,2025,2055,2030,28 Apr 2022
14,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2050,2050,07 Jul 2022
15,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2050,2050,14 Jul 2022
16,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2050,2050,17 Jul 2022
17,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2050,2050,21 Jul 2022
18,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2060,2055,15 May 2022
19,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2100,2085,28 Apr 2024
20,Nagpur,Bhiwapur,Wheat,Other,FAQ,2050,2200,2125,27 Mar 2024
21,Nagpur,Bhiwapur,Wheat,Other,FAQ,2055,2085,2065,08 May 2022
22,Nagpur,Bhiwapur,Wheat,Other,FAQ,2100,2100,2100,04 Aug 2022
23,Nagpur,Bhiwapur,Wheat,Other,FAQ,2100,2100,2100,21 Aug 2022
24,Nagpur,Bhiwapur,Wheat,Other,FAQ,2100,2150,2100,08 May 2024
25,Nagpur,Bhiwapur,Wheat,Other,FAQ,2150,2150,2150,15 May 2024
26,Nagpur,Bhiwapur,Wheat,Other,FAQ,2150,2150,2150,28 May 2023
27,Nagpur,Bhiwapur,Wheat,Other,FAQ,2175,2175,2175,03 Apr 2024
28,Nagpur,Bhiwapur,Wheat,Other,FAQ,2200,2200,2200,05 Jun 2024
29,Nagpur,Bhiwapur,Wheat,Other,FAQ,2200,2200,2200,12 Jun 2024
30,Nagpur,Bhiwapur,Wheat,Other,FAQ,2200,2200,2200,19 Jun 2024
