Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
278,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-16
280,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-17
283,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-19
286,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-21
288,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-22
289,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-23
293,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-26
295,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-27
296,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-28
298,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-06-29
264,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-01
267,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-03
268,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-05
269,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-06
270,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-07
271,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-08
272,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-10
273,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-11
274,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-12
275,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-13
276,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-14
277,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-15
279,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-17
281,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-18
282,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-19
284,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-20
285,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-21
287,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-22
290,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-24
291,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-25
292,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-26
294,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-27
297,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-29
299,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-07-31
263,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-08-01
265,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-08-02
266,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,2800,2300,2017-08-03
555,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-12
556,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-14
557,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-16
558,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-17
559,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-18
560,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-19
561,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-21
562,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-22
563,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-23
564,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-24
565,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-28
566,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-30
567,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-08-31
548,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-01
549,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-02
550,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-04
551,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-06
552,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-07
553,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-08
554,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3000,2500,2017-09-09
569,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-12
570,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-13
571,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-14
572,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-15
573,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-18
574,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-19
575,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-20
576,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-21
577,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-22
578,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-23
579,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-26
580,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-09-28
568,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,2000,3200,2600,2017-10-02
308,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-03
309,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-04
310,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-09
311,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-10
312,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-11
313,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-12
314,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-13
315,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2400,2017-10-14
1889,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,18000,28000,23000,2017-10-16
10,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-18
11,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-23
12,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-24
14,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-25
15,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-27
16,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-28
17,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-30
18,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-10-31
3,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-01
4,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-02
5,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-03
6,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-04
7,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-06
8,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-07
9,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-08
82,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-10
83,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-11
84,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-13
85,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-14
86,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-15
87,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-16
88,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-17
89,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-18
90,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-20
91,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-21
92,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-22
93,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-23
94,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-11-24
13,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2100,2017-11-25
2,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,1800,2017-11-27
20,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2300,2017-11-28
21,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2300,2017-11-29
22,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2300,2017-11-30
19,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,2600,2300,2017-12-01
95,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-12
96,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-14
97,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-15
98,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-16
99,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-19
100,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-20
101,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-21
102,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-12-22
1,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,1900,1700,2017-12-23
35,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2300,2017-12-25
36,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2300,2017-12-26
37,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2300,2017-12-27
38,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2300,2017-12-28
39,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2300,2017-12-29
139,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2017-12-30
103,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-01
104,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-02
105,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-03
106,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-04
107,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-05
108,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-06
109,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-08
110,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-09
111,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-01-10
43,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-11
45,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-12
46,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-13
48,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-15
50,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-16
52,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-17
53,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-18
54,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-19
56,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-20
58,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-23
59,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-24
60,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-01-25
146,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-01-31
140,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-01
141,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-02
142,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-03
143,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-05
144,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-06
145,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2400,2018-02-07
40,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-08
41,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-09
42,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-10
44,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-12
47,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-15
49,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-16
51,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-17
55,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-20
57,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3400,2300,2018-02-21
153,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-22
154,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-23
155,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-24
156,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-26
157,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-27
158,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-02-28
147,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-01
148,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-03
149,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-05
150,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-06
151,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-07
152,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2500,2018-03-08
316,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-09
317,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-10
318,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-12
319,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-13
320,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-14
321,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-15
322,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-16
323,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-17
324,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-19
325,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-20
326,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-21
327,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3200,2400,2018-03-22
33,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-03-29
34,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-03-31
23,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-02
24,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-03
25,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-04
26,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-05
27,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-06
28,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-07
29,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-09
30,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-10
31,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-11
32,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1600,3000,2200,2018-04-12
115,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-13
116,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-14
120,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-17
122,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-18
124,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-19
126,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-20
127,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-21
130,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-23
133,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-25
135,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-26
137,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-04-27
306,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-04-28
307,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-04-30
300,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-02
301,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-03
302,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-04
303,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-05
304,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-08
305,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1800,3000,2300,2018-05-09
112,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-10
113,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-11
114,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-12
117,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-14
118,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-15
119,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-16
121,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-17
123,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-18
125,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-19
128,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-21
129,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-22
131,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-23
132,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-24
134,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-25
136,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-26
138,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3200,2400,2018-05-28
79,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-05-29
80,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-05-30
81,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-05-31
75,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-06-01
76,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-06-05
77,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-06-07
78,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1650,3400,2500,2018-06-08
159,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-09
160,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-11
161,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-12
162,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-13
163,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-14
164,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-15
165,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-16
166,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-18
167,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-19
168,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-20
169,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-21
170,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-22
171,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-23
172,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-25
173,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-26
174,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2600,2018-06-27
182,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-06-28
183,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-06-29
184,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-06-30
175,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-07-02
176,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-07-03
177,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-07-04
178,Mumbai,Mumbai,Jowar(Sorghum),Other,FAQ,1700,3500,2700,2018-07-05
