Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
132,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-02-25
131,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-03-16
116,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-03-25
18,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-05-24
87,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-06-06
62,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-06-13
30,Mumbai,Mumbai,Rice,Other,FAQ,2200,5200,3700,2017-06-17
115,Mumbai,Mumbai,Rice,Other,FAQ,2100,5200,3650,2017-07-25
71,Mumbai,Mumbai,Rice,Other,FAQ,8500,10500,9500,2017-07-26
86,Mumbai,Mumbai,Rice,Other,FAQ,2100,5500,3800,2017-07-28
16,Mumbai,Mumbai,Rice,Other,FAQ,2050,5200,3625,2017-08-03
74,Mumbai,Mumbai,Rice,Other,FAQ,2200,5500,3850,2017-08-14
17,Mumbai,Mumbai,Rice,Other,FAQ,2200,3800,3000,2017-08-31
159,Mumbai,Mumbai,Rice,Other,FAQ,2200,5000,3600,2017-09-09
1,Mumbai,Mumbai,Rice,Other,FAQ,2000,6000,4000,2017-09-16
2,Mumbai,Mumbai,Rice,Other,FAQ,2200,6000,4100,2017-10-04
146,Mumbai,Mumbai,Rice,Other,FAQ,2100,4600,3350,2017-10-20
63,Mumbai,Mumbai,Rice,Other,FAQ,2200,5500,3850,2017-11-04
61,Mumbai,Mumbai,Rice,Other,FAQ,2100,5500,3800,2017-11-08
31,Mumbai,Mumbai,Rice,Other,FAQ,2200,6500,4350,2018-01-02
85,Mumbai,Mumbai,Rice,Other,FAQ,2000,6500,4300,2018-01-16
37,Mumbai,Mumbai,Rice,Other,FAQ,2200,6700,4450,2018-02-02
107,Mumbai,Mumbai,Rice,Other,FAQ,9200,11600,9900,2018-02-09
36,Mumbai,Mumbai,Rice,Other,FAQ,2200,5500,3900,2018-02-12
68,Mumbai,Mumbai,Rice,Other,FAQ,2500,6500,4500,2018-03-29
141,Mumbai,Mumbai,Rice,Other,FAQ,2600,5500,4000,2018-04-30
3,Mumbai,Mumbai,Rice,Other,FAQ,2300,7000,4650,2018-05-05
174,Mumbai,Mumbai,Rice,Other,FAQ,2300,7000,4650,2018-05-09
25,Mumbai,Mumbai,Rice,Other,FAQ,2500,6500,4500,2018-05-17
93,Mumbai,Mumbai,Rice,Other,FAQ,2700,6500,4600,2018-05-21
150,Mumbai,Mumbai,Rice,Other,FAQ,2500,6500,4500,2018-05-24
52,Mumbai,Mumbai,Rice,Other,FAQ,2400,6500,4450,2018-05-30
147,Mumbai,Mumbai,Rice,Other,FAQ,2400,6500,4450,2018-06-11
160,Mumbai,Mumbai,Rice,Other,FAQ,2400,6500,4450,2018-06-14
104,Mumbai,Mumbai,Rice,Other,FAQ,2500,6500,4500,2018-06-18
19,Mumbai,Mumbai,Rice,Other,FAQ,2300,6500,4400,2018-06-29
26,Mumbai,Mumbai,Rice,Other,FAQ,2800,6500,4650,2018-07-14
130,Mumbai,Mumbai,Rice,Other,FAQ,9200,11500,10200,2018-07-16
44,Mumbai,Mumbai,Rice,Other,FAQ,2400,6500,4450,2018-08-10
176,Mumbai,Mumbai,Rice,Other,FAQ,2400,6500,4500,2018-10-01
