Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1568,Pune,Khed(Chakan),Potato,Other,FAQ,1500,2100,1800,2020-01-01
2344,Pune,Manchar,Potato,Other,FAQ,950,2000,1300,2020-01-02
4677,Pune,Pune,Potato,Other,FAQ,1600,2200,2000,2020-01-03
5865,Pune,Khed(Chakan),Potato,Other,FAQ,1500,2000,1800,2020-01-04
3003,Pune,Junnar(Otur),Potato,Other,FAQ,1000,2000,1500,2020-01-05
822,Pune,Junnar(Otur),Potato,Other,FAQ,500,1850,1500,2020-01-06
5986,Pune,Pune,Potato,Other,FAQ,2000,2600,2200,2020-01-07
7675,Pune,Junnar(Otur),Potato,Other,FAQ,500,1800,1500,2020-01-08
6344,Pune,Pune,Potato,Other,FAQ,2100,2600,2300,2020-01-09
5136,Pune,Pune,Potato,Other,FAQ,2000,2400,2200,2020-01-10
7721,Pune,Khed(Chakan),Potato,Other,FAQ,1500,2500,2200,2020-01-11
5983,Pune,Pune,Potato,Other,FAQ,1800,2700,2200,2020-01-12
6102,Pune,Pune,Potato,Other,FAQ,1500,2500,2000,2020-01-13
4198,Pune,Pune,Potato,Other,FAQ,1500,2600,2100,2020-01-14
2067,Pune,Manchar,Potato,Other,FAQ,1000,2010,1560,2020-01-15
2771,Pune,Manchar,Potato,Other,FAQ,850,2000,1450,2020-01-16
2616,Pune,Junnar(Otur),Potato,Other,FAQ,1000,2100,1800,2020-01-17
4207,Pune,Pune,Potato,Other,FAQ,1800,2400,2000,2020-01-19
3917,Pune,Pune,Potato,Other,FAQ,2000,2500,2400,2020-01-20
5134,Pune,Pune,Potato,Other,FAQ,1800,2700,2500,2020-01-21
1323,Pune,Junnar(Otur),Potato,Other,FAQ,1000,2300,2000,2020-01-22
2156,Pune,Pune,Potato,Other,FAQ,1600,2300,2000,2020-01-23
5119,Pune,Pune,Potato,Other,FAQ,1200,2000,1600,2020-01-24
3296,Pune,Khed(Chakan),Potato,Other,FAQ,1000,2000,1700,2020-01-25
1783,Pune,Junnar(Otur),Potato,Other,FAQ,500,1600,1200,2020-01-26
2513,Pune,Junnar(Otur),Potato,Other,FAQ,500,1960,1400,2020-01-27
3657,Pune,Manchar,Potato,Other,FAQ,950,3000,2150,2020-01-28
4521,Pune,Manchar,Potato,Other,FAQ,700,1600,1000,2020-01-29
2131,Pune,Pune,Potato,Other,FAQ,800,2000,1400,2020-01-30
7498,Pune,Pune(Khadiki),Potato,Other,FAQ,1500,2000,1750,2020-01-31
958,Pune,Khed(Chakan),Potato,Other,FAQ,1000,1800,1500,2020-02-01
6150,Pune,Pune,Potato,Other,FAQ,1000,2000,1500,2020-02-02
1701,Pune,Pune,Potato,Other,FAQ,1000,2000,1700,2020-02-03
