Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
456,Pune,Bhor,Rice,Other,FAQ,3500,4200,3800,2017-01-01
334,Pune,Nira(Saswad),Rice,Other,FAQ,2700,3500,3100,2017-01-04
104,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1690,1705,1700,2017-01-08
333,Pune,Nira(Saswad),Rice,Other,FAQ,2200,3551,2875,2017-01-11
229,Pune,Bhor,Rice,Other,FAQ,3500,4200,4000,2017-01-15
425,Pune,Nira(Saswad),Rice,Other,FAQ,2000,3400,2850,2017-01-18
336,Pune,Nira(Saswad),Rice,Other,FAQ,2800,3521,3160,2017-01-25
13,Pune,Bhor,Rice,Other,FAQ,3500,4000,3800,2017-01-29
138,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3521,3260,2017-02-01
259,Pune,Bhor,Rice,Other,FAQ,3600,4100,3800,2017-02-05
197,Pune,Nira(Saswad),Rice,Other,FAQ,2500,3500,3000,2017-02-08
367,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1690,1701,1701,2017-02-12
196,Pune,Nira(Saswad),Rice,Other,FAQ,2000,3500,2750,2017-02-15
431,Pune,Pune,Rice,Other,FAQ,5500,8500,7100,2017-02-20
299,Pune,Nira(Saswad),Rice,Other,FAQ,2200,2500,2300,2017-02-22
330,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1700,1800,1781,2017-02-26
492,Pune,Nira(Saswad),Rice,Other,FAQ,2200,3500,2850,2017-03-01
48,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1750,1765,1762,2017-03-05
50,Pune,Nira(Saswad),Rice,Other,FAQ,2500,3551,3005,2017-03-08
12,Pune,Bhor,Rice,Other,FAQ,3500,4000,3600,2017-03-12
199,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3800,3400,2017-03-15
47,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1750,1760,1760,2017-03-19
338,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3500,3250,2017-03-22
329,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1700,1760,1725,2017-03-26
465,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3500,3250,2017-03-29
234,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3500,3250,2017-04-05
233,Pune,Nira(Saswad),Rice,Other,FAQ,2400,3500,2950,2017-04-12
45,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1650,1781,1780,2017-04-23
139,Pune,Nira(Saswad),Rice,Other,FAQ,3275,3500,3387,2017-05-03
325,Pune,Baramati,Rice,Other,FAQ,1721,1801,1750,2017-05-08
339,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3600,3300,2017-05-10
79,Pune,Nira(Saswad),Rice,Other,FAQ,3000,3500,3250,2017-05-17
292,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1700,1765,1751,2017-05-21
