Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
280,Pune,Dound,Maize,Deshi Red,FAQ,1126,1151,1151,2017-01-01
328,Pune,Baramati,Maize,Deshi Red,FAQ,1100,1371,1300,2017-01-02
1307,Pune,Pune,Maize,Other,FAQ,1450,1575,1550,2017-01-03
615,Pune,Pune,Maize,Other,FAQ,1451,1501,1485,2017-01-04
1061,Pune,Baramati,Maize,Deshi Red,FAQ,1166,1390,1360,2017-01-05
736,Pune,Pune,Maize,Other,FAQ,1475,1525,1511,2017-01-06
3063,Pune,Pune,Maize,Other,FAQ,1450,1525,1500,2017-01-07
2089,Pune,Dound,Maize,Deshi Red,FAQ,1200,1351,1250,2017-01-08
1358,Pune,Baramati,Maize,Deshi Red,FAQ,1250,1382,1360,2017-01-09
3070,Pune,Pune,Maize,Other,FAQ,1500,1600,1560,2017-01-10
2687,Pune,Pune,Maize,Other,FAQ,1500,1600,1560,2017-01-11
737,Pune,Pune,Maize,Other,FAQ,1500,1600,1550,2017-01-12
1196,Pune,Shirur,Maize,Other,FAQ,1350,1350,1350,2017-01-13
677,Pune,Indapur(Nimgaon Ketki),Maize,Deshi Red,FAQ,1251,1370,1361,2017-01-14
631,Pune,Shirur,Maize,Other,FAQ,1275,1300,1300,2017-01-15
1330,Pune,Shirur,Maize,Other,FAQ,1300,1325,1300,2017-01-16
2417,Pune,Dound,Maize,Deshi Red,FAQ,1300,1450,1350,2017-01-17
1935,Pune,Pune,Maize,Other,FAQ,1500,1600,1560,2017-01-18
925,Pune,Baramati,Maize,Other,FAQ,1200,1400,1371,2017-01-19
1033,Pune,Indapur(Nimgaon Ketki),Maize,Deshi Red,FAQ,121,1385,1375,2017-01-21
790,Pune,Baramati,Maize,Deshi Red,FAQ,1265,1421,1400,2017-01-23
2152,Pune,Dound,Maize,Deshi Red,FAQ,1350,1501,1400,2017-01-24
2185,Pune,Nira(Saswad),Maize,Other,FAQ,1400,1510,1455,2017-01-25
2988,Pune,Dound,Maize,Deshi Red,FAQ,1340,1340,1340,2017-01-26
418,Pune,Pune,Maize,Other,FAQ,1500,1600,1560,2017-01-27
3017,Pune,Indapur(Nimgaon Ketki),Maize,Deshi Red,FAQ,1391,1415,1400,2017-01-28
304,Pune,Indapur(Bhigwan),Maize,Deshi Red,FAQ,1350,1425,1390,2017-01-29
285,Pune,Dound,Maize,Deshi Red,FAQ,1250,1400,1350,2017-01-30
1783,Pune,Dound,Maize,Deshi Red,FAQ,1350,1501,1400,2017-01-31
2133,Pune,Indapur(Nimgaon Ketki),Maize,Deshi Red,FAQ,1350,1451,1441,2017-02-01
857,Pune,Dound,Maize,Deshi Red,FAQ,1300,1421,1350,2017-02-02
2150,Pune,Dound,Maize,Deshi Red,FAQ,1350,1350,1350,2017-02-05
552,Pune,Shirur,Maize,Other,FAQ,1300,1300,1300,2017-02-06
861,Pune,Dound,Maize,Deshi Red,FAQ,1350,2125,1450,2017-02-07
1257,Pune,Nira(Saswad),Maize,Other,FAQ,1370,1500,1430,2017-02-08
223,Pune,Baramati,Maize,Deshi Red,FAQ,1300,1451,1425,2017-02-09
2332,Pune,Shirur,Maize,Other,FAQ,1200,1360,1300,2017-02-11
2803,Pune,Dound,Maize,Deshi Red,FAQ,1375,1375,1375,2017-02-12
1213,Pune,Dound,Maize,Deshi Red,FAQ,1275,1400,1350,2017-02-13
654,Pune,Dound,Maize,Deshi Red,FAQ,1365,1501,1425,2017-02-14
