Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
3023,Pune,Pune,Wheat,Sharbati,FAQ,3950,4300,4150,2019-01-01
310,Pune,Pune,Wheat,Sharbati,FAQ,3900,4300,4150,2019-01-02
2468,Pune,Pune,Wheat,Sharbati,FAQ,3900,4200,4050,2019-01-03
1808,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-04
691,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-05
1893,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2325,2100,2019-01-06
3099,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-07
3100,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-08
678,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-09
1637,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2001,3111,2200,2019-01-10
2696,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-11
1798,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-12
3307,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1925,2350,2100,2019-01-13
764,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2101,2000,2019-01-14
3098,Pune,Pune,Wheat,Sharbati,FAQ,3750,4200,3975,2019-01-15
3369,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4050,2019-01-16
178,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2200,1980,2019-01-17
309,Pune,Pune,Wheat,Sharbati,FAQ,3850,4350,4125,2019-01-18
2549,Pune,Pune,Wheat,Sharbati,FAQ,3850,4300,4075,2019-01-19
1484,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1970,2361,2050,2019-01-20
425,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2051,2500,2300,2019-01-21
2427,Pune,Pune,Wheat,Other,FAQ,2550,3000,2750,2019-01-22
896,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-23
296,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-24
692,Pune,Pune,Wheat,Sharbati,FAQ,3900,4250,4075,2019-01-25
1055,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2301,2100,2019-01-27
568,Pune,Baramati,Wheat,Kalyan,FAQ,1911,2100,2000,2019-01-28
1002,Pune,Pune,Wheat,Sharbati,FAQ,3800,4100,4000,2019-01-29
1964,Pune,Pune,Wheat,Sharbati,FAQ,3750,4100,3950,2019-01-30
2020,Pune,Pune,Wheat,Sharbati,FAQ,3800,4000,3900,2019-01-31
2032,Pune,Pune,Wheat,Sharbati,FAQ,3850,4000,3950,2019-02-01
1613,Pune,Baramati,Wheat,Kalyan,FAQ,1970,2150,2000,2019-02-04
2620,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1899,2250,2000,2019-02-07
1851,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2301,2100,2019-02-10
231,Pune,Baramati,Wheat,Kalyan,FAQ,1950,2100,2000,2019-02-11
2628,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2250,2050,2019-02-14
539,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1750,2400,2050,2019-02-17
795,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1960,3000,2200,2019-02-18
1342,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1960,2251,2100,2019-02-21
2289,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1850,2300,1951,2019-02-24
794,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1901,2151,2000,2019-02-25
1131,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1990,2251,2100,2019-03-01
