Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Deshi Red,FAQ,800,1700,1250,23 Oct 2022
2,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Deshi Red,FAQ,1000,1800,1400,24 Oct 2022
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Deshi Red,FAQ,2230,2250,2240,20 Jan 2025
4,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,171,2125,1938,20 Feb 2024
5,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,500,800,650,07 Apr 2022
6,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,600,800,700,27 Apr 2023
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,700,1200,950,24 May 2023
8,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,800,1300,1150,22 Aug 2023
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1000,1300,1150,18 Dec 2023
10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1000,1500,1250,16 Feb 2022
11,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1000,1600,1300,04 Oct 2022
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1000,1600,1300,13 Jan 2024
13,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1000,1600,1300,29 Oct 2022
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1300,1200,12 Nov 2021
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1300,1200,12 Oct 2021
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1310,1205,22 Oct 2021
17,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1400,1250,28 Oct 2021
18,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1400,1250,29 Oct 2021
19,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1430,1265,14 Jun 2021
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1440,1270,30 Oct 2021
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1500,1300,01 Nov 2021
22,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1500,1300,13 Oct 2021
23,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1100,1500,1300,19 Nov 2021
