Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Devala,Rice,Other,FAQ,1200,1325,1300,28 Aug 2020
2,Nashik,Devala,Rice,Other,FAQ,1200,1375,1325,31 Aug 2020
3,Nashik,Devala,Rice,Other,FAQ,1295,1370,1340,23 Jul 2020
4,Nashik,Devala,Rice,Other,FAQ,1295,1400,1350,03 Sep 2020
5,Nashik,Devala,Rice,Other,FAQ,1300,1320,1320,27 Aug 2020
6,Nashik,Devala,Rice,Other,FAQ,1300,1370,1350,08 Sep 2020
7,Nashik,Devala,Rice,Other,FAQ,1300,1395,1350,20 Jan 2022
8,Nashik,Devala,Rice,Other,FAQ,1300,1400,1370,11 Sep 2020
9,Nashik,Devala,Rice,Other,FAQ,1300,1425,1415,05 Jan 2022
10,Nashik,Devala,Rice,Other,FAQ,1305,1390,1380,09 Oct 2020
11,Nashik,Devala,Rice,Other,FAQ,1310,1390,1375,14 Sep 2020
12,Nashik,Devala,Rice,Other,FAQ,1325,1400,1390,13 Oct 2020
13,Nashik,Devala,Rice,Other,FAQ,1330,1375,1350,04 Sep 2020
14,Nashik,Devala,Rice,Other,FAQ,1335,1370,1350,18 Sep 2020
15,Nashik,Devala,Rice,Other,FAQ,1340,1380,1360,04 Jan 2022
16,Nashik,Devala,Rice,Other,FAQ,1340,1380,1360,15 Sep 2020
17,Nashik,Devala,Rice,Other,FAQ,1340,1380,1360,16 Sep 2020
18,Nashik,Devala,Rice,Other,FAQ,1340,1385,1375,13 Aug 2020
19,Nashik,Devala,Rice,Other,FAQ,1340,1385,1375,24 Aug 2020
20,Nashik,Devala,Rice,Other,FAQ,1345,1375,1365,07 Sep 2020
21,Nashik,Devala,Rice,Other,FAQ,1345,1385,1370,05 Nov 2020
22,Nashik,Devala,Rice,Other,FAQ,1345,1390,1370,10 Sep 2020
23,Nashik,Devala,Rice,Other,FAQ,1345,1390,1380,25 Aug 2020
24,Nashik,Devala,Rice,Other,FAQ,1350,1425,1405,11 Jan 2022
25,Nashik,Devala,Rice,Other,FAQ,1355,1380,1365,05 Aug 2020
26,Nashik,Devala,Rice,Other,FAQ,1355,1380,1370,19 Nov 2020
27,Nashik,Devala,Rice,Other,FAQ,1355,1400,1400,29 Dec 2021
28,Nashik,Devala,Rice,Other,FAQ,1355,1405,1385,17 Jan 2022
29,Nashik,Devala,Rice,Other,FAQ,1360,1390,1380,03 Nov 2020
30,Nashik,Devala,Rice,Other,FAQ,1360,1390,1380,25 Sep 2020
31,Nashik,Devala,Rice,Other,FAQ,1360,1395,1375,22 Sep 2020
32,Nashik,Devala,Rice,Other,FAQ,1360,1400,1390,28 Oct 2020
33,Nashik,Devala,Rice,Other,FAQ,1360,1425,1410,10 Jan 2022
34,Nashik,Devala,Rice,Other,FAQ,1365,1380,1370,20 Nov 2020
35,Nashik,Devala,Rice,Other,FAQ,1365,1390,1380,04 Nov 2020
36,Nashik,Devala,Rice,Other,FAQ,1365,1390,1380,14 Oct 2020
37,Nashik,Devala,Rice,Other,FAQ,1365,1395,1380,06 Nov 2020
38,Nashik,Devala,Rice,Other,FAQ,1365,1400,1385,23 Sep 2020
39,Nashik,Devala,Rice,Other,FAQ,1370,1390,1375,21 Sep 2020
40,Nashik,Devala,Rice,Other,FAQ,1370,1400,1390,08 Oct 2020
41,Nashik,Devala,Rice,Other,FAQ,1370,1405,1400,24 Nov 2020
42,Nashik,Devala,Rice,Other,FAQ,1375,1395,1390,12 Oct 2020
43,Nashik,Devala,Rice,Other,FAQ,1375,1400,1390,03 Dec 2020
44,Nashik,Devala,Rice,Other,FAQ,1375,1400,1390,24 Sep 2020
45,Nashik,Devala,Rice,Other,FAQ,1375,1405,1390,25 Nov 2020
46,Nashik,Devala,Rice,Other,FAQ,1375,1420,1405,07 Jan 2022
47,Nashik,Devala,Rice,Other,FAQ,1380,1385,1385,17 Aug 2020
48,Nashik,Devala,Rice,Other,FAQ,1380,1395,1390,09 Nov 2020
49,Nashik,Devala,Rice,Other,FAQ,1380,1395,1390,11 Nov 2020
50,Nashik,Devala,Rice,Other,FAQ,1380,1395,1390,28 Sep 2020
51,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,02 Nov 2020
52,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,09 Dec 2020
53,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,10 Nov 2020
54,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,27 Nov 2020
55,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,29 Oct 2020
56,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,29 Sep 2020
57,Nashik,Devala,Rice,Other,FAQ,1385,1395,1390,11 Dec 2020
58,Nashik,Devala,Rice,Other,FAQ,1385,1395,1395,05 Oct 2020
59,Nashik,Devala,Rice,Other,FAQ,1385,1400,1390,16 Dec 2020
60,Nashik,Devala,Rice,Other,FAQ,1385,1415,1405,27 Dec 2021
61,Nashik,Devala,Rice,Other,FAQ,1390,1395,1395,10 Dec 2020
62,Nashik,Devala,Rice,Other,FAQ,1390,1400,1400,01 Dec 2020
63,Nashik,Devala,Rice,Other,FAQ,1390,1400,1400,04 Dec 2020
64,Nashik,Devala,Rice,Other,FAQ,1390,1405,1395,07 Oct 2020
65,Nashik,Devala,Rice,Other,FAQ,1390,1425,1400,18 Jan 2022
66,Nashik,Devala,Rice,Other,FAQ,1390,1425,1400,23 Nov 2020
67,Nashik,Devala,Rice,Other,FAQ,1395,1395,1395,07 Dec 2020
68,Nashik,Devala,Rice,Other,FAQ,1395,1400,1400,02 Dec 2020
69,Nashik,Devala,Rice,Other,FAQ,1395,1430,1400,19 Jan 2022
70,Nashik,Devala,Rice,Other,FAQ,1400,1400,1400,28 Dec 2021
71,Nashik,Devala,Rice,Other,FAQ,1400,1410,1410,22 Dec 2021
72,Nashik,Devala,Rice,Other,FAQ,1400,1415,1415,17 Dec 2021
73,Nashik,Devala,Rice,Other,FAQ,1400,1500,1450,01 Oct 2021
74,Nashik,Devala,Rice,Other,FAQ,1400,1505,1500,01 Feb 2022
75,Nashik,Devala,Rice,Other,FAQ,1400,1525,1500,18 Aug 2021
76,Nashik,Devala,Rice,Other,FAQ,1405,1410,1410,16 Dec 2021
77,Nashik,Devala,Rice,Other,FAQ,1405,1420,1415,20 Dec 2021
78,Nashik,Devala,Rice,Other,FAQ,1405,1425,1420,15 Dec 2021
79,Nashik,Devala,Rice,Other,FAQ,1405,1430,1420,14 Dec 2021
80,Nashik,Devala,Rice,Other,FAQ,1405,1460,1450,27 Jan 2022
81,Nashik,Devala,Rice,Other,FAQ,1405,1485,1450,12 Oct 2021
82,Nashik,Devala,Rice,Other,FAQ,1405,1565,1505,17 Aug 2021
83,Nashik,Devala,Rice,Other,FAQ,1410,1525,1500,24 Aug 2021
84,Nashik,Devala,Rice,Other,FAQ,1420,1470,1450,28 Jan 2022
85,Nashik,Devala,Rice,Other,FAQ,1425,1460,1450,13 Dec 2021
86,Nashik,Devala,Rice,Other,FAQ,1425,1470,1455,06 Dec 2021
87,Nashik,Devala,Rice,Other,FAQ,1425,1485,1475,13 Oct 2021
88,Nashik,Devala,Rice,Other,FAQ,1425,1500,1480,08 Oct 2021
89,Nashik,Devala,Rice,Other,FAQ,1425,1530,1510,13 Sep 2021
90,Nashik,Devala,Rice,Other,FAQ,1435,1490,1465,05 Jun 2020
91,Nashik,Devala,Rice,Other,FAQ,1435,1500,1480,05 Oct 2021
92,Nashik,Devala,Rice,Other,FAQ,1440,1445,1445,03 Jan 2022
93,Nashik,Devala,Rice,Other,FAQ,1440,1460,1450,21 Dec 2020
94,Nashik,Devala,Rice,Other,FAQ,1440,1490,1470,14 Oct 2021
95,Nashik,Devala,Rice,Other,FAQ,1440,1510,1475,18 Oct 2021
96,Nashik,Devala,Rice,Other,FAQ,1440,1525,1490,04 Oct 2021
97,Nashik,Devala,Rice,Other,FAQ,1445,1470,1455,10 Dec 2021
98,Nashik,Devala,Rice,Other,FAQ,1450,1490,1475,03 Dec 2021
99,Nashik,Devala,Rice,Other,FAQ,1450,1495,1480,07 Oct 2021
100,Nashik,Devala,Rice,Other,FAQ,1450,1510,1500,24 Nov 2021
101,Nashik,Devala,Rice,Other,FAQ,1450,1515,1485,07 Jun 2022
102,Nashik,Devala,Rice,Other,FAQ,1450,1530,1515,30 Nov 2021
103,Nashik,Devala,Rice,Other,FAQ,1450,1565,1525,14 Sep 2021
104,Nashik,Devala,Rice,Other,FAQ,1455,1485,1470,07 Dec 2021
105,Nashik,Devala,Rice,Other,FAQ,1455,1515,1495,20 Oct 2021
106,Nashik,Devala,Rice,Other,FAQ,1460,1465,1465,08 Dec 2021
107,Nashik,Devala,Rice,Other,FAQ,1460,1500,1480,21 Oct 2021
108,Nashik,Devala,Rice,Other,FAQ,1460,1525,1490,22 Oct 2021
109,Nashik,Devala,Rice,Other,FAQ,1465,1505,1490,25 Oct 2021
110,Nashik,Devala,Rice,Other,FAQ,1470,1550,1525,27 Sep 2021
111,Nashik,Devala,Rice,Other,FAQ,1475,1525,1515,08 Jun 2022
112,Nashik,Devala,Rice,Other,FAQ,1475,1540,1505,04 Feb 2022
113,Nashik,Devala,Rice,Other,FAQ,1480,1515,1500,20 Aug 2021
114,Nashik,Devala,Rice,Other,FAQ,1480,1515,1505,25 Nov 2021
115,Nashik,Devala,Rice,Other,FAQ,1480,1520,1510,12 Nov 2021
116,Nashik,Devala,Rice,Other,FAQ,1480,1530,1515,23 Aug 2021
117,Nashik,Devala,Rice,Other,FAQ,1480,1565,1540,25 Aug 2021
118,Nashik,Devala,Rice,Other,FAQ,1485,1520,1500,26 Oct 2021
119,Nashik,Devala,Rice,Other,FAQ,1485,1565,1525,27 Aug 2021
120,Nashik,Devala,Rice,Other,FAQ,1490,1530,1510,27 Oct 2021
121,Nashik,Devala,Rice,Other,FAQ,1490,1530,1515,29 Nov 2021
122,Nashik,Devala,Rice,Other,FAQ,1490,1540,1520,09 Sep 2021
123,Nashik,Devala,Rice,Other,FAQ,1495,1525,1510,09 Nov 2021
124,Nashik,Devala,Rice,Other,FAQ,1495,1535,1525,13 Jun 2022
125,Nashik,Devala,Rice,Other,FAQ,1495,1545,1525,30 Aug 2021
126,Nashik,Devala,Rice,Other,FAQ,1500,1515,1510,11 Nov 2021
127,Nashik,Devala,Rice,Other,FAQ,1500,1520,1510,22 Nov 2021
128,Nashik,Devala,Rice,Other,FAQ,1500,1525,1520,10 Jun 2022
129,Nashik,Devala,Rice,Other,FAQ,1500,1530,1520,10 Nov 2021
130,Nashik,Devala,Rice,Other,FAQ,1500,1530,1520,17 Nov 2021
131,Nashik,Devala,Rice,Other,FAQ,1500,1530,1520,26 Nov 2021
132,Nashik,Devala,Rice,Other,FAQ,1500,1540,1525,02 Sep 2021
133,Nashik,Devala,Rice,Other,FAQ,1500,1540,1525,03 Feb 2022
134,Nashik,Devala,Rice,Other,FAQ,1500,1550,1530,22 Sep 2021
135,Nashik,Devala,Rice,Other,FAQ,1500,1570,1550,23 Sep 2021
