Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,250,3575,3063,09 Nov 2023
2,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1500,1700,1600,17 Jun 2021
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1500,1875,1687,23 Jun 2021
4,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1500,2275,1887,13 Jun 2022
5,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1500,3021,2260,03 May 2023
6,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1550,1961,1755,30 Aug 2021
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1700,1650,23 Jul 2021
8,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1800,1700,24 Jun 2021
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1800,1700,26 Jun 2021
10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1800,1700,28 Jun 2021
11,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1825,1712,15 Jun 2021
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1840,1720,16 Jun 2021
13,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1900,1750,12 Jun 2021
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1900,1750,19 Jun 2021
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1921,1760,08 Jul 2021
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,1960,1780,06 Jul 2021
17,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,2000,1800,18 Sep 2021
18,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,2121,1860,08 Sep 2021
19,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1600,2800,2200,04 Apr 2024
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1621,1800,1710,22 Jun 2021
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1625,1800,1712,10 Jul 2021
