Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
465,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,2950,3925,3437,2021-06-10
3860,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1200,1700,1500,2021-06-11
2218,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1500,2200,2000,2021-06-12
3856,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1200,1250,1225,2021-06-14
140,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1900,2200,2050,2021-06-15
3039,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1100,1300,1100,2021-06-16
3801,Ahmednagar,Shrigonda,Jowar(Sorghum),Other,FAQ,3000,3500,3200,2021-06-17
49,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1600,2000,1800,2021-06-18
3082,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1250,1300,1250,2021-06-19
2973,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1600,2075,1838,2021-06-21
884,Ahmednagar,Jamkhed,Jowar(Sorghum),Other,FAQ,2200,2800,2500,2021-06-22
2245,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1600,2200,2100,2021-06-23
3068,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1200,1700,1700,2021-06-24
886,Ahmednagar,Jamkhed,Jowar(Sorghum),Other,FAQ,2200,2800,2500,2021-06-25
3857,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1200,1300,1250,2021-06-26
3862,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1220,1225,1221,2021-06-28
3058,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1200,1300,1300,2021-06-29
3863,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1225,1751,1500,2021-06-30
3803,Ahmednagar,Shrigonda,Jowar(Sorghum),Other,FAQ,3000,3500,3300,2021-07-01
2479,Ahmednagar,Rahata,Jowar(Sorghum),Other,FAQ,1000,1661,1400,2021-07-02
3845,Ahmednagar,Shrirampur,Jowar(Sorghum),Other,FAQ,1000,1500,1250,2021-07-05
3390,Ahmednagar,Shevgaon(Bodhegaon),Jowar(Sorghum),Other,FAQ,1200,1350,1200,2021-07-06
3087,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1250,1400,1400,2021-07-07
120,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1800,2900,2350,2021-07-08
224,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,2000,3500,2750,2021-07-09
3095,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1300,1300,1300,2021-07-12
3400,Ahmednagar,Shevgaon(Bodhegaon),Jowar(Sorghum),Other,FAQ,1300,1300,1300,2021-07-13
3097,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1300,1300,1300,2021-07-14
798,Ahmednagar,Jamkhed,Jowar(Sorghum),Other,FAQ,1800,2400,2100,2021-07-15
3107,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1300,1400,1400,2021-07-16
2221,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1500,2200,2000,2021-07-17
3792,Ahmednagar,Shrigonda,Jowar(Sorghum),Other,FAQ,3000,3200,3100,2021-07-19
108,Ahmednagar,Ahmednagar,Jowar(Sorghum),Other,FAQ,1800,2200,2000,2021-07-21
3752,Ahmednagar,Shrigonda,Jowar(Sorghum),Other,FAQ,2700,3000,2900,2021-07-22
3405,Ahmednagar,Shevgaon(Bodhegaon),Jowar(Sorghum),Other,FAQ,1300,1400,1400,2021-07-23
2215,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1500,2000,1900,2021-07-24
3169,Ahmednagar,Shevgaon,Jowar(Sorghum),Other,FAQ,1725,2200,1725,2021-07-26
