Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2400,Ahmednagar,Rahata,Maize,Other,FAQ,1499,1651,1575,2021-06-10
3651,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1475,1425,2021-06-11
3163,Ahmednagar,Shevgaon,Maize,Deshi Red,FAQ,1300,1400,1400,2021-06-12
1437,Ahmednagar,Kopargaon,Maize,Other,FAQ,1590,1700,1639,2021-06-14
108,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1700,1875,1785,2021-06-15
3160,Ahmednagar,Shevgaon,Maize,Deshi Red,FAQ,1200,1200,1200,2021-06-16
1470,Ahmednagar,Kopargaon,Maize,Other,FAQ,1650,1775,1750,2021-06-17
6,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1150,1700,1425,2021-06-18
3115,Ahmednagar,Sangamner,Maize,Other,FAQ,1790,1870,1830,2021-06-21
25,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1275,1700,1487,2021-06-22
15,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1650,1450,2021-06-23
3337,Ahmednagar,Shrigonda,Maize,Other,FAQ,1850,1950,1900,2021-06-24
3231,Ahmednagar,Shevgaon,Maize,Yellow,FAQ,1500,1500,1500,2021-06-26
1473,Ahmednagar,Kopargaon,Maize,Other,FAQ,1650,1850,1775,2021-06-28
3165,Ahmednagar,Shevgaon,Maize,Deshi Red,FAQ,1325,1500,1325,2021-06-29
3173,Ahmednagar,Shevgaon,Maize,Deshi Red,FAQ,1500,1500,1500,2021-06-30
3311,Ahmednagar,Shrigonda,Maize,Other,FAQ,1850,1950,1900,2021-07-01
17,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1800,1525,2021-07-02
3317,Ahmednagar,Shrigonda,Maize,Other,FAQ,1850,1950,1900,2021-07-05
2427,Ahmednagar,Rahata,Maize,Other,FAQ,1600,1965,1800,2021-07-06
18,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1850,1550,2021-07-07
3233,Ahmednagar,Shevgaon,Maize,Yellow,FAQ,1500,1700,1700,2021-07-08
3663,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1700,1600,2021-07-09
1672,Ahmednagar,Kopargaon,Maize,Other,FAQ,1917,1950,1940,2021-07-12
130,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1751,1900,1825,2021-07-13
1711,Ahmednagar,Kopargaon,Maize,Other,FAQ,1975,1975,1975,2021-07-14
42,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1400,1800,1600,2021-07-15
483,Ahmednagar,Jamkhed,Maize,Other,FAQ,1000,1450,1225,2021-07-16
1545,Ahmednagar,Kopargaon,Maize,Other,FAQ,1755,1849,1821,2021-07-19
498,Ahmednagar,Jamkhed,Maize,Other,FAQ,1300,1400,1350,2021-07-23
489,Ahmednagar,Jamkhed,Maize,Other,FAQ,1100,1400,1250,2021-07-26
11,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1925,1560,2021-07-27
16,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1700,1475,2021-07-29
21,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,1900,1575,2021-07-30
3312,Ahmednagar,Shrigonda,Maize,Other,FAQ,1850,1950,1900,2021-08-02
3772,Ahmednagar,Shrirampur(Belapur),Maize,Deshi Red,FAQ,1150,1350,1250,2021-08-04
3766,Ahmednagar,Shrirampur(Belapur),Maize,Deshi Red,FAQ,1100,1300,1200,2021-08-05
24,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1251,2000,1625,2021-08-06
10,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1200,1850,1525,2021-08-09
146,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1800,2200,2000,2021-08-10
1388,Ahmednagar,Kopargaon,Maize,Other,FAQ,1500,1840,1750,2021-08-11
3235,Ahmednagar,Shevgaon,Maize,Yellow,FAQ,1600,1600,1600,2021-08-12
3135,Ahmednagar,Sangamner,Maize,Other,FAQ,2095,2095,2095,2021-08-13
3076,Ahmednagar,Rahuri(Vambori),Maize,Other,FAQ,5700,6300,6000,2021-08-14
3241,Ahmednagar,Shevgaon,Maize,Yellow,FAQ,1700,1900,1900,2021-08-16
1497,Ahmednagar,Kopargaon,Maize,Other,FAQ,1690,1917,1911,2021-08-18
120,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1700,2400,2050,2021-08-20
22,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1250,2000,1625,2021-08-21
1617,Ahmednagar,Kopargaon,Maize,Other,FAQ,1851,1851,1851,2021-08-23
1510,Ahmednagar,Kopargaon,Maize,Other,FAQ,1700,1921,1899,2021-08-24
1448,Ahmednagar,Kopargaon,Maize,Other,FAQ,1600,1899,1734,2021-08-25
510,Ahmednagar,Jamkhed,Maize,Other,FAQ,1400,1700,1550,2021-08-27
497,Ahmednagar,Jamkhed,Maize,Other,FAQ,1200,1600,1400,2021-08-30
3114,Ahmednagar,Sangamner,Maize,Other,FAQ,1780,1900,1840,2021-09-01
492,Ahmednagar,Jamkhed,Maize,Other,FAQ,1100,1600,1350,2021-09-02
2,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1000,1450,1225,2021-09-08
1352,Ahmednagar,Kopargaon,Maize,Other,FAQ,1392,1900,1890,2021-09-09
71,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1550,1600,1575,2021-09-13
