Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1181,Ahmednagar,Kopargaon,Onion,Other,FAQ,300,1341,900,2022-06-10
826,Ahmednagar,Jamkhed,Onion,Other,FAQ,100,1850,975,2022-06-11
4105,Ahmednagar,Rahuri(Vambori),Onion,Other,FAQ,100,1800,900,2022-06-12
4521,Ahmednagar,Sangamner,Onion,1st Sort,FAQ,1400,1901,1650,2022-06-13
4654,Ahmednagar,Sangamner,Onion,2nd Sort,FAQ,1200,1400,1300,2022-06-14
2551,Ahmednagar,Parner,Onion,Other,FAQ,200,2000,1400,2022-06-15
5775,Ahmednagar,Shevgaon,Onion,2nd Sort,FAQ,900,1100,900,2022-06-16
3726,Ahmednagar,Rahuri,Onion,Other,FAQ,100,1500,800,2022-06-17
94,Ahmednagar,Ahmednagar,Onion,Other,FAQ,455,1800,1305,2022-06-18
3334,Ahmednagar,Rahata,Onion,Other,FAQ,200,1700,1150,2022-06-19
6035,Ahmednagar,Shevgaon,Onion,Other,FAQ,200,800,800,2022-06-20
3755,Ahmednagar,Rahuri,Onion,Other,FAQ,100,1600,850,2022-06-21
4974,Ahmednagar,Sangamner,Onion,Other,FAQ,500,1000,750,2022-06-22
6614,Ahmednagar,Shrirampur,Onion,Other,FAQ,350,1463,900,2022-06-23
2539,Ahmednagar,Parner,Onion,Other,FAQ,200,1800,1200,2022-06-24
6068,Ahmednagar,Shevgaon,Onion,Other,FAQ,200,1000,1000,2022-06-25
3759,Ahmednagar,Rahuri,Onion,Other,FAQ,100,1600,850,2022-06-26
6358,Ahmednagar,Shrigonda,Onion,Other,FAQ,200,1300,1000,2022-06-27
4989,Ahmednagar,Sangamner,Onion,Other,FAQ,500,1000,750,2022-06-28
2544,Ahmednagar,Parner,Onion,Other,FAQ,200,1850,1250,2022-06-29
4509,Ahmednagar,Sangamner,Onion,1st Sort,FAQ,1300,1751,1525,2022-06-30
