Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2279,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1200,1100,2021-06-10
455,Ahmednagar,Rahata,Potato,Other,FAQ,1000,1300,1100,2021-06-11
1503,Ahmednagar,Rahuri,Potato,Other,FAQ,1000,1200,1100,2021-06-12
1521,Ahmednagar,Rahuri,Potato,Other,FAQ,1000,1400,1200,2021-06-13
458,Ahmednagar,Rahata,Potato,Other,FAQ,1000,1300,1100,2021-06-14
2290,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1200,1100,2021-06-15
432,Ahmednagar,Rahata,Potato,Other,FAQ,1000,1200,1100,2021-06-16
2472,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1500,1250,2021-06-17
1367,Ahmednagar,Rahuri,Potato,Other,FAQ,10,12,11,2021-06-18
2480,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1500,1250,2021-06-19
2299,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1200,1100,2021-06-20
493,Ahmednagar,Rahata,Potato,Other,FAQ,1000,1300,1200,2021-06-21
1370,Ahmednagar,Rahuri,Potato,Other,FAQ,10,12,11,2021-06-22
1371,Ahmednagar,Rahuri,Potato,Other,FAQ,10,12,11,2021-06-23
2309,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1200,1100,2021-06-24
2501,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1500,1250,2021-06-25
1366,Ahmednagar,Rahuri,Potato,Other,FAQ,10,11,10,2021-06-26
2407,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1400,1200,2021-06-27
2508,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1500,1250,2021-06-28
2513,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1500,1250,2021-06-30
2260,Ahmednagar,Shrirampur,Potato,Other,FAQ,1000,1200,1100,2021-07-01
