Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
8,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-06-11
9,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-06-12
68,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-13
69,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-14
10,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-06-16
70,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-17
71,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-18
72,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-19
73,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-20
74,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-21
75,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-23
76,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-24
13,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,2018-06-25
81,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3600,2018-06-26
77,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-27
78,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-28
79,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-06-30
62,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-02
5,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-07-03
6,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-07-04
7,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3500,2018-07-05
63,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-07
64,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-08
65,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-09
66,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-10
67,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3500,2018-07-12
11,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,2018-07-14
12,Ahmednagar,Karjat,Rice,Other,FAQ,2500,4500,3600,2018-07-15
80,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4500,3600,2018-07-16
89,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-07-17
90,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-07-18
110,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-07-19
119,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-07-21
120,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-07-22
112,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-07-26
159,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-07-28
161,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-07-29
91,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-07-30
92,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-07-31
84,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-08-01
86,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-08-04
105,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-08-05
125,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4700,3600,2018-08-06
106,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-08-07
116,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-08-08
87,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-08-11
88,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-08-12
82,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3500,2018-08-13
109,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-08-14
97,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3500,2018-08-15
83,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3500,2018-08-16
102,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,2018-08-18
103,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,2018-08-19
111,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-08-20
98,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3500,2018-08-21
121,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-08-23
127,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4500,3600,2018-08-25
128,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4500,3600,2018-08-26
129,Ahmednagar,Karjat,Rice,Other,FAQ,2750,4600,3500,2018-08-27
122,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-08-28
123,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-08-29
124,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-08-30
104,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-09-01
113,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-09-02
99,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3600,2018-09-03
100,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4500,3600,2018-09-04
140,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-05
141,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-06
101,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3400,2018-09-08
107,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-09-09
144,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-10
146,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-11
108,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3500,2018-09-12
177,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3600,2018-09-15
178,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3600,2018-09-16
180,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3600,2018-09-17
190,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3700,2018-09-18
137,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,2018-09-19
238,Ahmednagar,Karjat,Rice,Other,FAQ,2900,4600,3600,2018-09-20
150,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-22
152,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-23
153,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-24
155,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-25
157,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-26
191,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3700,2018-09-27
164,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-29
166,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-09-30
138,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-01
193,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4900,3600,2018-10-03
139,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-04
114,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-10-06
115,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-10-07
143,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-08
194,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4900,3600,2018-10-09
133,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,2018-10-10
134,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,2018-10-11
147,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-13
197,Ahmednagar,Karjat,Rice,Other,FAQ,2850,4600,3600,2018-10-14
199,Ahmednagar,Karjat,Rice,Other,FAQ,2850,4600,3600,2018-10-15
211,Ahmednagar,Karjat,Rice,Other,FAQ,2850,4800,3600,2018-10-16
136,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,2018-10-17
148,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-20
149,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-21
151,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-23
167,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3650,2018-10-24
154,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-25
158,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-27
160,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-28
163,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-29
165,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-10-30
85,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4600,3600,2018-11-01
93,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4800,3500,2018-11-03
94,Ahmednagar,Karjat,Rice,Other,FAQ,2600,4800,3500,2018-11-04
172,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3600,2018-11-06
175,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4800,3600,2018-11-10
145,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3600,2018-11-11
117,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-11-12
118,Ahmednagar,Karjat,Rice,Other,FAQ,2700,4600,3600,2018-11-13
135,Ahmednagar,Karjat,Rice,Other,FAQ,2800,4600,3500,2018-11-14
