Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
4485,Ahmednagar,Newasa,Wheat,Maharashtra 2189,FAQ,1750,1750,1750,2018-06-10
9444,Ahmednagar,Sangamner,Wheat,Other,FAQ,1650,1901,1776,2018-06-11
7200,Ahmednagar,Rahuri,Wheat,Other,FAQ,1650,1775,1715,2018-06-12
10037,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1600,1800,1800,2018-06-13
3096,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1650,1800,1780,2018-06-14
13985,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1751,2000,1890,2018-06-15
5119,Ahmednagar,Pathardi,Wheat,Maharashtra 2189,FAQ,1740,1790,1780,2018-06-16
7194,Ahmednagar,Rahuri,Wheat,Other,FAQ,1650,1750,1700,2018-06-17
1266,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ,1900,2200,2050,2018-06-18
9416,Ahmednagar,Sangamner,Wheat,Other,FAQ,1600,1870,1735,2018-06-19
14027,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1800,2025,1925,2018-06-20
3169,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1699,1800,1750,2018-06-21
980,Ahmednagar,Akole,Wheat,Maharashtra 2189,FAQ,1700,2200,1800,2018-06-22
7246,Ahmednagar,Rahuri,Wheat,Other,FAQ,1700,1750,1725,2018-06-23
10052,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1600,1800,1800,2018-06-24
5812,Ahmednagar,Rahata,Wheat,Other,FAQ,1650,1800,1700,2018-06-25
138,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1700,1891,1795,2018-06-26
3104,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1650,1836,1750,2018-06-27
12819,Ahmednagar,Shrigonda,Wheat,Other,FAQ,1600,1800,1800,2018-06-28
3185,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1700,1800,1750,2018-06-29
10066,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1600,1800,1800,2018-06-30
10027,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1600,1800,1800,2018-07-01
133,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1700,1841,1770,2018-07-02
1223,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ,1900,2100,2000,2018-07-03
103,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1680,1800,1740,2018-07-04
1832,Ahmednagar,Jamkhed,Wheat,Other,FAQ,1700,1900,1800,2018-07-05
976,Ahmednagar,Akole,Wheat,Maharashtra 2189,FAQ,1500,2200,1700,2018-07-06
1229,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ,1900,2100,2000,2018-07-07
7258,Ahmednagar,Rahuri,Wheat,Other,FAQ,1700,1775,1740,2018-07-08
1231,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ,1900,2100,2000,2018-07-09
6015,Ahmednagar,Rahata,Wheat,Other,FAQ,1786,1845,1800,2018-07-10
8596,Ahmednagar,Rahuri(Vambori),Wheat,Other,FAQ,1890,1900,1895,2018-07-11
11582,Ahmednagar,Shevgaon(Bodhegaon),Wheat,Maharashtra 2189,FAQ,1550,1650,1550,2018-07-12
977,Ahmednagar,Akole,Wheat,Maharashtra 2189,FAQ,1500,2200,1725,2018-07-13
8588,Ahmednagar,Rahuri(Vambori),Wheat,Other,FAQ,1875,2121,1950,2018-07-14
10178,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1700,1900,1900,2018-07-15
12814,Ahmednagar,Shrigonda,Wheat,Other,FAQ,1450,1675,1500,2018-07-16
8512,Ahmednagar,Rahuri(Vambori),Wheat,Other,FAQ,1800,1975,1880,2018-07-17
9551,Ahmednagar,Sangamner,Wheat,Other,FAQ,1850,2145,1998,2018-07-18
12812,Ahmednagar,Shrigonda,Wheat,Other,FAQ,1400,1801,1775,2018-07-19
10195,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1700,2000,1700,2018-07-20
3341,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1800,2096,1966,2018-07-21
10208,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1700,2000,2000,2018-07-22
12824,Ahmednagar,Shrigonda,Wheat,Other,FAQ,1735,1801,1775,2018-07-23
14130,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1830,2033,1975,2018-07-24
7379,Ahmednagar,Rahuri,Wheat,Other,FAQ,1800,1900,1850,2018-07-25
12821,Ahmednagar,Shrigonda,Wheat,Other,FAQ,1735,1800,1750,2018-07-26
3633,Ahmednagar,Kopargaon,Wheat,Other,FAQ,2000,2051,2022,2018-07-27
6167,Ahmednagar,Rahata,Wheat,Other,FAQ,1985,1991,1985,2018-07-28
10212,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1700,2000,2000,2018-07-29
10225,Ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ,1700,2050,2050,2018-07-30
7381,Ahmednagar,Rahuri,Wheat,Other,FAQ,1800,1900,1850,2018-07-31
367,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,1911,1925,1918,2018-08-01
14148,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1850,2251,2025,2018-08-02
3351,Ahmednagar,Kopargaon,Wheat,Other,FAQ,1800,2175,2050,2018-08-03
