Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
26,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3600,3000,2016-06-10
27,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3600,3000,2016-06-11
28,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3600,3000,2016-06-13
68,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1875,3650,2800,2016-06-14
69,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1875,3650,2800,2016-06-15
70,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1875,3650,2800,2016-06-16
67,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1850,3650,2800,2016-06-17
64,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1850,2850,2700,2016-06-18
8,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-20
9,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-21
10,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-22
11,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-23
12,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-24
13,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3650,2900,2016-06-25
32,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-06-27
33,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-06-28
34,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-06-29
35,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-06-30
30,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-07-01
31,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2900,2016-07-02
47,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3750,3000,2016-07-05
229,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,2000,3500,2800,2016-07-07
230,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,2000,3500,2800,2016-07-08
231,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,2000,3500,2800,2016-07-09
42,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3500,2600,2016-07-11
43,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3500,2600,2016-07-12
44,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3500,2600,2016-07-13
45,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3500,2600,2016-07-14
46,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1800,3500,2600,2016-07-16
14,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-18
15,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-19
16,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-20
17,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-21
18,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-22
19,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-23
20,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1700,3700,2600,2016-07-25
1,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,2016-07-26
2,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,2016-07-27
3,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1650,3500,2500,2016-07-28
65,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1850,3500,3000,2016-07-29
66,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1850,3500,3000,2016-07-30
29,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3650,2000,2016-08-01
36,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3850,2100,2016-08-02
37,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3850,2100,2016-08-03
38,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3850,2100,2016-08-04
39,Kolhapur,Kolhapur(Laxmipuri),Jowar(Sorghum),Other,FAQ,1750,3850,2100,2016-08-05
