Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
131,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1610,1605,2016-07-01
220,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,7800,11300,9500,2016-07-07
152,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-11
153,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-13
154,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-14
155,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-18
156,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-19
157,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-20
158,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-07-25
149,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-08-08
150,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-08-09
151,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1800,1700,2016-08-10
137,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1700,1650,2016-08-16
138,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1700,1650,2016-08-17
139,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1600,1700,1650,2016-08-19
185,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,2000,1900,2016-08-22
186,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,2000,1900,2016-08-23
187,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,2000,1900,2016-08-24
217,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-08-29
218,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-08-30
219,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-08-31
195,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2000,1950,2016-09-06
200,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2000,1950,2016-09-09
213,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-09-12
214,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-09-14
215,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-09-16
216,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2100,2000,2016-09-17
161,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1700,1800,1750,2016-09-19
162,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1700,1800,1750,2016-09-20
163,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1700,1800,1750,2016-09-21
164,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1700,1800,1750,2016-09-22
165,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1700,1800,1750,2016-09-24
182,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-09-26
183,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-09-27
184,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-09-28
166,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-03
167,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-04
168,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-05
169,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-06
170,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-07
173,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-12
174,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-13
175,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-17
176,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-18
177,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-19
178,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-20
179,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-21
180,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1800,1900,1850,2016-10-22
193,Kolhapur,Kolhapur(Laxmipuri),Maize,Other,FAQ,1900,2000,1950,2016-11-03
