Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
116,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1300,900,2020-06-10
68,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1200,700,2020-06-12
65,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1100,800,2020-06-15
34,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1100,850,2020-06-17
20,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,2020-06-19
21,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,2020-06-22
60,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,850,2020-06-24
54,Kolhapur,Kolhapur,Onion,Other,FAQ,350,1100,900,2020-06-26
37,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1200,800,2020-06-29
33,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1100,800,2020-07-01
63,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1100,800,2020-07-03
57,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,800,2020-07-06
56,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,750,2020-07-08
64,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1100,800,2020-07-10
58,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,800,2020-07-13
55,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,700,2020-07-15
19,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,2020-07-17
66,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1100,800,2020-07-27
22,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,2020-07-29
59,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1000,800,2020-07-31
18,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,800,2020-08-03
4,Kolhapur,Kolhapur,Onion,Other,FAQ,300,900,750,2020-08-05
15,Kolhapur,Kolhapur,Onion,Other,FAQ,300,1000,700,2020-08-07
3,Kolhapur,Kolhapur,Onion,Other,FAQ,300,900,600,2020-08-10
67,Kolhapur,Kolhapur,Onion,Other,FAQ,400,1100,850,2020-08-12
232,Kolhapur,Kolhapur,Onion,Other,FAQ,500,1300,1100,2020-08-14
480,Kolhapur,Kolhapur,Onion,Other,FAQ,600,1300,1100,2020-08-17
613,Kolhapur,Kolhapur,Onion,Other,FAQ,700,1700,1300,2020-08-19
304,Kolhapur,Kolhapur,Onion,Other,FAQ,500,1600,1200,2020-08-24
526,Kolhapur,Kolhapur,Onion,Other,FAQ,600,1800,1400,2020-08-28
499,Kolhapur,Kolhapur,Onion,Other,FAQ,600,1700,1300,2020-08-31
500,Kolhapur,Kolhapur,Onion,Other,FAQ,600,1700,1400,2020-09-01
501,Kolhapur,Kolhapur,Onion,Other,FAQ,600,1700,1400,2020-09-02
643,Kolhapur,Kolhapur,Onion,Other,FAQ,700,1800,1400,2020-09-03
714,Kolhapur,Kolhapur,Onion,Other,FAQ,700,2200,1800,2020-09-04
710,Kolhapur,Kolhapur,Onion,Other,FAQ,700,2200,1600,2020-09-05
651,Kolhapur,Kolhapur,Onion,Other,FAQ,700,1900,1500,2020-09-07
673,Kolhapur,Kolhapur,Onion,Other,FAQ,700,2000,1600,2020-09-08
857,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2300,1800,2020-09-09
878,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2500,1900,2020-09-10
869,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2500,1700,2020-09-11
879,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2500,1900,2020-09-12
892,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2600,1900,2020-09-14
808,Kolhapur,Kolhapur,Onion,Other,FAQ,800,2400,1700,2020-09-15
880,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2500,2000,2020-09-16
811,Kolhapur,Kolhapur,Onion,Other,FAQ,800,2500,1900,2020-09-17
911,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2800,1900,2020-09-18
822,Kolhapur,Kolhapur,Onion,Other,FAQ,800,3200,2000,2020-09-19
1153,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4500,3000,2020-09-21
1124,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4200,2700,2020-09-22
1029,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,4200,2600,2020-09-23
1012,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,4000,2000,2020-09-24
849,Kolhapur,Kolhapur,Onion,Other,FAQ,900,3800,2000,2020-09-25
831,Kolhapur,Kolhapur,Onion,Other,FAQ,800,3500,2000,2020-09-26
1093,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,4000,2200,2020-09-28
1092,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,4000,2000,2020-09-29
1129,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4300,2400,2020-09-30
1094,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,4000,2400,2020-10-01
1009,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3800,2200,2020-10-02
1004,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3700,2600,2020-10-03
989,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3500,3000,2020-10-05
990,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3500,3000,2020-10-06
1,Kolhapur,Kolhapur,Onion,Other,FAQ,100,3500,2900,2020-10-07
991,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3500,3000,2020-10-08
1006,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3700,2900,2020-10-09
1010,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3800,2700,2020-10-10
1212,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5100,3500,2020-10-12
1205,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5100,3200,2020-10-13
1215,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5250,3500,2020-10-14
1098,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,4800,3200,2020-10-15
1247,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5500,4200,2020-10-28
1230,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,6000,4200,2020-10-29
1254,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,7000,4500,2020-10-30
1255,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,7000,4500,2020-10-31
1257,Kolhapur,Kolhapur,Onion,Other,FAQ,3000,7000,5000,2020-11-02
1256,Kolhapur,Kolhapur,Onion,Other,FAQ,2500,6500,4200,2020-11-03
1227,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5500,3800,2020-11-04
1035,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,5000,3500,2020-11-05
1161,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4500,3500,2020-11-06
1203,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5000,3500,2020-11-07
1228,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,6000,3500,2020-11-09
1225,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5500,3500,2020-11-10
1224,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5500,3400,2020-11-11
1169,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4700,3500,2020-11-12
1242,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5000,3500,2020-11-13
1245,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5400,3800,2020-11-16
1226,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,5500,3500,2020-11-17
1229,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,6000,3800,2020-11-18
1251,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,6000,4000,2020-11-19
1252,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,6000,4000,2020-11-20
1246,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5500,3800,2020-11-21
1244,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5200,4000,2020-11-23
1243,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,5000,4000,2020-11-24
1238,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,4500,3500,2020-11-25
1232,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,4000,3500,2020-11-26
1239,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,4500,3500,2020-11-27
1233,Kolhapur,Kolhapur,Onion,Other,FAQ,2000,4000,3500,2020-11-28
1127,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4200,3500,2020-12-01
1128,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4200,3500,2020-12-02
1134,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4300,3500,2020-12-03
1122,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4000,3200,2020-12-04
1116,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3800,3000,2020-12-05
1079,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3400,2500,2020-12-07
959,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3200,2500,2020-12-09
926,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3000,2500,2020-12-10
1085,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3600,2500,2020-12-11
1022,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,4000,2500,2020-12-12
1005,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3700,2800,2020-12-15
988,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3500,2800,2020-12-16
927,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3000,2500,2020-12-17
916,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2850,2300,2020-12-18
809,Kolhapur,Kolhapur,Onion,Other,FAQ,800,2500,1800,2020-12-19
810,Kolhapur,Kolhapur,Onion,Other,FAQ,800,2500,1800,2020-12-21
914,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2800,2200,2020-12-22
1069,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,2900,2300,2020-12-23
1071,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3000,2300,2020-12-24
1077,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3200,2300,2020-12-25
1075,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3100,2300,2020-12-26
1081,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3500,2300,2020-12-29
1078,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3200,2400,2020-12-30
1118,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,4000,2800,2020-12-31
1115,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3800,2700,2021-01-01
1109,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3500,2800,2021-01-02
1101,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3200,2800,2021-01-04
1100,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3200,2500,2021-01-05
938,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3200,2200,2021-01-06
1108,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3500,2700,2021-01-14
1114,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3600,3000,2021-01-16
1113,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3600,2900,2021-01-18
1104,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3300,2900,2021-01-19
1112,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3600,2800,2021-01-20
1111,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3600,2600,2021-01-21
1103,Kolhapur,Kolhapur,Onion,Other,FAQ,1500,3300,2700,2021-01-22
1073,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3000,2500,2021-01-23
1072,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3000,2400,2021-01-25
915,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,2850,2200,2021-01-27
958,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3200,2300,2021-01-28
960,Kolhapur,Kolhapur,Onion,Other,FAQ,1000,3250,2300,2021-01-29
1083,Kolhapur,Kolhapur,Onion,Other,FAQ,1200,3500,2500,2021-01-30
