Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
458,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-10
459,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-11
455,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1400,2016-06-13
460,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-14
461,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-15
462,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-16
463,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-17
464,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-18
489,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,1800,1600,2016-06-20
490,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,1800,1600,2016-06-21
465,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-22
466,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-23
491,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,1800,1600,2016-06-24
467,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-25
468,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-27
469,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1800,1600,2016-06-28
476,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-06-29
477,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-06-30
482,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,2000,1600,2016-07-01
472,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-07-02
473,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-07-05
474,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-07-07
475,Kolhapur,Kolhapur,Potato,Other,FAQ,1200,1900,1600,2016-07-08
582,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2200,1800,2016-07-09
591,Kolhapur,Kolhapur,Potato,Other,FAQ,1800,2500,2200,2016-07-16
584,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2500,2100,2016-07-18
590,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2200,2000,2016-07-19
572,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-07-20
585,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2000,1800,2016-07-21
558,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1700,2016-07-22
573,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-07-23
574,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-07-25
586,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2000,1800,2016-07-26
497,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,2000,1800,2016-07-27
537,Kolhapur,Kolhapur,Potato,Other,FAQ,1400,2100,1800,2016-07-28
575,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-07-29
583,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2200,1800,2016-07-30
588,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2200,1800,2016-08-01
589,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2200,1800,2016-08-02
581,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2200,1800,2016-08-03
562,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-04
563,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-05
564,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-06
577,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2100,1800,2016-08-08
565,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-09
567,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-10
569,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-11
587,Kolhapur,Kolhapur,Potato,Other,FAQ,1600,2100,1800,2016-08-12
578,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2100,1800,2016-08-13
571,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-08-16
546,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-17
547,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-18
538,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1800,1600,2016-08-19
539,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1800,1600,2016-08-20
557,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1700,2016-08-22
543,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1850,1700,2016-08-23
559,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1700,2016-08-24
549,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-25
550,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-26
551,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-27
552,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-29
553,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-08-30
514,Kolhapur,Kolhapur,Potato,Other,FAQ,1400,1900,1700,2016-08-31
540,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1800,1700,2016-09-01
541,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1800,1700,2016-09-02
561,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,2000,1800,2016-09-03
504,Kolhapur,Kolhapur,Potato,Other,FAQ,1400,1900,1700,2016-09-05
544,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1900,1700,2016-09-06
507,Kolhapur,Kolhapur,Potato,Other,FAQ,1400,1900,1700,2016-09-07
493,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,1900,1700,2016-09-08
542,Kolhapur,Kolhapur,Potato,Other,FAQ,1500,1800,1700,2016-09-09
492,Kolhapur,Kolhapur,Potato,Other,FAQ,1300,1800,1700,2016-09-12
450,Kolhapur,Kolhapur,Potato,Other,FAQ,1000,1800,1600,2016-09-14
451,Kolhapur,Kolhapur,Potato,Other,FAQ,1000,1800,1600,2016-09-15
