Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
200,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-10
103,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-06-11
128,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4200,2016-06-13
75,Sangli,Sangli,Rice,Other,FAQ,1950,6000,4500,2016-06-14
209,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-15
762,Sangli,Sangli,Rice,Other,FAQ,2200,6000,4500,2016-06-16
64,Sangli,Sangli,Rice,Other,FAQ,1900,6000,4500,2016-06-17
4,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,2016-06-18
218,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-20
118,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-06-21
227,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-22
230,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-23
233,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-24
239,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-25
83,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4200,2016-06-27
768,Sangli,Sangli,Rice,Other,FAQ,2200,6000,4500,2016-06-28
253,Sangli,Sangli,Rice,Other,FAQ,2000,6100,4500,2016-06-29
250,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-06-30
86,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-01
88,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-02
130,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-07-04
95,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-05
195,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-07
11,Sangli,Sangli,Rice,Other,FAQ,1800,5500,4500,2016-07-08
98,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-09
102,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-11
105,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-12
206,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-13
107,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-14
2,Sangli,Sangli,Rice,Other,FAQ,1700,5100,4500,2016-07-15
211,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-16
117,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-07-21
226,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-22
136,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-07-23
238,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-25
5,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,2016-07-26
78,Sangli,Sangli,Rice,Other,FAQ,2000,5200,4200,2016-07-27
248,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-07-28
74,Sangli,Sangli,Rice,Other,FAQ,1950,5300,4500,2016-07-29
80,Sangli,Sangli,Rice,Other,FAQ,2000,5200,4500,2016-07-30
85,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-01
190,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-02
372,Sangli,Sangli,Rice,Other,FAQ,2200,5500,4500,2016-08-03
76,Sangli,Sangli,Rice,Other,FAQ,1950,6100,4500,2016-08-04
194,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-05
3,Sangli,Sangli,Rice,Other,FAQ,1700,5500,4500,2016-08-06
131,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-08-08
198,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-09
99,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-10
101,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-11
104,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-12
204,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-13
108,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-16
308,Sangli,Sangli,Rice,Other,FAQ,2100,5500,4500,2016-08-17
113,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-19
116,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-20
225,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-22
229,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-23
121,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-24
364,Sangli,Sangli,Rice,Other,FAQ,2200,5200,4400,2016-08-25
243,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-08-26
79,Sangli,Sangli,Rice,Other,FAQ,2000,5200,4500,2016-08-27
127,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-08-30
87,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-01
89,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-02
93,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-03
96,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-06
97,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-07
81,Sangli,Sangli,Rice,Other,FAQ,2000,5500,3500,2016-09-08
381,Sangli,Sangli,Rice,Other,FAQ,2200,5500,4500,2016-09-09
100,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-10
106,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-12
134,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-09-14
210,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-09-15
109,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-16
110,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-17
388,Sangli,Sangli,Rice,Other,FAQ,2200,5500,4500,2016-09-19
135,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-09-20
120,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-22
122,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-24
125,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-09-26
137,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-09-28
392,Sangli,Sangli,Rice,Other,FAQ,2200,5500,4500,2016-09-29
328,Sangli,Sangli,Rice,Other,FAQ,2100,6000,4500,2016-09-30
84,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4300,2016-10-01
92,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-10-03
94,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-10-04
402,Sangli,Sangli,Rice,Other,FAQ,2200,5800,4500,2016-10-05
752,Sangli,Sangli,Rice,Other,FAQ,2200,6000,4500,2016-10-06
197,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-10-08
133,Sangli,Sangli,Rice,Other,FAQ,2000,5800,4500,2016-10-10
1154,Sangli,Sangli,Rice,Other,FAQ,2500,6000,4500,2016-10-14
323,Sangli,Sangli,Rice,Other,FAQ,2100,6000,4500,2016-10-15
387,Sangli,Sangli,Rice,Other,FAQ,2200,5500,4500,2016-10-17
112,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-10-18
115,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-10-19
221,Sangli,Sangli,Rice,Other,FAQ,2000,6000,4500,2016-10-20
119,Sangli,Sangli,Rice,Other,FAQ,2000,5500,4500,2016-10-21
764,Sangli,Sangli,Rice,Other,FAQ,2200,6000,4500,2016-10-22
