Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
359,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2900,2700,2016-06-10
360,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2900,2700,2016-06-11
361,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2900,2700,2016-06-13
354,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2850,2700,2016-06-14
355,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2850,2700,2016-06-15
356,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2850,2700,2016-06-16
357,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2850,2700,2016-06-17
358,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2350,2850,2700,2016-06-18
315,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-20
316,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-21
317,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-22
318,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-23
319,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-24
320,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2700,2016-06-25
334,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3100,2700,2016-06-27
335,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3100,2700,2016-06-28
336,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3100,2700,2016-06-29
337,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3100,2700,2016-06-30
346,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3200,2700,2016-07-01
423,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2400,3300,2700,2016-07-02
314,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,2900,2600,2016-07-05
325,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3000,2600,2016-07-07
326,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3000,2600,2016-07-08
327,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2300,3000,2600,2016-07-09
68,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2150,3000,2600,2016-07-11
69,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2150,3000,2600,2016-07-12
70,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2150,3000,2600,2016-07-13
71,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2150,3000,2600,2016-07-14
72,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2150,3000,2600,2016-07-16
73,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2200,3000,2600,2016-07-18
74,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2200,3000,2600,2016-07-19
75,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2200,3000,2600,2016-07-20
76,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2200,3000,2600,2016-07-21
77,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,2200,3000,2600,2016-07-22
