Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1015,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-16
958,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-19
959,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-21
435,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-22
1016,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-23
823,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-06-27
878,Mumbai,Mumbai,Maize,Other,FAQ,300,400,350,2017-07-01
279,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-03
764,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-05
822,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-07
1256,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-11
551,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-13
1014,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-15
335,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-17
336,Mumbai,Mumbai,Maize,Other,FAQ,1700,1900,1800,2017-07-25
633,Mumbai,Mumbai,Maize,Other,FAQ,1800,2000,1900,2017-08-22
197,Mumbai,Mumbai,Maize,Other,FAQ,1800,2000,1900,2017-08-24
195,Mumbai,Mumbai,Maize,Other,FAQ,1500,1800,1650,2018-01-03
334,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-04-25
550,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-04-26
1255,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-04-27
549,Mumbai,Mumbai,Maize,Other,FAQ,1500,1900,1700,2018-04-28
277,Mumbai,Mumbai,Maize,Other,FAQ,1500,1900,1700,2018-05-03
492,Mumbai,Mumbai,Maize,Other,FAQ,1500,1900,1700,2018-05-08
957,Mumbai,Mumbai,Maize,Other,FAQ,1500,1900,1700,2018-05-09
879,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-05-11
196,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-05-12
278,Mumbai,Mumbai,Maize,Other,FAQ,1600,2000,1800,2018-05-17
821,Mumbai,Mumbai,Maize,Other,FAQ,1600,1800,1700,2018-06-22
61,Mumbai,Mumbai,Maize,Other,FAQ,1800,2000,1900,2018-09-17
458,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-10
522,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-11
991,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-12
1051,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-13
34,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-15
366,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-18
307,Mumbai,Mumbai,Maize,Other,FAQ,2300,2700,2500,2019-06-24
665,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-06-25
456,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-06-26
30,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-06-27
215,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-06-28
988,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-06-29
986,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-07-02
901,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-07-06
663,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-07-08
579,Mumbai,Mumbai,Maize,Other,FAQ,2200,2600,2400,2019-07-19
223,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-07-25
997,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-07-26
87,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-01
88,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-03
1057,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-05
584,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-06
996,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-07
174,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-12
869,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-13
529,Mumbai,Mumbai,Maize,Other,FAQ,2400,2800,2600,2019-08-14
