Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
695,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2800,2017-06-16
1089,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2800,2017-06-17
860,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2700,2017-06-19
335,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2800,2017-06-21
336,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2800,2017-06-22
71,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2800,2017-06-23
1376,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-06-26
274,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-06-27
1259,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-06-28
854,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-06-29
271,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-01
383,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-03
684,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-05
384,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-06
927,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-07
1257,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-08
685,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-10
1,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2700,2017-07-11
982,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2650,2017-07-12
328,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2700,2017-07-13
680,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-07-14
1255,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2650,2017-07-15
1712,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2700,2017-07-17
58,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-07-18
681,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-07-19
1256,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-07-20
926,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-07-21
687,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-22
1375,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-24
386,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-25
1258,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-26
984,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-27
689,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-28
930,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-29
797,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-07-31
510,Mumbai,Mumbai,Wheat,Other,FAQ,1900,2200,2050,2017-08-01
511,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-08-02
509,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-08-03
327,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2700,2017-08-04
269,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2700,2017-08-05
925,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-08-07
1085,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-08-08
1369,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-08-10
326,Mumbai,Mumbai,Wheat,Other,FAQ,1850,3500,2675,2017-08-11
1095,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-12
522,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-14
342,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-16
703,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-17
533,Mumbai,Mumbai,Wheat,Other,FAQ,2100,3500,2750,2017-08-18
343,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-19
813,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2750,2017-08-21
944,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2800,2017-08-22
868,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3500,2800,2017-08-23
516,Mumbai,Mumbai,Wheat,Other,FAQ,1950,2050,2000,2017-08-24
1263,Mumbai,Mumbai,Wheat,Other,FAQ,1950,2050,2000,2017-08-28
155,Mumbai,Mumbai,Wheat,Other,FAQ,1900,2500,2200,2017-08-29
387,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-08-30
270,Mumbai,Mumbai,Wheat,Other,FAQ,1900,2200,2050,2017-08-31
682,Mumbai,Mumbai,Wheat,Other,FAQ,1900,2200,2050,2017-09-01
157,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-09-02
853,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-09-04
60,Mumbai,Mumbai,Wheat,Other,FAQ,1900,3500,2700,2017-09-06
800,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2725,2017-09-07
517,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2725,2017-09-08
1720,Mumbai,Mumbai,Wheat,Other,FAQ,1950,3500,2700,2017-09-09
1091,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3400,2700,2017-09-12
1265,Mumbai,Mumbai,Wheat,Other,FAQ,2000,3400,2700,2017-09-13
