Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
510,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1180,1250,1220,2016-10-24
43,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1131,1340,1235,2016-10-25
60,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1210,1230,1220,2016-10-27
51,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1160,1200,1180,2016-10-28
504,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1001,1050,1030,2016-11-07
503,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,990,1025,1012,2016-11-08
38,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1120,1204,1160,2016-11-15
50,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1160,1186,1172,2016-11-17
89,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1338,1338,1338,2016-11-18
53,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1174,1174,1174,2016-11-20
54,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1179,1179,1179,2016-11-21
55,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1180,1181,1180,2016-11-23
128,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,2016-11-24
52,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1161,1550,1320,2016-11-25
124,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1725,2016-11-26
63,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1240,1250,1245,2016-11-28
58,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1191,1200,1195,2016-11-29
521,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1300,1445,1390,2016-11-30
520,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1265,1340,1300,2016-12-02
519,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1250,1250,1250,2016-12-03
123,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1725,2016-12-05
67,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1253,1290,1275,2016-12-06
542,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1602,1602,1602,2016-12-07
65,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1246,1246,1246,2016-12-11
126,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,2016-12-14
518,Nagpur,Savner,Jowar(Sorghum),Other,FAQ,1230,1837,1600,2016-12-16
