Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1362,Nagpur,Savner,Maize,Other,FAQ,1500,1500,1500,2016-10-17
1187,Nagpur,Savner,Maize,Other,FAQ,1238,1305,1280,2016-10-19
1212,Nagpur,Savner,Maize,Other,FAQ,1273,1281,1278,2016-10-20
1219,Nagpur,Savner,Maize,Other,FAQ,1276,1276,1276,2016-10-21
1172,Nagpur,Savner,Maize,Other,FAQ,1216,1309,1290,2016-10-22
1132,Nagpur,Savner,Maize,Other,FAQ,1150,1295,1240,2016-10-24
1074,Nagpur,Savner,Maize,Other,FAQ,1024,1252,1200,2016-10-25
1053,Nagpur,Savner,Maize,Other,FAQ,1000,1210,1175,2016-10-26
1008,Nagpur,Savner,Maize,Other,FAQ,901,1250,1075,2016-10-27
11,Nagpur,Katol,Maize,Other,FAQ,910,910,910,2016-10-28
103,Nagpur,Katol,Maize,Other,FAQ,1170,1170,1170,2016-11-07
1106,Nagpur,Savner,Maize,Other,FAQ,1098,1246,1190,2016-11-08
476,Nagpur,Nagpur,Maize,Other,FAQ,1200,1300,1275,2016-11-09
1095,Nagpur,Savner,Maize,Other,FAQ,1055,1266,1180,2016-11-10
1043,Nagpur,Savner,Maize,Other,FAQ,996,1274,1125,2016-11-11
1144,Nagpur,Savner,Maize,Other,FAQ,1187,1274,1240,2016-11-12
1126,Nagpur,Savner,Maize,Other,FAQ,1144,1276,1220,2016-11-14
1068,Nagpur,Savner,Maize,Other,FAQ,1014,1299,1200,2016-11-15
1099,Nagpur,Savner,Maize,Other,FAQ,1075,1286,1220,2016-11-16
1124,Nagpur,Savner,Maize,Other,FAQ,1140,1330,1270,2016-11-17
1146,Nagpur,Savner,Maize,Other,FAQ,1190,1289,1250,2016-11-18
462,Nagpur,Nagpur,Maize,Other,FAQ,1140,1250,1222,2016-11-19
83,Nagpur,Katol,Maize,Other,FAQ,1140,1290,1220,2016-11-20
1158,Nagpur,Savner,Maize,Other,FAQ,1200,1337,1300,2016-11-21
1093,Nagpur,Savner,Maize,Other,FAQ,1054,1328,1300,2016-11-22
1111,Nagpur,Savner,Maize,Other,FAQ,1101,1331,1300,2016-11-23
469,Nagpur,Nagpur,Maize,Other,FAQ,1150,1300,1262,2016-11-24
109,Nagpur,Katol,Maize,Other,FAQ,1181,1301,1250,2016-11-25
1174,Nagpur,Savner,Maize,Other,FAQ,1221,1280,1255,2016-11-26
115,Nagpur,Katol,Maize,Other,FAQ,1196,1270,1225,2016-11-27
158,Nagpur,Katol,Maize,Other,FAQ,1265,1265,1265,2016-11-28
108,Nagpur,Katol,Maize,Other,FAQ,1180,1275,1225,2016-11-29
