Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
3169,Nagpur,Ramtek,Onion,Other,FAQ,1000,1200,1100,2020-06-10
3152,Nagpur,Ramtek,Onion,Other,FAQ,800,1000,900,2020-06-11
3154,Nagpur,Ramtek,Onion,Other,FAQ,800,1000,900,2020-06-13
3214,Nagpur,Ramtek,Onion,Other,FAQ,1000,1400,1200,2020-06-14
348,Nagpur,Kamthi,Onion,Local,FAQ,600,1000,900,2020-06-15
3220,Nagpur,Ramtek,Onion,Other,FAQ,1000,1400,1200,2020-06-16
372,Nagpur,Kamthi,Onion,Local,FAQ,800,1200,1100,2020-06-17
375,Nagpur,Kamthi,Onion,Local,FAQ,800,1200,1100,2020-06-19
3170,Nagpur,Ramtek,Onion,Other,FAQ,1000,1200,1100,2020-06-20
3171,Nagpur,Ramtek,Onion,Other,FAQ,1000,1200,1100,2020-06-21
3274,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-22
3276,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-23
3278,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-24
3279,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-25
362,Nagpur,Kamthi,Onion,Local,FAQ,600,1400,1200,2020-06-26
3282,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-27
3283,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-28
3284,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-29
3285,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-06-30
1188,Nagpur,Nagpur,Onion,Red,FAQ,600,1000,900,2020-07-01
352,Nagpur,Kamthi,Onion,Local,FAQ,600,1400,1200,2020-07-02
3262,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-04
406,Nagpur,Kamthi,Onion,Local,FAQ,1000,1600,1400,2020-07-05
1246,Nagpur,Nagpur,Onion,Red,FAQ,800,1000,950,2020-07-06
2512,Nagpur,Nagpur,Onion,White,FAQ,1200,1900,1725,2020-07-07
3266,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-08
410,Nagpur,Kamthi,Onion,Local,FAQ,1000,1600,1400,2020-07-09
842,Nagpur,Kamthi,Onion,Local,FAQ,2000,3000,2800,2020-07-10
3268,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-11
3269,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-12
1214,Nagpur,Nagpur,Onion,Red,FAQ,700,1000,925,2020-07-13
3270,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-14
3271,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-15
1257,Nagpur,Nagpur,Onion,Red,FAQ,800,1000,950,2020-07-16
3272,Nagpur,Ramtek,Onion,Other,FAQ,1200,1400,1300,2020-07-18
3229,Nagpur,Ramtek,Onion,Other,FAQ,1000,1400,1200,2020-07-19
1263,Nagpur,Nagpur,Onion,Red,FAQ,800,1000,950,2020-07-20
