Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2738,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-10
2607,Nagpur,Ramtek,Potato,Other,FAQ,1400,1600,1500,2020-06-11
2743,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-13
2620,Nagpur,Ramtek,Potato,Other,FAQ,1400,1600,1500,2020-06-14
2748,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-15
2714,Nagpur,Ramtek,Potato,Other,FAQ,1600,1800,1700,2020-06-16
1033,Nagpur,Kamthi,Potato,Other,FAQ,1200,2400,2200,2020-06-17
2755,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-18
1057,Nagpur,Kamthi,Potato,Other,FAQ,1400,2800,2600,2020-06-19
2757,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-20
2761,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-21
2765,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-22
2767,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-23
2768,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-24
2770,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-25
1035,Nagpur,Kamthi,Potato,Other,FAQ,1200,2800,2500,2020-06-26
2773,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-27
2777,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-28
1723,Nagpur,Nagpur,Potato,Other,FAQ,800,900,875,2020-06-29
2781,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-06-30
2731,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-01
1163,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-02
2735,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-04
1168,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-05
794,Nagpur,Kamthi,Potato,Other,FAQ,500,1000,800,2020-07-06
2143,Nagpur,Nagpur,Potato,Other,FAQ,1800,2200,2100,2020-07-07
2144,Nagpur,Nagpur,Potato,Other,FAQ,1800,2200,2100,2020-07-09
1173,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-10
2740,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-11
2742,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-12
2146,Nagpur,Nagpur,Potato,Other,FAQ,1900,2200,2125,2020-07-13
2746,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-14
2747,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-15
2147,Nagpur,Nagpur,Potato,Other,FAQ,1900,2200,2125,2020-07-16
2754,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-18
2756,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-19
2152,Nagpur,Nagpur,Potato,Other,FAQ,2000,2400,2300,2020-07-20
2150,Nagpur,Nagpur,Potato,Other,FAQ,2000,2300,2225,2020-07-21
2764,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-22
1176,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-23
1177,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-24
2799,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-07-25
2800,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-07-26
2165,Nagpur,Nagpur,Potato,Other,FAQ,2200,2500,2425,2020-07-28
2801,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-07-29
2780,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-07-30
1182,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-07-31
2783,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-01
2732,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-08-02
2170,Nagpur,Nagpur,Potato,Other,FAQ,2300,2500,2450,2020-08-03
2171,Nagpur,Nagpur,Potato,Other,FAQ,2300,2500,2450,2020-08-04
2786,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-05
2161,Nagpur,Nagpur,Potato,Other,FAQ,2200,2500,2425,2020-08-06
1169,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-07
2789,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-08
1171,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-09
2172,Nagpur,Nagpur,Potato,Other,FAQ,2300,2500,2450,2020-08-10
2791,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-11
2792,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-12
2793,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-13
2794,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-16
1783,Nagpur,Nagpur,Potato,Other,FAQ,900,1100,1050,2020-08-17
2164,Nagpur,Nagpur,Potato,Other,FAQ,2200,2500,2425,2020-08-18
1175,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-19
2797,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-20
2763,Nagpur,Ramtek,Potato,Other,FAQ,1800,2000,1900,2020-08-22
2798,Nagpur,Ramtek,Potato,Other,FAQ,2000,2200,2100,2020-08-23
1178,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-25
1179,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-27
1180,Nagpur,Kamthi,Potato,Other,FAQ,2000,3000,2800,2020-08-28
2167,Nagpur,Nagpur,Potato,Other,FAQ,2200,2800,2650,2020-08-29
2168,Nagpur,Nagpur,Potato,Other,FAQ,2200,2800,2650,2020-08-30
2169,Nagpur,Nagpur,Potato,Other,FAQ,2200,2800,2650,2020-08-31
2810,Nagpur,Ramtek,Potato,Other,FAQ,2400,2800,2600,2020-09-01
2174,Nagpur,Nagpur,Potato,Other,FAQ,2400,2800,2700,2020-09-02
2179,Nagpur,Nagpur,Potato,Other,FAQ,2500,2800,2725,2020-09-03
2802,Nagpur,Ramtek,Potato,Other,FAQ,2000,2400,2200,2020-09-05
2196,Nagpur,Nagpur,Potato,Other,FAQ,2600,2800,2750,2020-09-06
2197,Nagpur,Nagpur,Potato,Other,FAQ,2600,2800,2750,2020-09-07
2198,Nagpur,Nagpur,Potato,Other,FAQ,2600,2800,2750,2020-09-08
2199,Nagpur,Nagpur,Potato,Other,FAQ,2600,2800,2750,2020-09-09
2200,Nagpur,Nagpur,Potato,Other,FAQ,2600,2800,2750,2020-09-10
2182,Nagpur,Nagpur,Potato,Other,FAQ,2500,2800,2725,2020-09-12
2820,Nagpur,Ramtek,Potato,Other,FAQ,2400,2800,2600,2020-09-13
2185,Nagpur,Nagpur,Potato,Other,FAQ,2500,2800,2725,2020-09-14
