Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
112,Nagpur,Umared,Rice,Other,FAQ,2000,3850,3300,2016-06-11
102,Nagpur,Umared,Rice,Other,FAQ,2000,3800,3300,2016-06-16
122,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3300,2016-06-18
123,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3300,2016-06-23
154,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-06-25
159,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-06-30
183,Nagpur,Umared,Rice,Other,FAQ,2000,4200,3500,2016-07-02
130,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-07-07
138,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-07-14
142,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-07-16
148,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-07-21
114,Nagpur,Umared,Rice,Other,FAQ,2000,3850,3500,2016-07-23
115,Nagpur,Umared,Rice,Other,FAQ,2000,3850,3500,2016-07-28
158,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-07-30
126,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-08-04
128,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-08-06
113,Nagpur,Umared,Rice,Other,FAQ,2000,3850,3400,2016-08-11
137,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-08-13
209,Nagpur,Umared,Rice,Other,FAQ,2200,4000,3500,2016-08-20
156,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-08-27
97,Nagpur,Umared,Rice,Other,FAQ,2000,3700,3500,2016-09-03
132,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-09-08
141,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-09-15
119,Nagpur,Umared,Rice,Other,FAQ,2000,3900,3500,2016-09-17
150,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-09-22
153,Nagpur,Umared,Rice,Other,FAQ,2000,4000,3500,2016-09-24
174,Nagpur,Umared,Rice,Other,FAQ,2000,4100,3500,2016-09-29
