Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2859,Nagpur,Savner,Wheat,Other,FAQ,1534,1645,1600,2021-06-10
2909,Nagpur,Savner,Wheat,Other,FAQ,1650,1817,1750,2021-06-11
3605,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,2021-06-12
121,Nagpur,Katol,Wheat,Other,FAQ,1664,1681,1670,2021-06-13
2836,Nagpur,Savner,Wheat,Other,FAQ,1223,1666,1550,2021-06-14
2055,Nagpur,Nagpur,Wheat,Sharbati,FAQ,2400,3000,2850,2021-06-15
994,Nagpur,Nagpur,Wheat,Other,FAQ,1600,1788,1741,2021-06-16
118,Nagpur,Katol,Wheat,Other,FAQ,1651,1651,1651,2021-06-17
113,Nagpur,Katol,Wheat,Other,FAQ,1635,1651,1641,2021-06-18
3612,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,2021-06-19
2667,Nagpur,Ramtek,Wheat,Other,FAQ,1630,1630,1630,2021-06-20
2840,Nagpur,Savner,Wheat,Other,FAQ,1351,1614,1550,2021-06-21
104,Nagpur,Katol,Wheat,Other,FAQ,1625,1651,1641,2021-06-22
2066,Nagpur,Nagpur,Wheat,Sharbati,FAQ,2400,3000,2850,2021-06-23
5,Nagpur,Bhiwapur,Wheat,Other,FAQ,1650,1650,1650,2021-06-24
94,Nagpur,Katol,Wheat,Other,FAQ,1600,1671,1655,2021-06-25
998,Nagpur,Nagpur,Wheat,Other,FAQ,1600,1806,1755,2021-06-26
105,Nagpur,Katol,Wheat,Other,FAQ,1625,1661,1645,2021-06-27
2858,Nagpur,Savner,Wheat,Other,FAQ,1519,1640,1600,2021-06-28
2896,Nagpur,Savner,Wheat,Other,FAQ,1613,1640,1635,2021-06-29
997,Nagpur,Nagpur,Wheat,Other,FAQ,1600,1806,1754,2021-06-30
2863,Nagpur,Savner,Wheat,Other,FAQ,1550,1650,1600,2021-07-01
2868,Nagpur,Savner,Wheat,Other,FAQ,1568,1588,1588,2021-07-02
2048,Nagpur,Nagpur,Wheat,Sharbati,FAQ,2400,3000,2850,2021-07-03
2651,Nagpur,Ramtek,Wheat,Other,FAQ,1550,1575,1565,2021-07-04
92,Nagpur,Katol,Wheat,Other,FAQ,1600,1630,1620,2021-07-05
2861,Nagpur,Savner,Wheat,Other,FAQ,1550,1595,1575,2021-07-06
106,Nagpur,Katol,Wheat,Other,FAQ,1630,1655,1645,2021-07-07
2653,Nagpur,Ramtek,Wheat,Other,FAQ,1560,1560,1560,2021-07-08
