Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
453,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2223,2914,2500,2017-01-01
1003,Pune,Pune,Jowar(Sorghum),Other,FAQ,3300,3450,3400,2017-01-02
345,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1751,2611,2200,2017-01-03
778,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1651,3000,2300,2017-01-04
420,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2000,2600,2400,2017-01-05
989,Pune,Pune,Jowar(Sorghum),Other,FAQ,3200,3450,3350,2017-01-06
726,Pune,Indapur(Nimgaon Ketki),Jowar(Sorghum),Other,FAQ,1700,2501,1800,2017-01-07
456,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2300,2400,2400,2017-01-08
2938,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2100,2550,2100,2017-01-09
424,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2000,3000,2400,2017-01-10
816,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,3000,2350,2017-01-11
421,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2000,2700,2500,2017-01-12
2916,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1900,2200,2025,2017-01-13
1017,Pune,Pune,Jowar(Sorghum),Other,FAQ,3400,3600,3550,2017-01-14
436,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2100,2800,2500,2017-01-16
468,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2401,3051,2550,2017-01-17
1038,Pune,Pune,Jowar(Sorghum),Other,FAQ,3450,3650,3600,2017-01-18
747,Pune,Indapur(Nimgaon Ketki),Jowar(Sorghum),Other,FAQ,2200,2451,2400,2017-01-21
475,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2500,3000,2750,2017-01-24
817,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,3100,2400,2017-01-25
1023,Pune,Pune,Jowar(Sorghum),Other,FAQ,3400,3650,3530,2017-01-27
1024,Pune,Pune,Jowar(Sorghum),Other,FAQ,3400,3650,3550,2017-01-28
683,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3000,2200,2017-01-29
603,Pune,Indapur,Jowar(Sorghum),Other,FAQ,2200,2700,2400,2017-01-30
2947,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2300,2500,2400,2017-01-31
1009,Pune,Pune,Jowar(Sorghum),Other,FAQ,3300,3600,3450,2017-02-01
463,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2351,2900,2700,2017-02-03
716,Pune,Indapur(Nimgaon Ketki),Jowar(Sorghum),Other,FAQ,1300,2175,1711,2017-02-04
685,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3100,2200,2017-02-05
451,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2201,2800,2600,2017-02-06
422,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2000,2750,2450,2017-02-07
815,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,3000,2350,2017-02-08
473,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2500,2600,2500,2017-02-09
445,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2200,2361,2200,2017-02-10
681,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2800,2200,2017-02-12
2949,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2350,2350,2350,2017-02-13
2934,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2000,3900,3900,2017-02-14
1036,Pune,Pune,Jowar(Sorghum),Other,FAQ,3450,3650,3560,2017-02-15
2808,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1500,2400,2150,2017-02-16
194,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2611,2450,2017-02-17
1,Pune,Baramati,Jowar(Sorghum),Other,FAQ,1900,2650,2411,2017-02-20
2926,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2000,2200,2100,2017-02-21
390,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1851,2501,2251,2017-02-22
439,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2125,2551,2200,2017-02-23
684,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3100,2100,2017-02-26
2833,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2000,2000,2017-02-27
2937,Pune,Shirur,Jowar(Sorghum),Other,FAQ,2100,2500,2300,2017-02-28
919,Pune,Pune,Jowar(Sorghum),Other,FAQ,2150,2400,2275,2017-03-01
185,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2301,2000,2017-03-02
2918,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1900,2251,2000,2017-03-03
2883,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,2400,2200,2017-03-04
91,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1300,2451,1751,2017-03-05
569,Pune,Indapur,Jowar(Sorghum),Other,FAQ,1600,2551,2075,2017-03-06
379,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1801,2501,2251,2017-03-07
807,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2500,2100,2017-03-08
189,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2400,2051,2017-03-09
373,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2501,2100,2017-03-10
721,Pune,Indapur(Nimgaon Ketki),Jowar(Sorghum),Other,FAQ,1551,2111,2000,2017-03-11
397,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1900,2400,2100,2017-03-12
339,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1751,2200,1951,2017-03-13
347,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1755,2501,1900,2017-03-14
780,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1655,2675,2155,2017-03-15
93,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1300,2500,2201,2017-03-16
2836,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2100,1800,2017-03-17
734,Pune,Indapur(Nimgaon Ketki),Jowar(Sorghum),Other,FAQ,1835,2311,2251,2017-03-18
665,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2751,2000,2017-03-19
363,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2200,2000,2017-03-20
2838,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1601,2200,1601,2017-03-21
785,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1699,2575,2087,2017-03-22
594,Pune,Indapur,Jowar(Sorghum),Other,FAQ,1851,2400,2000,2017-03-23
1034,Pune,Pune,Jowar(Sorghum),Other,FAQ,3450,3650,3550,2017-03-24
1028,Pune,Pune,Jowar(Sorghum),Other,FAQ,3450,3600,3525,2017-03-25
640,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,2801,2150,2017-03-26
364,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2300,2100,2017-03-27
374,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2550,2150,2017-03-28
811,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2651,2175,2017-03-29
369,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2401,2200,2017-03-30
2877,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,2100,1900,2017-03-31
2834,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2050,1900,2017-04-01
184,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2301,2000,2017-04-02
293,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1651,2251,2050,2017-04-03
349,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1775,2701,2100,2017-04-04
812,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2700,2200,2017-04-05
579,Pune,Indapur,Jowar(Sorghum),Other,FAQ,1700,2500,2000,2017-04-06
375,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2600,2150,2017-04-07
2847,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1675,2000,1800,2017-04-08
674,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2551,2000,2017-04-09
2866,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,1900,1900,2017-04-10
282,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1650,2600,2200,2017-04-11
813,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2711,2205,2017-04-12
192,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2500,2100,2017-04-13
351,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1786,2500,2241,2017-04-14
2831,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,2017-04-15
673,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2501,2000,2017-04-16
2899,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,2017-04-17
371,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1800,2500,2300,2017-04-18
777,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1651,2651,2101,2017-04-19
186,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2350,2150,2017-04-20
190,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2411,2000,2017-04-21
2843,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1650,1900,1825,2017-04-22
672,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2411,2051,2017-04-23
193,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,2551,2351,2017-04-24
2864,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,1900,1800,2017-04-25
782,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1655,3151,2375,2017-04-26
432,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,2100,2100,2100,2017-04-27
401,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1951,2361,2200,2017-04-28
2880,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,2225,1800,2017-04-29
2829,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2000,1700,2017-04-30
140,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1400,2200,2000,2017-05-01
256,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1600,2500,2200,2017-05-02
834,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1800,2701,2250,2017-05-03
2842,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1650,1900,1800,2017-05-04
141,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1400,2221,2000,2017-05-05
266,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1617,2200,2100,2017-05-07
174,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1500,1975,1800,2017-05-08
253,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1600,2400,2100,2017-05-09
784,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1660,2431,2015,2017-05-10
2845,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1650,2050,1900,2017-05-11
138,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1400,2121,1800,2017-05-12
209,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1551,1900,1800,2017-05-14
257,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1600,2551,1900,2017-05-15
252,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1600,2400,1900,2017-05-16
810,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2550,2125,2017-05-17
1006,Pune,Pune,Jowar(Sorghum),Other,FAQ,3300,3500,3400,2017-05-18
321,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1700,2200,1850,2017-05-19
129,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1400,1851,1700,2017-05-21
565,Pune,Indapur,Jowar(Sorghum),Other,FAQ,1501,2300,1900,2017-05-22
336,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1750,2300,2050,2017-05-23
774,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1650,2400,2000,2017-05-24
2837,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1600,2300,1800,2017-05-25
2841,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1650,1861,1700,2017-05-26
2872,Pune,Shirur,Jowar(Sorghum),Other,FAQ,1700,2001,1800,2017-05-28
382,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1821,2200,1850,2017-05-29
244,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1600,2200,1850,2017-05-30
776,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1651,2451,2025,2017-05-31
528,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,4551,4750,4750,2017-06-01
981,Pune,Pune,Jowar(Sorghum),Other,FAQ,3200,3400,3300,2017-06-06
803,Pune,Nira(Saswad),Jowar(Sorghum),Other,FAQ,1700,2400,2050,2017-06-07
933,Pune,Pune,Jowar(Sorghum),Other,FAQ,3000,3200,3100,2017-06-08
338,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1751,2101,1900,2017-06-09
87,Pune,Dound,Jowar(Sorghum),Jowar ( White),FAQ,1300,2251,1700,2017-06-11
