,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
3772,3773,Pune,Indapur,Onion,Red,FAQ,500,6500,3000,2020-01-01
3407,3408,Pune,Pune,Onion,Local,FAQ,1500,4800,3200,2020-01-02
6284,6285,Pune,Pune,Onion,Local,FAQ,1000,4500,3000,2020-01-03
7099,7100,Pune,Khed(Chakan),Onion,Other,FAQ,2000,4600,3500,2020-01-04
735,736,Pune,Manchar,Onion,Other,FAQ,2500,5000,3100,2020-01-05
8082,8083,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3000,2000,2020-01-06
8584,8585,Pune,Pune(Pimpri),Onion,Local,FAQ,2500,4200,3350,2020-01-07
5201,5202,Pune,Indapur,Onion,Red,FAQ,500,7000,2600,2020-01-08
10346,10347,Pune,Pune(Khadiki),Onion,Local,FAQ,800,3500,2150,2020-01-09
5371,5372,Pune,Indapur,Onion,Red,FAQ,500,5100,2800,2020-01-10
1413,1414,Pune,Khed(Chakan),Onion,Other,FAQ,1500,3500,3000,2020-01-11
4835,4836,Pune,Pune(Pimpri),Onion,Local,FAQ,2000,3300,2650,2020-01-12
8795,8796,Pune,Manchar,Onion,Other,FAQ,1500,3510,2675,2020-01-13
2633,2634,Pune,Pune,Onion,Local,FAQ,1500,3500,2800,2020-01-14
3406,3407,Pune,Pune,Onion,Local,FAQ,1500,4000,3000,2020-01-15
544,545,Pune,Manchar,Onion,Other,FAQ,1350,4300,2450,2020-01-16
455,456,Pune,Indapur,Onion,Other,FAQ,700,4500,2000,2020-01-17
6297,6298,Pune,Pune,Onion,Local,FAQ,2000,4500,3000,2020-01-19
1562,1563,Pune,Pune,Onion,Local,FAQ,2000,4500,3500,2020-01-20
2364,2365,Pune,Manchar,Onion,Other,FAQ,1300,4510,2650,2020-01-21
6516,6517,Pune,Indapur,Onion,Other,FAQ,600,5100,2000,2020-01-22
7244,7245,Pune,Manchar,Onion,Other,FAQ,1500,4000,2925,2020-01-23
7863,7864,Pune,Junnar(Alephata),Onion,Other,FAQ,1500,3750,2800,2020-01-24
555,556,Pune,Khed(Chakan),Onion,Other,FAQ,1200,3300,2700,2020-01-25
7745,7746,Pune,Junnar,Onion,Other,FAQ,400,1600,1200,2020-01-26
7726,7727,Pune,Indapur,Onion,Other,FAQ,300,3500,2200,2020-01-27
6960,6961,Pune,Junnar(Alephata),Onion,Other,FAQ,1110,3310,2210,2020-01-28
4862,4863,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3000,2000,2020-01-29
3395,3396,Pune,Pune,Onion,Local,FAQ,1000,2600,1600,2020-01-30
5545,5546,Pune,Pune(Pimpri),Onion,Local,FAQ,700,1500,1100,2020-01-31
567,568,Pune,Khed(Chakan),Onion,Other,FAQ,2000,3000,2500,2020-02-01
1303,1304,Pune,Junnar(Otur),Onion,Other,FAQ,1500,2920,2000,2020-02-02
6858,6859,Pune,Pune,Onion,Local,FAQ,1000,2500,2000,2020-02-03
10104,10105,Pune,Pune(Pimpri),Onion,Local,FAQ,2000,2600,2300,2020-02-04
3709,3710,Pune,Pune(Pimpri),Onion,Local,FAQ,1400,2600,2000,2020-02-05
8766,8767,Pune,Pune,Onion,Local,FAQ,800,1800,1400,2020-02-06
102,103,Pune,Junnar,Onion,Other,FAQ,700,1900,1500,2020-02-07
6429,6430,Pune,Pune(Khadiki),Onion,Local,FAQ,1500,2200,1850,2020-02-08
6143,6144,Pune,Pune,Onion,Local,FAQ,800,2100,1800,2020-02-09
6531,6532,Pune,Junnar,Onion,Other,FAQ,800,2200,2000,2020-02-10
5256,5257,Pune,Manchar,Onion,Other,FAQ,1000,2400,1850,2020-02-11
1852,1853,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,2100,1550,2020-02-12
8866,8867,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1300,900,2020-02-13
2070,2071,Pune,Junnar,Onion,Other,FAQ,1800,2510,2000,2020-02-14
6070,6071,Pune,Manchar,Onion,Other,FAQ,550,2010,1250,2020-02-15
4626,4627,Pune,Pune,Onion,Local,FAQ,800,2200,1800,2020-02-16
452,453,Pune,Indapur,Onion,Other,FAQ,350,2700,1700,2020-02-17
3724,3725,Pune,Pune(Pimpri),Onion,Local,FAQ,2000,2100,2050,2020-02-18
1166,1167,Pune,Indapur,Onion,Other,FAQ,500,2400,1700,2020-02-19
3485,3486,Pune,Pune(Khadiki),Onion,Local,FAQ,1400,1600,1500,2020-02-20
9967,9968,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,2100,1650,2020-02-21
3321,3322,Pune,Manchar,Onion,Other,FAQ,1000,2550,1750,2020-02-22
4341,4342,Pune,Pune(Khadiki),Onion,Local,FAQ,800,2000,1400,2020-02-23
9389,9390,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,2000,1500,2020-02-24
7430,7431,Pune,Pune(Khadiki),Onion,Local,FAQ,1600,2000,1800,2020-02-25
2202,2203,Pune,Khed(Chakan),Onion,Other,FAQ,1400,1800,1600,2020-02-26
6536,6537,Pune,Junnar,Onion,Other,FAQ,1000,2020,1800,2020-02-27
3265,3266,Pune,Pune(Pimpri),Onion,Local,FAQ,1600,1900,1750,2020-02-28
2754,2755,Pune,Pune(Khadiki),Onion,Local,FAQ,1200,1600,1400,2020-02-29
1349,1350,Pune,Junnar,Onion,Other,FAQ,1200,2000,1500,2020-03-01
9130,9131,Pune,Pune(Khadiki),Onion,Local,FAQ,600,1700,1150,2020-03-02
6125,6126,Pune,Pune,Onion,Local,FAQ,600,1700,1200,2020-03-03
8488,8489,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,1600,1300,2020-03-04
9384,9385,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,1700,1350,2020-03-05
3769,3770,Pune,Indapur,Onion,Other,FAQ,500,2000,1300,2020-03-06
10782,10783,Pune,Pune(Pimpri),Onion,Local,FAQ,1700,1700,1700,2020-03-07
4623,4624,Pune,Pune,Onion,Local,FAQ,800,1900,1300,2020-03-08
1847,1848,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,2000,1500,2020-03-09
3126,3127,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,2000,1500,2020-03-10
8768,8769,Pune,Pune,Onion,Local,FAQ,800,2000,1400,2020-03-11
5563,5564,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1900,1550,2020-03-12
8960,8961,Pune,Pune,Onion,Local,FAQ,700,1800,1300,2020-03-13
10550,10551,Pune,Pune(Pimpri),Onion,Local,FAQ,900,1900,1400,2020-03-14
5247,5248,Pune,Manchar,Onion,Other,FAQ,800,2000,1425,2020-03-15
6833,6834,Pune,Pune,Onion,Local,FAQ,600,1700,1100,2020-03-16
5999,6000,Pune,Manchar,Onion,Other,FAQ,800,1800,1350,2020-03-17
9959,9960,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,1800,1400,2020-03-18
1010,1011,Pune,Pune(Khadiki),Onion,Local,FAQ,800,1800,1300,2020-03-19
5564,5565,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1900,1550,2020-03-20
2630,2631,Pune,Pune(Khadiki),Onion,Local,FAQ,1100,1700,1400,2020-03-21
7909,7910,Pune,Pune,Onion,Local,FAQ,800,2000,1500,2020-03-23
9933,9934,Pune,Pune,Onion,Local,FAQ,800,2000,1400,2020-03-24
10393,10394,Pune,Pune(Khadiki),Onion,Local,FAQ,2000,2000,2000,2020-03-25
4901,4902,Pune,Pune(Khadiki),Onion,Local,FAQ,2000,2000,2000,2020-03-26
16,17,Pune,Indapur,Onion,Other,FAQ,500,2200,1600,2020-03-27
3469,3470,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,2500,1750,2020-03-28
5428,5429,Pune,Junnar(Otur),Onion,Other,FAQ,1000,2000,1500,2020-03-29
1165,1166,Pune,Indapur,Onion,Other,FAQ,500,2200,1500,2020-03-30
3722,3723,Pune,Pune(Pimpri),Onion,Local,FAQ,1800,2000,1900,2020-03-31
3044,3045,Pune,Pune(Pimpri),Onion,Local,FAQ,600,2000,1300,2020-04-01
2475,2476,Pune,Pune,Onion,Local,FAQ,700,1600,1150,2020-04-03
2574,2575,Pune,Pune,Onion,Local,FAQ,1400,2000,1700,2020-04-05
8038,8039,Pune,Pune,Onion,Local,FAQ,1400,1600,1500,2020-04-06
859,860,Pune,Pune,Onion,Local,FAQ,1300,1600,1450,2020-04-07
3903,3904,Pune,Junnar(Otur),Onion,Other,FAQ,500,1400,1200,2020-04-17
6071,6072,Pune,Manchar,Onion,Other,FAQ,600,1000,825,2020-04-30
8647,8648,Pune,Manchar,Onion,Other,FAQ,700,950,825,2020-05-04
2284,2285,Pune,Khed(Chakan),Onion,Other,FAQ,600,1200,1000,2020-05-07
1432,1433,Pune,Manchar,Onion,Other,FAQ,600,900,725,2020-05-08
4141,4142,Pune,Manchar,Onion,Other,FAQ,800,950,875,2020-05-09
513,514,Pune,Manchar,Onion,Other,FAQ,500,800,725,2020-05-15
2102,2103,Pune,Junnar(Otur),Onion,Other,FAQ,500,700,600,2020-05-16
2860,2861,Pune,Pune(Manjri),Onion,Local,FAQ,500,1100,900,2020-05-17
6075,6076,Pune,Manchar,Onion,Other,FAQ,700,950,725,2020-05-18
8640,8641,Pune,Manchar,Onion,Other,FAQ,500,800,675,2020-05-19
4929,4930,Pune,Pune(Manjri),Onion,Local,FAQ,500,1000,800,2020-05-20
10195,10196,Pune,Pune(Moshi),Onion,Local,FAQ,200,600,400,2020-05-21
1667,1668,Pune,Pune(Manjri),Onion,Local,FAQ,500,900,800,2020-05-22
325,326,Pune,Khed(Chakan),Onion,Other,FAQ,500,700,600,2020-05-23
2729,2730,Pune,Pune(Manjri),Onion,Local,FAQ,600,1000,900,2020-05-24
3307,3308,Pune,Manchar,Onion,Other,FAQ,500,700,625,2020-05-25
9720,9721,Pune,Pune(Manjri),Onion,Local,FAQ,500,1100,1000,2020-05-26
6891,6892,Pune,Indapur,Onion,Other,FAQ,100,600,400,2020-05-27
10444,10445,Pune,Pune(Moshi),Onion,Local,FAQ,300,600,450,2020-05-28
1131,1132,Pune,Junnar,Onion,Other,FAQ,1000,1200,1000,2020-05-29
10454,10455,Pune,Pune(Moshi),Onion,Local,FAQ,400,600,500,2020-05-30
5992,5993,Pune,Manchar,Onion,Other,FAQ,700,800,725,2020-05-31
5011,5012,Pune,Pune(Moshi),Onion,Local,FAQ,300,500,400,2020-06-01
2732,2733,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,1000,2020-06-02
7721,7722,Pune,Indapur,Onion,Other,FAQ,100,800,400,2020-06-03
3503,3504,Pune,Pune(Manjri),Onion,Local,FAQ,500,800,700,2020-06-04
7674,7675,Pune,Pune(Moshi),Onion,Local,FAQ,300,700,500,2020-06-05
2726,2727,Pune,Pune(Manjri),Onion,Local,FAQ,500,800,700,2020-06-06
9722,9723,Pune,Pune(Manjri),Onion,Local,FAQ,600,800,700,2020-06-07
991,992,Pune,Pune(Khadiki),Onion,Local,FAQ,400,800,600,2020-06-08
2734,2735,Pune,Pune(Manjri),Onion,Local,FAQ,700,900,800,2020-06-09
7532,7533,Pune,Pune(Manjri),Onion,Local,FAQ,600,900,700,2020-06-10
1577,1578,Pune,Pune(Khadiki),Onion,Local,FAQ,300,800,550,2020-06-11
8056,8057,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1100,800,2020-06-12
2866,2867,Pune,Pune(Manjri),Onion,Local,FAQ,600,900,800,2020-06-13
4081,4082,Pune,Manchar,Onion,Other,FAQ,500,1040,725,2020-06-14
1428,1429,Pune,Manchar,Onion,Other,FAQ,200,700,325,2020-06-15
7115,7116,Pune,Manchar,Onion,Other,FAQ,450,1010,625,2020-06-16
9125,9126,Pune,Pune(Khadiki),Onion,Local,FAQ,600,600,600,2020-06-17
6307,6308,Pune,Pune(Khadiki),Onion,Local,FAQ,300,800,550,2020-06-18
7259,7260,Pune,Pune,Onion,Local,FAQ,400,900,650,2020-06-19
3427,3428,Pune,Pune(Khadiki),Onion,Local,FAQ,400,700,550,2020-06-20
10599,10600,Pune,Pune(Moshi),Onion,Local,FAQ,400,600,500,2020-06-21
4781,4782,Pune,Pune(Khadiki),Onion,Local,FAQ,600,800,700,2020-06-22
7546,7547,Pune,Pune(Khadiki),Onion,Local,FAQ,400,800,600,2020-06-23
1668,1669,Pune,Pune(Manjri),Onion,Local,FAQ,500,900,800,2020-06-24
7932,7933,Pune,Pune(Moshi),Onion,Local,FAQ,400,600,500,2020-06-25
4320,4321,Pune,Pune(Khadiki),Onion,Local,FAQ,400,700,550,2020-06-26
6454,6455,Pune,Pune(Manjri),Onion,Local,FAQ,400,900,700,2020-06-27
3900,3901,Pune,Junnar(Otur),Onion,Other,FAQ,500,1000,850,2020-06-28
8052,8053,Pune,Pune(Khadiki),Onion,Local,FAQ,400,700,550,2020-06-29
2647,2648,Pune,Pune(Khadiki),Onion,Local,FAQ,400,600,500,2020-06-30
3682,3683,Pune,Pune(Pimpri),Onion,Local,FAQ,700,700,700,2020-07-01
464,465,Pune,Junnar,Onion,Other,FAQ,300,1000,850,2020-07-02
