Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1242,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1250,2791,1700,2021-06-10
1264,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1300,2680,1900,2021-06-11
132,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Jowar(Sorghum),Other,FAQ,1600,1800,1700,2021-06-12
150,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Jowar(Sorghum),Other,FAQ,1650,1800,1725,2021-06-14
158,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Jowar(Sorghum),Other,FAQ,1675,1700,1687,2021-06-15
2803,Chattrapati Sambhajinagar,Vaijpur,Jowar(Sorghum),Other,FAQ,1540,1875,1750,2021-06-16
1260,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1300,2600,1700,2021-06-17
1240,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1200,3200,1800,2021-06-18
1268,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1300,3001,1800,2021-06-19
1050,Chattrapati Sambhajinagar,Kannad,Jowar(Sorghum),Other,FAQ,1200,1350,1275,2021-06-20
1241,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1250,2376,1700,2021-06-21
1250,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1300,2000,1600,2021-06-22
2778,Chattrapati Sambhajinagar,Vaijpur,Jowar(Sorghum),Other,FAQ,1400,1575,1490,2021-06-23
1235,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1200,1900,1500,2021-06-24
107,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Jowar(Sorghum),Other,FAQ,1500,1625,1562,2021-06-25
1267,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1300,2701,1800,2021-06-26
2613,Chattrapati Sambhajinagar,Sillod,Jowar(Sorghum),Other,FAQ,1300,1400,1350,2021-06-27
1236,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1200,2100,1500,2021-06-28
1238,Chattrapati Sambhajinagar,Lasur Station,Jowar(Sorghum),Other,FAQ,1200,2350,1550,2021-06-29
159,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Jowar(Sorghum),Other,FAQ,1700,1725,1712,2021-06-30
