Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1557,Chattrapati Sambhajinagar,Lasur Station,Maize,Other,FAQ,1150,1450,1300,2021-06-10
42,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1300,1450,1375,2021-06-11
3429,Chattrapati Sambhajinagar,Sillod(Bharadi),Maize,Yellow,FAQ,1400,1550,1450,2021-06-12
2349,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1400,1550,1450,2021-06-13
2350,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1400,1550,1450,2021-06-14
43,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1300,1540,1420,2021-06-15
1158,Chattrapati Sambhajinagar,Gangapur,Maize,Yellow,FAQ,1438,1701,1565,2021-06-16
1159,Chattrapati Sambhajinagar,Gangapur,Maize,Yellow,FAQ,1490,1600,1600,2021-06-17
2359,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1400,1600,1500,2021-06-18
1564,Chattrapati Sambhajinagar,Lasur Station,Maize,Other,FAQ,1200,1571,1350,2021-06-19
2362,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1400,1650,1550,2021-06-20
92,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1400,1650,1525,2021-06-21
196,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1600,1700,1650,2021-06-22
1160,Chattrapati Sambhajinagar,Gangapur,Maize,Yellow,FAQ,1560,1651,1621,2021-06-23
3632,Chattrapati Sambhajinagar,Vaijpur,Maize,Other,FAQ,1620,1765,1705,2021-06-24
2420,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1500,1750,1700,2021-06-25
3446,Chattrapati Sambhajinagar,Sillod(Bharadi),Maize,Yellow,FAQ,1600,1775,1700,2021-06-26
2422,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1500,1800,1700,2021-06-27
1163,Chattrapati Sambhajinagar,Gangapur,Maize,Yellow,FAQ,1599,1699,1685,2021-06-28
2467,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1600,1800,1700,2021-06-29
2468,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1600,1800,1700,2021-06-30
1821,Chattrapati Sambhajinagar,Lasur Station,Maize,Other,FAQ,1700,1825,1700,2021-07-01
2456,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1600,1800,1700,2021-07-02
1650,Chattrapati Sambhajinagar,Lasur Station,Maize,Other,FAQ,1400,1800,1600,2021-07-03
1711,Chattrapati Sambhajinagar,Lasur Station,Maize,Other,FAQ,1500,1825,1650,2021-07-05
242,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1700,1900,1800,2021-07-06
219,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1611,1800,1705,2021-07-07
317,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Maize,Yellow,FAQ,1801,2016,1908,2021-07-08
2460,Chattrapati Sambhajinagar,Sillod,Maize,Yellow,FAQ,1600,1800,1700,2021-07-09
3458,Chattrapati Sambhajinagar,Sillod(Bharadi),Maize,Yellow,FAQ,1700,1800,1750,2021-07-10
