Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
310,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,200,1700,950,2021-06-10
3054,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,700,1900,1700,2021-06-11
326,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,200,1850,1025,2021-06-12
2487,Chattrapati Sambhajinagar,Paithan,Onion,Other,FAQ,950,2000,1575,2021-06-13
2957,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,500,2300,1600,2021-06-14
1412,Chattrapati Sambhajinagar,Gangapur,Onion,Other,FAQ,600,1800,1690,2021-06-15
2021,Chattrapati Sambhajinagar,Lasur Station,Onion,Other,FAQ,585,2000,1555,2021-06-16
121,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,100,2000,1050,2021-06-17
3055,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,700,1935,1800,2021-06-18
766,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,500,2100,1300,2021-06-19
550,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,300,2000,1150,2021-06-20
680,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,400,2000,1200,2021-06-21
2940,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,500,2000,1800,2021-06-22
334,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,200,2000,1100,2021-06-23
534,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,300,1825,1063,2021-06-24
2929,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,500,1955,1700,2021-06-25
2947,Chattrapati Sambhajinagar,Vaijpur,Onion,Other,FAQ,500,2100,1600,2021-06-26
398,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,250,2000,1125,2021-06-27
1381,Chattrapati Sambhajinagar,Gangapur,Onion,Other,FAQ,500,1900,1350,2021-06-28
1379,Chattrapati Sambhajinagar,Gangapur,Onion,Other,FAQ,500,1850,1700,2021-06-29
669,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,400,1900,1150,2021-06-30
511,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,FAQ,300,1700,1000,2021-07-01
2465,Chattrapati Sambhajinagar,Paithan,Onion,Other,FAQ,650,2050,1700,2021-07-02
