Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
391,Nashik,Sinner,Rice,1009 Kar,FAQ,1421,1421,1421,2015-10-06
354,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1681,1681,1681,2015-12-01
375,Nashik,Sinner,Rice,1009 Kar,FAQ,1000,1000,1000,2016-05-12
357,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1761,1800,1761,2016-05-17
358,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1800,1800,1800,2016-05-30
353,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1651,1825,1825,2016-09-09
351,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1601,1601,1601,2017-03-22
359,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1852,1861,1860,2018-10-22
355,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1700,1751,1751,2019-03-01
345,Nashik,Dindori,Rice,Other,FAQ,1600,1825,1652,2019-09-29
347,Nashik,Dindori,Rice,Other,FAQ,1625,1800,1690,2019-10-06
346,Nashik,Dindori,Rice,Other,FAQ,1600,1900,1750,2019-10-13
343,Nashik,Dindori,Rice,Other,FAQ,1600,1800,1680,2019-10-20
341,Nashik,Dindori,Rice,Other,FAQ,1550,1700,1600,2019-11-10
342,Nashik,Dindori,Rice,Other,FAQ,1550,1700,1620,2020-01-05
344,Nashik,Dindori,Rice,Other,FAQ,1600,1820,1650,2020-02-02
340,Nashik,Dindori,Rice,Other,FAQ,1500,1800,1732,2020-02-09
338,Nashik,Dindori,Rice,Other,FAQ,1500,1750,1600,2020-02-23
337,Nashik,Dindori,Rice,Other,FAQ,1450,1700,1507,2020-03-01
336,Nashik,Dindori,Rice,Other,FAQ,1400,1800,1550,2020-03-08
339,Nashik,Dindori,Rice,Other,FAQ,1500,1750,1646,2020-03-15
352,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1651,1700,1680,2020-06-05
356,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1725,1760,1741,2020-06-09
139,Nashik,Devala,Rice,Other,FAQ,1505,1510,1510,2020-06-22
350,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1600,1625,1611,2020-06-26
349,Nashik,Lasalgaon,Rice,1009 Kar,FAQ,1200,1382,1325,2020-06-30
3,Nashik,Devala,Rice,Other,FAQ,1295,1370,1340,2020-07-23
25,Nashik,Devala,Rice,Other,FAQ,1355,1380,1365,2020-08-05
18,Nashik,Devala,Rice,Other,FAQ,1340,1385,1375,2020-08-13
47,Nashik,Devala,Rice,Other,FAQ,1380,1385,1385,2020-08-17
19,Nashik,Devala,Rice,Other,FAQ,1340,1385,1375,2020-08-24
23,Nashik,Devala,Rice,Other,FAQ,1345,1390,1380,2020-08-25
5,Nashik,Devala,Rice,Other,FAQ,1300,1320,1320,2020-08-27
1,Nashik,Devala,Rice,Other,FAQ,1200,1325,1300,2020-08-28
2,Nashik,Devala,Rice,Other,FAQ,1200,1375,1325,2020-08-31
4,Nashik,Devala,Rice,Other,FAQ,1295,1400,1350,2020-09-03
13,Nashik,Devala,Rice,Other,FAQ,1330,1375,1350,2020-09-04
20,Nashik,Devala,Rice,Other,FAQ,1345,1375,1365,2020-09-07
6,Nashik,Devala,Rice,Other,FAQ,1300,1370,1350,2020-09-08
22,Nashik,Devala,Rice,Other,FAQ,1345,1390,1370,2020-09-10
8,Nashik,Devala,Rice,Other,FAQ,1300,1400,1370,2020-09-11
380,Nashik,Sinner,Rice,1009 Kar,FAQ,1300,1360,1325,2020-09-14
16,Nashik,Devala,Rice,Other,FAQ,1340,1380,1360,2020-09-15
17,Nashik,Devala,Rice,Other,FAQ,1340,1380,1360,2020-09-16
14,Nashik,Devala,Rice,Other,FAQ,1335,1370,1350,2020-09-18
362,Nashik,Lasalgaon(Niphad),Rice,1009 Kar,FAQ,1410,1457,1440,2020-09-19
39,Nashik,Devala,Rice,Other,FAQ,1370,1390,1375,2020-09-21
31,Nashik,Devala,Rice,Other,FAQ,1360,1395,1375,2020-09-22
38,Nashik,Devala,Rice,Other,FAQ,1365,1400,1385,2020-09-23
44,Nashik,Devala,Rice,Other,FAQ,1375,1400,1390,2020-09-24
30,Nashik,Devala,Rice,Other,FAQ,1360,1390,1380,2020-09-25
50,Nashik,Devala,Rice,Other,FAQ,1380,1395,1390,2020-09-28
56,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-09-29
58,Nashik,Devala,Rice,Other,FAQ,1385,1395,1395,2020-10-05
364,Nashik,Lasalgaon(Niphad),Rice,1009 Kar,FAQ,1456,1471,1465,2020-10-06
64,Nashik,Devala,Rice,Other,FAQ,1390,1405,1395,2020-10-07
40,Nashik,Devala,Rice,Other,FAQ,1370,1400,1390,2020-10-08
10,Nashik,Devala,Rice,Other,FAQ,1305,1390,1380,2020-10-09
42,Nashik,Devala,Rice,Other,FAQ,1375,1395,1390,2020-10-12
12,Nashik,Devala,Rice,Other,FAQ,1325,1400,1390,2020-10-13
36,Nashik,Devala,Rice,Other,FAQ,1365,1390,1380,2020-10-14
32,Nashik,Devala,Rice,Other,FAQ,1360,1400,1390,2020-10-28
55,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-10-29
51,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-11-02
29,Nashik,Devala,Rice,Other,FAQ,1360,1390,1380,2020-11-03
35,Nashik,Devala,Rice,Other,FAQ,1365,1390,1380,2020-11-04
383,Nashik,Sinner,Rice,1009 Kar,FAQ,1325,1335,1330,2020-11-05
37,Nashik,Devala,Rice,Other,FAQ,1365,1395,1380,2020-11-06
379,Nashik,Sinner,Rice,1009 Kar,FAQ,1300,1345,1325,2020-11-09
53,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-11-10
49,Nashik,Devala,Rice,Other,FAQ,1380,1395,1390,2020-11-11
26,Nashik,Devala,Rice,Other,FAQ,1355,1380,1370,2020-11-19
34,Nashik,Devala,Rice,Other,FAQ,1365,1380,1370,2020-11-20
385,Nashik,Sinner,Rice,1009 Kar,FAQ,1335,1350,1340,2020-11-23
41,Nashik,Devala,Rice,Other,FAQ,1370,1405,1400,2020-11-24
45,Nashik,Devala,Rice,Other,FAQ,1375,1405,1390,2020-11-25
54,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-11-27
62,Nashik,Devala,Rice,Other,FAQ,1390,1400,1400,2020-12-01
68,Nashik,Devala,Rice,Other,FAQ,1395,1400,1400,2020-12-02
43,Nashik,Devala,Rice,Other,FAQ,1375,1400,1390,2020-12-03
63,Nashik,Devala,Rice,Other,FAQ,1390,1400,1400,2020-12-04
67,Nashik,Devala,Rice,Other,FAQ,1395,1395,1395,2020-12-07
52,Nashik,Devala,Rice,Other,FAQ,1380,1400,1390,2020-12-09
61,Nashik,Devala,Rice,Other,FAQ,1390,1395,1395,2020-12-10
57,Nashik,Devala,Rice,Other,FAQ,1385,1395,1390,2020-12-11
