Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
3590,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1686,1881,1700,2021-06-10
1826,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1800,1700,2021-06-11
1048,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1650,1666,1655,2021-06-12
3509,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1200,1887,1700,2021-06-13
1053,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1660,1748,1680,2021-06-14
1841,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1850,1725,2021-06-15
2661,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1580,1750,1670,2021-06-16
3538,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1600,1791,1730,2021-06-17
1056,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1670,1707,1691,2021-06-18
3515,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1500,1800,1676,2021-06-19
4591,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1700,2021-06-20
2663,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1590,1851,1675,2021-06-21
2655,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1570,1750,1650,2021-06-22
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1500,1875,1687,2021-06-23
4592,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1700,2021-06-24
69,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1700,1825,1762,2021-06-25
4578,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1650,2021-06-26
4579,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1650,2021-06-27
1070,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1699,2000,1709,2021-06-28
1836,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1800,1700,2021-06-29
4594,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1700,2021-06-30
3508,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1200,1751,1600,2021-07-01
1037,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1500,1860,1680,2021-07-02
1821,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1700,1650,2021-07-03
4573,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1650,2021-07-04
1040,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1600,1700,1664,2021-07-05
3587,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1680,1820,1725,2021-07-06
1823,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1750,1675,2021-07-07
1042,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1600,1780,1695,2021-07-08
5915,Chattrapati Sambhajinagar,Vaijpur,Wheat,Other,FAQ,1650,1775,1725,2021-07-09
2669,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1600,1825,1700,2021-07-10
1839,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1850,1725,2021-07-11
24,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1625,1865,1745,2021-07-12
4568,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1650,1650,2021-07-13
26,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1625,1909,1767,2021-07-14
23,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1625,1840,1732,2021-07-15
37,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1650,1876,1763,2021-07-16
1849,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1600,1851,1725,2021-07-17
3520,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1500,1900,1652,2021-07-18
4590,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1700,1700,2021-07-19
2687,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1650,1830,1700,2021-07-20
3532,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1600,1685,1667,2021-07-21
64,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1675,2026,1850,2021-07-22
3539,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1600,1792,1700,2021-07-23
86,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1750,1800,1775,2021-07-24
4622,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1700,1750,1750,2021-07-25
2696,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1675,1850,1750,2021-07-26
4601,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1600,1750,1700,2021-07-27
55,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1675,1800,1738,2021-07-28
45,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1650,1950,1800,2021-07-29
2688,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1675,1820,1720,2021-07-30
60,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1675,1900,1787,2021-07-31
4619,Chattrapati Sambhajinagar,Sillod,Wheat,Other,FAQ,1700,1700,1700,2021-08-01
1092,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,1722,1800,1750,2021-08-02
2701,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,1675,1870,1750,2021-08-03
3536,Chattrapati Sambhajinagar,Paithan,Wheat,Bansi,FAQ,1600,1780,1750,2021-08-04
1870,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,1650,1850,1720,2021-08-05
