Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Baramati,Onion,Other,FAQ,200,750,600,18 May 2023
2,Pune,Baramati,Onion,Red,FAQ,200,1020,700,07 Jun 2023
3,Pune,Baramati,Onion,Red,FAQ,250,1200,900,29 Jun 2023
4,Pune,Baramati,Onion,Red,FAQ,300,1250,1000,12 Jun 2023
5,Pune,Baramati,Onion,Red,FAQ,300,1300,1000,14 Jun 2023
6,Pune,Baramati,Onion,Red,FAQ,300,1500,1000,03 Jul 2023
7,Pune,Baramati,Onion,Red,FAQ,300,2050,1500,23 Sep 2023
8,Pune,Baramati,Onion,Red,FAQ,400,2300,1600,16 Sep 2023
9,Pune,Baramati,Onion,Red,FAQ,400,2400,1500,01 Jun 2024
10,Pune,Baramati,Onion,Red,FAQ,500,2435,1800,30 Aug 2023
11,Pune,Baramati,Onion,Red,FAQ,500,2501,1900,08 Jan 2024
12,Pune,Baramati,Onion,Red,FAQ,500,3000,2300,29 Jun 2024
13,Pune,Baramati,Onion,Red,FAQ,500,3110,2250,10 Jun 2024
14,Pune,Baramati,Onion,Red,FAQ,700,3000,2000,25 Dec 2023
15,Pune,Baramati,Onion,Red,FAQ,700,4500,3400,31 Aug 2024
16,Pune,Baramati,Onion,Red,FAQ,800,3000,2200,15 Jul 2024
17,Pune,Baramati,Onion,Red,FAQ,1000,3600,2500,28 Dec 2024
18,Pune,Baramati,Onion,Red,FAQ,1500,5000,3600,20 Nov 2023
19,Pune,Baramati,Onion,Red,FAQ,1800,5390,4000,16 Sep 2024
20,Pune,Baramati,Onion,Red,FAQ,2500,6700,5000,14 Dec 2024
21,Pune,Indapur,Onion,Other,FAQ,600,5100,2000,22 Jan 2020
22,Pune,Indapur,Onion,Red,FAQ,100,1300,700,22 Jul 2022
23,Pune,Indapur,Onion,Red,FAQ,150,2150,1100,17 May 2024
24,Pune,Indapur,Onion,Red,FAQ,200,1525,900,23 Nov 2022
25,Pune,Indapur,Onion,Red,FAQ,200,2000,1300,04 May 2024
26,Pune,Indapur,Onion,Red,FAQ,250,2700,1300,05 Jun 2024
27,Pune,Indapur,Onion,Red,FAQ,500,3200,1100,18 Dec 2024
28,Pune,Indapur,Onion,Red,FAQ,500,4000,2000,16 Dec 2024
29,Pune,Indapur,Onion,Red,FAQ,500,12100,4000,20 Dec 2019
30,Pune,Junnar,Onion,Other,FAQ,300,950,750,09 Aug 2020
31,Pune,Junnar,Onion,Other,FAQ,500,800,600,10 Jan 2019
