Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,01 Feb 2021
2,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,04 Jan 2021
3,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,05 Nov 2020
4,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,05 Oct 2020
5,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,08 Oct 2020
6,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,09 Nov 2020
7,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,14 Jan 2021
8,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,17 Dec 2020
9,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,19 Nov 2020
10,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,20 May 2021
11,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,21 Dec 2020
12,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,22 Oct 2020
13,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,24 Dec 2020
14,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,26 Oct 2020
15,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,28 Sep 2020
16,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,29 Oct 2020
17,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,30 Nov 2020
18,Pune,Baramati,Rice,Other,FAQ,1200,1200,1200,31 Dec 2020
19,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,01 Mar 2021
20,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,02 Sep 2021
21,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,03 Feb 2022
22,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,03 Sep 2020
23,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,04 Mar 2021
24,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,06 Aug 2020
25,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,06 Jan 2022
26,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,06 Sep 2021
27,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,07 Oct 2021
28,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,09 Sep 2021
29,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,10 Feb 2022
30,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,10 Jan 2022
31,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,11 Feb 2021
32,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,12 Apr 2021
33,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,13 Jan 2022
34,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,13 Jul 2020
35,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,14 Feb 2022
36,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,14 Oct 2021
37,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,15 Feb 2021
38,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,15 Nov 2021
39,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,16 Aug 2021
40,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,16 Dec 2021
41,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,17 Feb 2022
42,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,17 Jan 2022
43,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,18 Jun 2020
44,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,18 Nov 2021
45,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,18 Oct 2021
46,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,19 Aug 2021
47,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,20 Aug 2020
48,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,20 Dec 2021
49,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,20 Jan 2022
50,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,21 Apr 2022
51,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,21 Feb 2022
52,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,22 Nov 2021
53,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,23 Aug 2021
54,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,23 Dec 2021
55,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,24 Feb 2022
56,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,24 Sep 2020
57,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,25 Oct 2021
58,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,26 Aug 2021
59,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,27 Aug 2020
60,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,27 Dec 2021
61,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,27 Jan 2022
62,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,28 Feb 2022
63,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,28 Oct 2021
64,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,30 Aug 2021
65,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,30 Dec 2021
66,Pune,Baramati,Rice,Other,FAQ,1300,1300,1300,31 Jan 2022
67,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,01 Dec 2022
68,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,01 Sep 2022
69,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,02 Aug 2022
70,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,02 Feb 2023
71,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,02 Jan 2023
72,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,02 Mar 2023
73,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,02 May 2022
74,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,03 Jun 2021
75,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,03 Mar 2022
76,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,03 Nov 2022
77,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,03 Oct 2022
78,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,04 Aug 2022
79,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,04 Jul 2022
80,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,05 Dec 2022
81,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,05 May 2022
82,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,06 Feb 2023
83,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,06 Jun 2022
84,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,06 Oct 2022
85,Pune,Baramati,Rice,Other,FAQ,1400,1400,1400,07 Jul 2022
