Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Baramati,Wheat,Kalyan,FAQ,1430,1480,1460,02 Oct 2020
2,Pune,Baramati,Wheat,Kalyan,FAQ,1600,1711,1700,14 Jun 2021
3,Pune,Baramati,Wheat,Kalyan,FAQ,1600,2391,2350,10 Jul 2023
4,Pune,Baramati,Wheat,Kalyan,FAQ,1600,2675,2660,12 Dec 2022
5,Pune,Baramati,Wheat,Kalyan,FAQ,1650,1760,1700,06 Aug 2020
6,Pune,Baramati,Wheat,Kalyan,FAQ,1650,1790,1760,19 Jul 2021
7,Pune,Baramati,Wheat,Kalyan,FAQ,1650,1800,1725,15 Feb 2021
8,Pune,Baramati,Wheat,Kalyan,FAQ,1700,2275,2151,17 Jul 2023
9,Pune,Baramati,Wheat,Kalyan,FAQ,1700,2450,2400,24 Aug 2023
10,Pune,Baramati,Wheat,Kalyan,FAQ,1780,1851,1820,26 Apr 2021
11,Pune,Baramati,Wheat,Kalyan,FAQ,1800,1911,1841,25 Oct 2021
12,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2001,1950,17 Jun 2019
13,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2025,2000,09 Sep 2019
14,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2050,2000,13 Feb 2020
15,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2100,1980,10 Jan 2022
16,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2220,2180,25 May 2023
17,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2241,2200,15 Jun 2023
18,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2475,2451,16 Nov 2023
19,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2500,2400,29 Feb 2024
20,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2650,2575,21 Mar 2024
21,Pune,Baramati,Wheat,Kalyan,FAQ,1851,2600,2500,27 Nov 2023
22,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2050,1970,13 Jan 2022
