,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
10319,10320,Pune,Pune(Pimpri),Onion,Local,FAQ,700,800,750,2019-05-01
684,685,Pune,Junnar,Onion,Other,FAQ,600,900,800,2019-05-02
10788,10789,Pune,Pune(Pimpri),Onion,Local,FAQ,800,1000,900,2019-05-03
3956,3957,Pune,Pune(Khadiki),Onion,Local,FAQ,300,800,550,2019-05-04
2675,2676,Pune,Junnar(Otur),Onion,Other,FAQ,600,1000,800,2019-05-05
3142,3143,Pune,Pune,Onion,Local,FAQ,400,950,650,2019-05-06
11206,11207,Pune,Junnar(Alephata),Onion,Other,FAQ,510,1110,710,2019-05-07
7104,7105,Pune,Pune(Khadiki),Onion,Local,FAQ,300,800,550,2019-05-08
4334,4335,Pune,Pune,Onion,Local,FAQ,400,1000,600,2019-05-09
5505,5506,Pune,Pune(Pimpri),Onion,Local,FAQ,800,800,800,2019-05-10
5778,5779,Pune,Pune(Khadiki),Onion,Local,FAQ,400,1000,700,2019-05-11
755,756,Pune,Junnar,Onion,Other,FAQ,800,1100,1000,2019-05-12
4098,4099,Pune,Pune(Pimpri),Onion,Local,FAQ,800,900,850,2019-05-13
8753,8754,Pune,Pune(Pimpri),Onion,Local,FAQ,900,900,900,2019-05-14
5291,5292,Pune,Pune(Pimpri),Onion,Local,FAQ,800,900,850,2019-05-15
8754,8755,Pune,Pune(Pimpri),Onion,Local,FAQ,900,1000,950,2019-05-16
1939,1940,Pune,Junnar(Alephata),Onion,Other,FAQ,450,1350,850,2019-05-21
2082,2083,Pune,Khed(Chakan),Onion,Other,FAQ,400,1350,1000,2019-05-22
11374,11375,Pune,Manchar,Onion,Other,FAQ,500,1400,775,2019-05-23
9279,9280,Pune,Pune(Khadiki),Onion,Local,FAQ,600,1000,800,2019-05-24
7111,7112,Pune,Pune(Khadiki),Onion,Local,FAQ,600,1000,800,2019-05-25
3044,3045,Pune,Manchar,Onion,Other,FAQ,550,1500,955,2019-05-26
9686,9687,Pune,Pune(Khadiki),Onion,Local,FAQ,600,700,650,2019-05-27
10815,10816,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1400,1300,2019-05-28
10619,10620,Pune,Pune(Khadiki),Onion,Local,FAQ,300,900,600,2019-05-29
8770,8771,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1400,1300,2019-05-30
11148,11149,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1400,1300,2019-05-31
3500,3501,Pune,Manchar,Onion,Other,FAQ,700,950,825,2020-05-04
2494,2495,Pune,Khed(Chakan),Onion,Other,FAQ,600,1200,1000,2020-05-07
11376,11377,Pune,Manchar,Onion,Other,FAQ,600,900,725,2020-05-08
7045,7046,Pune,Manchar,Onion,Other,FAQ,800,950,875,2020-05-09
11641,11642,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,900,2020-05-15
4520,4521,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,900,2020-05-16
8839,8840,Pune,Pune(Manjri),Onion,Local,FAQ,500,1100,900,2020-05-17
1117,1118,Pune,Indapur,Onion,Other,FAQ,100,600,400,2020-05-18
9518,9519,Pune,Pune(Moshi),Onion,Local,FAQ,500,700,600,2020-05-19
