,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2708,2709,Pune,Pune,Wheat,Sharbati,FAQ,3950,4300,4150,2019-01-01
358,359,Pune,Pune,Wheat,Sharbati,FAQ,3900,4300,4150,2019-01-02
2204,2205,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2375,2080,2019-01-03
1930,1931,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-04
1346,1347,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-05
2951,2952,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2325,2100,2019-01-06
2911,2912,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-07
2912,2913,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-08
1333,1334,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-09
624,625,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2400,2100,2019-01-10
2376,2377,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-11
1920,1921,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4025,2019-01-12
3207,3208,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1925,2350,2100,2019-01-13
1115,1116,Pune,Pune,Wheat,Sharbati,FAQ,3750,4200,3975,2019-01-14
2910,2911,Pune,Pune,Wheat,Sharbati,FAQ,3750,4200,3975,2019-01-15
3266,3267,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4050,2019-01-16
1031,1032,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2100,3100,2301,2019-01-17
357,358,Pune,Pune,Wheat,Sharbati,FAQ,3850,4350,4125,2019-01-18
1960,1961,Pune,Pune,Wheat,Sharbati,FAQ,3850,4300,4075,2019-01-19
1863,1864,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1970,2361,2050,2019-01-20
1190,1191,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2051,2500,2300,2019-01-21
2394,2395,Pune,Pune,Wheat,Other,FAQ,2550,3000,2750,2019-01-22
1130,1131,Pune,Pune,Wheat,Sharbati,FAQ,3850,4200,4050,2019-01-23
2206,2207,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2350,2100,2019-01-24
1347,1348,Pune,Pune,Wheat,Sharbati,FAQ,3900,4250,4075,2019-01-25
1806,1807,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2301,2100,2019-01-27
1228,1229,Pune,Baramati,Wheat,Kalyan,FAQ,1911,2100,2000,2019-01-28
2630,2631,Pune,Pune,Wheat,Sharbati,FAQ,3800,4100,4000,2019-01-29
1065,1066,Pune,Pune,Wheat,Sharbati,FAQ,3750,4100,3950,2019-01-30
1508,1509,Pune,Pune,Wheat,Sharbati,FAQ,3800,4000,3900,2019-01-31
1520,1521,Pune,Pune,Wheat,Sharbati,FAQ,3850,4000,3950,2019-02-01
869,870,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2051,2431,2101,2019-02-04
915,916,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2061,2361,2250,2019-02-07
790,791,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2301,2100,2019-02-10
1026,1027,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2040,2260,2160,2019-02-11
867,868,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2000,2551,2305,2019-02-14
2488,2489,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1750,2400,2050,2019-02-17
1218,1219,Pune,Baramati,Wheat,Kalyan,FAQ,1850,2100,2000,2019-02-18
66,67,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2000,1950,2019-02-21
